"FullName","Name","Extension","Length","LastWriteTime"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\DRIVE_ZEROING_SCAN.txt","DRIVE_ZEROING_SCAN.txt",".txt","212114","02/06/2026 17:46:56"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\hardcode_inventory.txt","hardcode_inventory.txt",".txt","28769","03/06/2026 11:02:22"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P445L_EXISTING_GOVERNANCE_SCAN.txt","P445L_EXISTING_GOVERNANCE_SCAN.txt",".txt","110558","17/06/2026 10:25:29"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P55Z_EXECUTIVE_SNAPSHOT.json","P55Z_EXECUTIVE_SNAPSHOT.json",".json","4381","08/06/2026 15:28:12"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56_full_structural_expansion_runtime_audit.json","p56_full_structural_expansion_runtime_audit.json",".json","54343","10/06/2026 16:24:51"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56_master_consolidated_execution_audit.json","p56_master_consolidated_execution_audit.json",".json","66363","10/06/2026 15:28:35"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56_master_discovery_expansion_audit_only.json","p56_master_discovery_expansion_audit_only.json",".json","15218","10/06/2026 15:59:25"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56_master_discovery_expansion_audit_only.py","p56_master_discovery_expansion_audit_only.py",".py","2221","10/06/2026 15:58:38"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56a_reproduction_from_pedigree_audit.json","p56a_reproduction_from_pedigree_audit.json",".json","211","09/06/2026 14:51:47"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56a_self_parent_cleanup_audit.json","p56a_self_parent_cleanup_audit.json",".json","1195","09/06/2026 15:03:31"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56b_consolidated_runtime_audit.json","p56b_consolidated_runtime_audit.json",".json","38003","10/06/2026 14:46:05"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56b_pending_media_resolution_audit.json","p56b_pending_media_resolution_audit.json",".json","5958","10/06/2026 15:14:30"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56c_strict_external_pedigree_audit.json","p56c_strict_external_pedigree_audit.json",".json","3609","10/06/2026 13:29:45"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56d_market_price_dedup_audit.json","p56d_market_price_dedup_audit.json",".json","165","10/06/2026 14:10:04"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56d_market_price_dedup_by_url_audit.json","p56d_market_price_dedup_by_url_audit.json",".json","179","10/06/2026 14:12:21"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56e_execution_audit.json","p56e_execution_audit.json",".json","755","09/06/2026 12:52:13"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56e0_country_normalization_audit.json","p56e0_country_normalization_audit.json",".json","4899","09/06/2026 13:12:16"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56e0_country_ranking_sync_audit.json","p56e0_country_ranking_sync_audit.json",".json","704","09/06/2026 13:21:03"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56e1_genetic_score_audit.json","p56e1_genetic_score_audit.json",".json","163","09/06/2026 15:21:46"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56e1_snapshot.py","p56e1_snapshot.py",".py","619","09/06/2026 15:34:44"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56E2_DB_EVIDENCE_SCAN_FAST.txt","P56E2_DB_EVIDENCE_SCAN_FAST.txt",".txt","1948399","11/06/2026 13:20:33"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56E2_DB_EVIDENCE_SCAN.txt","P56E2_DB_EVIDENCE_SCAN.txt",".txt","3198743297","11/06/2026 13:19:18"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56e2_master_genetic_expansion_audit.json","p56e2_master_genetic_expansion_audit.json",".json","16710","11/06/2026 11:23:16"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56e4_cursor_deep_fetch_audit.json","p56e4_cursor_deep_fetch_audit.json",".json","2052","10/06/2026 10:50:59"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56e4_final_freeze_snapshot.json","p56e4_final_freeze_snapshot.json",".json","6669","10/06/2026 13:14:10"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56e4_partial_freeze_audit.json","p56e4_partial_freeze_audit.json",".json","6567","10/06/2026 10:59:54"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56e5_bad_entity_rollback_audit.json","p56e5_bad_entity_rollback_audit.json",".json","173","09/06/2026 13:02:04"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56e5_strict_bad_entity_delete_audit.json","p56e5_strict_bad_entity_delete_audit.json",".json","27552","09/06/2026 13:06:29"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56F3_ANIMAL_CLASSIFICATION_AUDIT.csv","P56F3_ANIMAL_CLASSIFICATION_AUDIT.csv",".csv","4406","11/06/2026 13:39:38"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56F3_ANIMAL_FORENSIC_AUDIT.csv","P56F3_ANIMAL_FORENSIC_AUDIT.csv",".csv","5733","11/06/2026 13:33:26"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56f4_contaminated_edges_audit.py","p56f4_contaminated_edges_audit.py",".py","1415","11/06/2026 14:23:03"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56F4_PEDIGREE_TRACE_AUDIT_SNAPSHOT.json","P56F4_PEDIGREE_TRACE_AUDIT_SNAPSHOT.json",".json","912","11/06/2026 14:24:42"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56f4_snapshot.py","p56f4_snapshot.py",".py","1229","11/06/2026 14:24:41"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56f8_post_quarantine_core_audit.py","p56f8_post_quarantine_core_audit.py",".py","1004","11/06/2026 14:47:25"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56f8_reproduction_audit.py","p56f8_reproduction_audit.py",".py","502","11/06/2026 14:50:01"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56F9_POST_QUARANTINE_FINAL_AUDIT.json","P56F9_POST_QUARANTINE_FINAL_AUDIT.json",".json","1196","11/06/2026 14:56:37"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56f9_post_quarantine_final_audit.py","p56f9_post_quarantine_final_audit.py",".py","1714","11/06/2026 14:56:35"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g_manual_audited_animal_seed_expansion.json","p56g_manual_audited_animal_seed_expansion.json",".json","681","10/06/2026 16:15:53"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G0_REAL_BLOODLINE_CORE_SNAPSHOT.json","P56G0_REAL_BLOODLINE_CORE_SNAPSHOT.json",".json","565","11/06/2026 14:58:32"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g10_bushwacker_duplicate_edge_audit.py","p56g10_bushwacker_duplicate_edge_audit.py",".py","697","11/06/2026 16:32:43"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G12_FINAL_CORRECTION_SNAPSHOT.json","P56G12_FINAL_CORRECTION_SNAPSHOT.json",".json","1177","11/06/2026 16:39:18"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g12_final_correction_snapshot.py","p56g12_final_correction_snapshot.py",".py","1562","11/06/2026 16:36:40"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G19_HARVEST_EXECUTION_SNAPSHOT.json","P56G19_HARVEST_EXECUTION_SNAPSHOT.json",".json","554","11/06/2026 17:02:15"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G20_REAL_WEB_SEARCH_ADAPTER_SNAPSHOT.json","P56G20_REAL_WEB_SEARCH_ADAPTER_SNAPSHOT.json",".json","364","11/06/2026 17:06:35"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G22_YOUTUBE_PEDIGREE_HARVESTER_SNAPSHOT.json","P56G22_YOUTUBE_PEDIGREE_HARVESTER_SNAPSHOT.json",".json","377","11/06/2026 17:59:09"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G24_GOOGLE_CSE_SNAPSHOT.json","P56G24_GOOGLE_CSE_SNAPSHOT.json",".json","390","11/06/2026 18:29:51"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G26C_P55A_SOURCES_AUDIT.json","P56G26C_P55A_SOURCES_AUDIT.json",".json","3645","14/06/2026 14:23:21"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g28c_abbi_text_signal_audit.py","p56g28c_abbi_text_signal_audit.py",".py","1552","14/06/2026 14:37:10"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G3_FINAL_EXECUTIVE_SNAPSHOT.json","P56G3_FINAL_EXECUTIVE_SNAPSHOT.json",".json","1630","11/06/2026 15:47:39"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g3_final_snapshot.py","p56g3_final_snapshot.py",".py","1758","11/06/2026 15:47:39"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g30d_animal_enum_audit.py","p56g30d_animal_enum_audit.py",".py","543","14/06/2026 15:27:15"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g30e_precommit_snapshot.py","p56g30e_precommit_snapshot.py",".py","499","14/06/2026 15:29:11"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g30f_edge_status_audit.py","p56g30f_edge_status_audit.py",".py","323","14/06/2026 15:29:47"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g32_self_parent_audit.py","p56g32_self_parent_audit.py",".py","1817","14/06/2026 15:50:01"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g33_source_dedup_audit.py","p56g33_source_dedup_audit.py",".py","2681","14/06/2026 15:52:56"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g34_g36_structured_ledger.py","p56g34_g36_structured_ledger.py",".py","3124","14/06/2026 16:22:57"
