"path","read_ok","bytes","class_count","function_count","import_count"
"MIND_CANON/CORE/__CORE_CANON/Backend_CANON/mind-fin-pro-backend/tests/test_oversight_step521.py","True","541","0","2","1"
"MIND_CANON/CORE/__CORE_CANON/Analisados/FRONTENDS_FINAL_ANALISADOS_20260309_161726/RESTO_INBOX__MIND_MEGA_BUNDLE_20260211_185045__app/oversight/__init__.py.bak_catchall_20260102_161157","True","298","0","0","1"
"MIND_CANON/CORE/__CORE_CANON/Analisados/FRONTENDS_FINAL_ANALISADOS_20260309_161726/RESTO_INBOX__MIND_MEGA_BUNDLE_20260211_185045__app/oversight/center.py.bak_catchall_20260102_161157","True","1236","2","5","2"
"MIND_CANON/CORE/__CORE_CANON/Analisados/FRONTENDS_FINAL_ANALISADOS_20260309_161726/RESTO_INBOX__MIND_MEGA_BUNDLE_20260211_185045__app/oversight/__init__.py","True","308","0","0","2"
"MIND_CANON/CORE/__CORE_CANON/Analisados/FRONTENDS_FINAL_ANALISADOS_20260309_161726/RESTO_INBOX__MIND_MEGA_BUNDLE_20260211_185045__app/oversight/center.py","True","1246","2","5","3"
"MIND_CANON/ARSENAL/INGEST/INGEST 3/006000_0034_00__mind_v2_kb_zips_processed_mind-fin-pro-backend_mind-fin-pro-backend_app_oversight_center.py.txt","True","1237","2","5","2"
"MIND_CANON/ARSENAL/INGEST/INGEST 3/006000_0033_00__mind_v2_kb_zips_processed_mind-fin-pro-backend_mind-fin-pro-backend_app_oversight___init__.py.txt","True","299","0","0","1"
"MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/INGEST/INGEST/030000_0951_00__mind_v2_kb_zips_processed_MIND_FIN_PRO_CODE_20251129_060301_mind-platform_services_mind-fin-pro-backend_app_oversight_center.py.txt","True","1237","2","5","2"
"MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/INGEST/INGEST/030000_0950_00__mind_v2_kb_zips_processed_MIND_FIN_PRO_CODE_20251129_060301_mind-platform_services_mind-fin-pro-backend_app_oversight___init__.py.txt","True","299","0","0","1"
"MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/INGEST/INGEST/020000_0192_00__mind_v2_kb_zips_processed_services_services_mind-fin-pro-backend_app_oversight_center.py.txt","True","1237","2","5","2"
"MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/INGEST/INGEST/020000_0191_00__mind_v2_kb_zips_processed_services_services_mind-fin-pro-backend_app_oversight___init__.py.txt","True","299","0","0","1"
"MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/INGEST/INGEST/006000_0034_00__mind_v2_kb_zips_processed_mind-fin-pro-backend_mind-fin-pro-backend_app_oversight_center.py.txt","True","1237","2","5","2"
"MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/INGEST/INGEST/006000_0033_00__mind_v2_kb_zips_processed_mind-fin-pro-backend_mind-fin-pro-backend_app_oversight___init__.py.txt","True","299","0","0","1"
"MIND_CANON/HISTORICO/MIND_MEGA_BUNDLE_20260211_185045/tests/test_oversight_step521.py","True","541","0","2","1"
"MIND_CANON/CORE/ABSORBED/MIND_CANON/HISTORICO/MIND_MEGA_BUNDLE_20260211_185045/tests/test_oversight_step521.py","True","541","0","2","1"
"MIND_CANON/CORE/ABSORBED/MIND_CANON/CORE/__CORE_CANON/Backend_CANON/mind-fin-pro-backend/tests/test_oversight_step521.py","True","541","0","2","1"
