symbol,timeframe,time,open,high,low,close,volume,quantity,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
SMAB11,D1,2024-01-07,7.38,7.38,7.23,7.28,1232.34,169.0,,,7.28,7.28,7.28,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
SMAB11,D1,2024-01-08,7.48,7.59,7.37,7.37,399.0,53.0,,,7.300000000000001,7.288181818181818,7.283214285714286,,,,,,,,,,0.007179487179486799,0.0014358974358973599,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-01-10,7.35,7.36,7.3,7.33,986.8,135.0,,,7.306666666666667,7.29198347107438,7.2848852040816325,,,,,,,,,,0.0095317408137916,0.003055066111476208,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-01-11,7.2,7.2,7.07,7.07,281819.57,39643.0,,,7.254074074074074,7.2718031555221625,7.277210732507289,,,,,,,,,,-0.009474689994815932,0.00054911489021778,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
SMAB11,D1,2024-02-07,7.3,7.3,7.23,7.25,13596.65,1876.0,,,7.253168724279835,7.269821050474693,7.276238920632029,,,,,,,,,,-0.009898820229540028,-0.0015404721337337818,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
SMAB11,D1,2024-02-08,7.31,7.42,7.31,7.4,1161.66,157.0,,,7.285797896662094,7.2816555004315395,7.280658959180885,,,,,,,,,,0.0018475030364699663,-0.0008628770996930322,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-02-09,7.66,7.66,7.56,7.62,2192.58,288.0,,,7.360065030737185,7.312414091301399,7.292778282067282,,,,,,,,,,0.02857926624446616,0.005025551569138807,,,,NONE,1,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-02-10,7.41,7.44,7.37,7.37,77280.89,10430.0,,,7.362272801684478,7.317649173910362,7.295536200564879,,,,,,,,,,0.029254245780708565,0.009871290411452759,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-02-12,7.03,7.03,6.8,6.88,286935.19,41595.0,,,7.255101067976816,7.277862885373056,7.280695621973276,,,,,,,,,,-0.009638624904920512,0.005969307348178105,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
SMAB11,D1,2024-03-07,7.25,7.46,7.25,7.36,3327.79,451.0,,,7.278411941759746,7.285329895793686,7.283527921188516,,,,,,,,,,-0.0017098070671099919,0.004433484465120487,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-03-09,7.72,7.72,7.62,7.62,7935.26,1036.0,,,7.354320399146469,7.315754450721532,7.295544781146069,,,,,,,,,,0.02526245542196648,0.008599278656489686,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-03-10,7.46,7.46,7.24,7.27,4170.72,573.0,,,7.335582532669475,7.311594955201393,7.29463246753371,,,,,,,,,,0.018186450757602834,0.010516713076712316,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-03-12,6.95,7.04,6.87,6.89,564.7,82.0,,,7.2365641920762585,7.273268141092175,7.2801813079789355,,,,,,,,,,-0.017878070854163042,0.004837756290537246,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
SMAB11,D1,2024-04-07,7.55,7.57,7.55,7.57,566.75,75.0,,,7.310661038281535,7.30024376462925,7.290531975551116,,0.33357142857142846,0.04406491790903942,,,,,,,0.00831500276458641,0.005533205585347078,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-04-09,7.71,7.79,7.7,7.74,95030.17,12323.0,,,7.406069696441194,7.340221604208409,7.306584404995719,55.74999999999999,0.33857142857142847,0.04374307862679954,,,,,,,0.04230313733466495,0.012887191935210655,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-04-10,7.37,7.37,7.3,7.37,4133.68,561.0,,,7.398054208343151,7.342928731098554,7.308849247674443,50.0,0.3478571428571428,0.04719906958712928,,,,,,,0.038934261145014304,0.018096605777171385,,,,NONE,1,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-04-11,7.28,7.31,7.11,7.3,7823.87,1089.0,,,7.376264384266895,7.339026119180503,7.308533203114642,49.65197215777262,0.3614285714285713,0.049510763209393335,,,,,,,0.030267087365146494,0.020530702094766408,,,,NONE,1,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-04-12,7.06,7.06,6.7,6.88,4058712.4,589316.0,,,7.265983409985362,7.297296471982275,7.293228445860548,47.874720357941825,0.3857142857142856,0.056063122923588025,,,,,,,-0.010372630979367692,0.01435003547993959,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-05-07,7.72,7.72,7.39,7.53,75282.75,10024.0,,,7.324653763321949,7.318451338165704,7.3016845727941,52.834008097165984,0.4292857142857142,0.057010055018023136,,,,,,,0.009757192323127661,0.013431466848577205,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-05-08,7.34,7.36,7.26,7.36,6904.16,943.0,7.323,,7.332508482583738,7.322228489241549,7.303767266622882,49.596774193548384,0.4364285714285714,0.059297360248447194,7.809452247886352,6.836547752113649,0.5380304543362334,7.79,6.7,0.6055045871559636,0.01185597477011946,0.013116368432885658,,,,NONE,1,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-05-09,7.74,7.74,7.65,7.65,7888.99,1022.0,7.341500000000001,,7.403062153120685,7.352025899310498,7.31613272138635,50.298210735586494,0.44499999999999995,0.05816993464052286,7.848764075315081,6.83423592468492,0.8040822473071632,7.79,6.7,0.8715596330275233,0.03649911230243319,0.017792917206795166,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-05-11,7.42,7.55,7.25,7.34,773.39,106.0,7.339999999999999,,7.389048341316089,7.350932635736816,7.31698512419398,49.70530451866405,0.4557142857142857,0.06208641494745037,7.847086621895374,6.832913378104624,0.5000000000000009,7.79,6.7,0.5871559633027521,0.030661124758776914,0.020366558717191514,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-05-12,6.94,7.02,6.94,6.97,37576.39,5395.0,7.322,,7.295926487690291,7.316302396124378,7.304592798329909,50.90543259557344,0.4435714285714285,0.06364009018241443,7.855453495235477,6.788546504764523,0.1700743334293645,7.79,6.7,0.24770642201834828,-0.0037778811487463315,0.015537670744003945,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-06-08,7.36,7.36,7.36,7.36,309.12,42.0,7.336499999999999,,7.310165045981337,7.320274905567616,7.3065716269609835,50.0,0.43,0.05842391304347826,7.856713518916182,6.816286481083816,0.5225868793730709,7.79,6.7,0.6055045871559636,0.000394155603463453,0.012508967715895847,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-06-09,7.73,7.75,7.61,7.61,7247.26,941.0,7.3545,,7.376795035763262,7.346613550516015,7.31740835456952,49.89733059548255,0.4321428571428571,0.0567861835930167,7.886881936504038,6.822118063495962,0.7399593059803811,7.79,6.7,0.8348623853211011,0.023601373507862178,0.014727448874289114,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-06-11,7.3,7.35,7.3,7.35,2058.7,282.0,7.352000000000001,,7.370840583371426,7.346921409560013,7.318572341906323,50.83682008368201,0.42714285714285716,0.05811467444120506,7.883951719217965,6.8200482807820375,0.49812013014739215,7.79,6.7,0.5963302752293573,0.020773964475607087,0.01593675199455271,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-06-12,7.04,7.04,6.81,6.82,7689.4,1115.0,7.312,,7.248431564844442,7.299019463236375,7.30076618683824,49.29006085192699,0.4371428571428572,0.0640971931294512,7.878302876002252,6.745697123997749,0.06560347753024309,7.79,6.7,0.11009174311926617,-0.023957184646252294,0.007957964666391709,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
SMAB11,D1,2024-07-08,7.31,7.52,7.31,7.51,2072.02,276.0,7.319,,7.3065578837678995,7.318199512033067,7.308238823022589,49.392712550607285,0.43857142857142856,0.058398326041468517,7.8917459251158775,6.746254074884122,0.6667406013943764,7.79,6.7,0.7431192660550456,-0.003687205358293255,0.005628930661454716,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-07-10,7.32,7.32,7.28,7.28,3812.83,521.0,7.339,,7.300656131819477,7.31472682912097,7.307230293628925,45.400000000000006,0.4392857142857142,0.06034144427001569,7.873884148794465,6.804115851205536,0.44484787020425276,7.79,6.7,0.5321100917431194,-0.006111726367916681,0.003280799255580437,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-07-11,7.24,7.42,7.1,7.2,1165364.49,160049.0,7.331,,7.278288102526259,7.3042971173827,7.3034006402850355,48.19532908704883,0.43071428571428566,0.05982142857142856,7.869336619402279,6.7926633805977215,0.37832891607350533,7.79,6.7,0.4587155963302753,-0.01432339694391338,-0.00024003998431832655,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-08-07,7.46,7.59,7.46,7.58,1187.91,157.0,7.328999999999999,,7.345335190853758,7.329361015802455,7.313279188846285,52.78884462151395,0.43999999999999995,0.058047493403693924,7.8630963839686805,6.794903616031317,0.7349763147008306,7.79,6.7,0.8073394495412844,0.009719577926104783,0.0017518835977662955,,,,NONE,0,0,TREND_UP,NORMAL_VOL
SMAB11,D1,2024-08-08,7.54,7.63,7.54,7.63,22998.72,3038.0,7.3469999999999995,,7.408594037330701,7.3566918325476856,7.324590646387489,58.064516129032256,0.4035714285714285,0.052892716719715405,7.896759756142339,6.79724024385766,0.7573851549136748,7.79,6.7,0.8532110091743118,0.032434506067274604,0.007888408091667957,,,,NONE,0,0,TREND_UP,NORMAL_VOL
