symbol,timeframe,date,open,high,low,close,volume,quantity
ARGE11,D1,09/06/2026,13.24,13.7,13.24,13.61,1640081.41,120425.0
ARGE11,D1,08/06/2026,13.29,13.35,12.97,13.19,2194490.57,166529.0
ARGE11,D1,05/06/2026,13.35,13.39,13.11,13.28,582563.68,43926.0
ARGE11,D1,03/06/2026,13.68,13.68,13.11,13.22,2533477.0,190925.0
ARGE11,D1,02/06/2026,13.79,13.79,13.43,13.55,28679.54,2120.0
ARGE11,D1,01/06/2026,13.53,13.84,13.5,13.66,219954.96,16095.0
ARGE11,D1,29/05/2026,13.2,13.53,13.2,13.46,60439.01,4545.0
ARGE11,D1,28/05/2026,13.01,13.46,13.01,13.17,144584.92,10981.0
ARGE11,D1,27/05/2026,12.43,13.21,12.43,13.11,203815.43,15646.0
ARGE11,D1,26/05/2026,11.85,12.45,11.67,12.43,258131.39,21040.0
ARGE11,D1,25/05/2026,11.85,12.35,11.85,12.12,7880.79,648.0
ARGE11,D1,22/05/2026,12.28,12.28,11.88,12.03,2134570.51,176791.0
ARGE11,D1,21/05/2026,11.8,12.08,11.77,12.08,41651.54,3509.0
ARGE11,D1,20/05/2026,11.76,11.76,11.54,11.66,424104.77,36650.0
ARGE11,D1,19/05/2026,11.89,11.89,11.58,11.58,83694.56,7172.0
ARGE11,D1,18/05/2026,11.4,11.77,11.35,11.77,115182.49,9940.0
ARGE11,D1,15/05/2026,11.4,11.79,11.4,11.4,230066.89,19868.0
ARGE11,D1,14/05/2026,11.38,11.58,11.23,11.45,218336.82,18988.0
ARGE11,D1,13/05/2026,11.18,11.59,11.04,11.38,698356.08,62079.0
ARGE11,D1,12/05/2026,11.63,11.63,11.32,11.36,69875.77,6132.0
ARGE11,D1,11/05/2026,11.15,11.61,11.15,11.5,80933.19,7090.0
ARGE11,D1,08/05/2026,11.59,11.59,11.14,11.18,55075.96,4878.0
ARGE11,D1,07/05/2026,11.79,11.79,11.44,11.48,104045.8,9069.0
ARGE11,D1,06/05/2026,11.38,11.82,11.31,11.73,53097.31,4573.0
ARGE11,D1,05/05/2026,11.23,11.32,11.13,11.15,31407.23,2808.0
ARGE11,D1,04/05/2026,11.5,11.84,11.21,11.23,1121994.41,99434.0
ARGE11,D1,30/04/2026,11.75,11.91,11.36,11.42,73346.65,6356.0
ARGE11,D1,29/04/2026,11.67,11.74,11.51,11.6,8218.78,709.0
ARGE11,D1,28/04/2026,11.42,11.71,11.42,11.55,74787.91,6539.0
ARGE11,D1,27/04/2026,11.6,11.6,11.38,11.42,44620.43,3887.0
ARGE11,D1,24/04/2026,11.69,11.75,11.47,11.48,720806.51,62386.0
ARGE11,D1,23/04/2026,11.8,12.05,11.52,11.57,659392.64,56541.0
ARGE11,D1,22/04/2026,11.89,12.01,11.8,11.8,84848.28,7112.0
ARGE11,D1,20/04/2026,12.02,12.11,11.75,11.92,29458.24,2469.0
ARGE11,D1,17/04/2026,12.01,12.03,11.76,11.82,1008924.3,85053.0
ARGE11,D1,16/04/2026,12.18,12.22,11.93,12.02,81340.6,6753.0
ARGE11,D1,15/04/2026,12.24,12.24,11.9,12.0,54959.13,4574.0
ARGE11,D1,14/04/2026,12.15,12.37,12.03,12.08,206124.84,16993.0
ARGE11,D1,13/04/2026,12.37,12.53,12.23,12.26,942399.29,76394.0
ARGE11,D1,10/04/2026,12.28,12.41,12.21,12.23,130422.25,10561.0
ARGE11,D1,09/04/2026,12.56,12.56,12.31,12.31,30275.16,2449.0
ARGE11,D1,08/04/2026,12.25,12.8,12.25,12.54,78894.33,6291.0
ARGE11,D1,07/04/2026,12.44,12.46,12.18,12.39,46651.65,3784.0
ARGE11,D1,06/04/2026,12.78,12.78,12.35,12.44,393975.4,31677.0
ARGE11,D1,02/04/2026,12.63,12.81,12.15,12.61,203128.51,16344.0
