symbol,timeframe,date,open,high,low,close,volume,quantity
AUPO11,D1,09/06/2026,106.06,106.14,106.0,106.09,4815372.27,45390.0
AUPO11,D1,08/06/2026,106.17,106.28,105.98,106.06,6663209.02,62828.0
AUPO11,D1,05/06/2026,106.42,106.42,106.06,106.15,9086229.25,85567.0
AUPO11,D1,03/06/2026,106.25,106.4,106.16,106.18,6838815.72,64367.0
AUPO11,D1,02/06/2026,106.19,106.42,106.19,106.25,5768308.7,54283.0
AUPO11,D1,01/06/2026,106.3,106.43,106.24,106.27,7073597.68,66553.0
AUPO11,D1,29/05/2026,106.18,106.28,106.17,106.26,6563617.16,61797.0
AUPO11,D1,28/05/2026,106.19,106.23,106.1,106.17,5995420.37,56457.0
AUPO11,D1,27/05/2026,106.15,106.19,106.0,106.09,10684493.03,100711.0
AUPO11,D1,26/05/2026,106.1,106.23,105.88,105.99,7731110.15,72942.0
AUPO11,D1,25/05/2026,105.95,106.18,105.91,106.09,9601688.42,90595.0
AUPO11,D1,22/05/2026,106.04,106.17,105.83,105.89,6927250.96,65423.0
AUPO11,D1,21/05/2026,105.82,106.0,105.75,106.0,5916165.87,55915.0
AUPO11,D1,20/05/2026,105.86,105.87,105.71,105.83,4966687.61,46948.0
AUPO11,D1,19/05/2026,105.67,105.86,105.65,105.7,5874683.33,55575.0
AUPO11,D1,18/05/2026,105.7,106.08,105.64,105.68,8561148.57,80944.0
AUPO11,D1,15/05/2026,105.69,105.71,105.63,105.67,4590092.56,43441.0
AUPO11,D1,14/05/2026,105.59,105.72,105.48,105.65,5495766.68,52020.0
AUPO11,D1,13/05/2026,105.66,105.69,105.57,105.58,6363872.09,60248.0
AUPO11,D1,12/05/2026,105.71,105.72,105.41,105.6,7709067.26,73015.0
AUPO11,D1,11/05/2026,105.57,105.77,105.51,105.58,9115348.25,86318.0
AUPO11,D1,08/05/2026,105.64,105.69,105.51,105.56,6834218.27,64734.0
AUPO11,D1,07/05/2026,105.54,105.6,105.39,105.49,9051181.64,85819.0
AUPO11,D1,06/05/2026,105.54,105.59,105.39,105.54,10667011.21,101183.0
AUPO11,D1,05/05/2026,105.33,105.4,105.26,105.34,5506843.37,52286.0
