symbol,timeframe,date,open,high,low,close,volume,quantity
BDIF11,D1,09/06/2026,73.38,73.38,73.06,73.25,1887680.08,25791.0
BDIF11,D1,08/06/2026,73.88,73.95,73.25,73.45,2468977.79,33509.0
BDIF11,D1,05/06/2026,73.75,74.27,73.63,73.69,2678970.64,36236.0
BDIF11,D1,03/06/2026,73.93,75.11,72.9,75.0,2709620.55,36593.0
BDIF11,D1,02/06/2026,73.74,74.03,73.43,73.43,2618871.43,35518.0
BDIF11,D1,01/06/2026,73.5,73.75,73.17,73.64,2467487.96,33548.0
BDIF11,D1,29/05/2026,72.97,73.61,72.97,73.55,1127195.21,15347.0
BDIF11,D1,28/05/2026,73.39,73.39,72.8,72.97,5430093.15,74359.0
BDIF11,D1,27/05/2026,73.89,73.96,72.98,73.4,2282240.05,31125.0
BDIF11,D1,26/05/2026,73.3,74.02,73.1,73.4,3528481.76,48109.0
BDIF11,D1,25/05/2026,74.03,74.46,73.23,73.97,2565190.33,34677.0
BDIF11,D1,22/05/2026,73.36,74.13,73.36,74.03,1302189.44,17625.0
BDIF11,D1,21/05/2026,73.5,73.74,73.35,73.36,2093407.25,28486.0
BDIF11,D1,20/05/2026,73.44,73.89,73.18,73.5,2626958.4,35692.0
BDIF11,D1,19/05/2026,73.54,73.64,73.15,73.37,2013488.29,27399.0
BDIF11,D1,18/05/2026,73.88,74.19,73.15,73.54,3798158.29,51643.0
BDIF11,D1,15/05/2026,74.39,75.28,74.31,74.31,4550994.77,60877.0
BDIF11,D1,14/05/2026,74.72,74.93,74.21,74.73,2521405.88,33848.0
BDIF11,D1,13/05/2026,74.55,74.73,74.03,74.25,2709871.58,36445.0
BDIF11,D1,12/05/2026,75.19,75.41,74.2,74.56,3429613.57,45894.0
BDIF11,D1,11/05/2026,74.98,75.78,74.58,75.04,3352406.13,44484.0
BDIF11,D1,08/05/2026,74.02,75.14,74.02,75.09,2821560.49,37685.0
BDIF11,D1,07/05/2026,74.6,74.6,74.0,74.0,2541021.84,34198.0
BDIF11,D1,06/05/2026,74.62,75.22,74.46,74.55,3447964.3,46105.0
BDIF11,D1,05/05/2026,74.99,75.28,73.97,74.51,3539445.04,47534.0
BDIF11,D1,04/05/2026,75.12,75.67,74.5,74.5,3858866.62,51312.0
BDIF11,D1,30/04/2026,75.7,75.97,74.9,74.99,3230325.95,42935.0
BDIF11,D1,29/04/2026,75.75,76.12,75.6,75.7,1517939.66,20024.0
BDIF11,D1,28/04/2026,77.35,77.35,75.75,75.95,2354044.71,30866.0
