symbol,timeframe,date,open,high,low,close,volume,quantity
BMKS3,D1,09/06/2026,379.0,391.53,378.5,379.5,12753.21,33.0
BMKS3,D1,08/06/2026,389.91,389.91,370.03,379.5,19167.56,50.0
BMKS3,D1,05/06/2026,380.59,389.98,380.58,389.92,17796.94,46.0
BMKS3,D1,03/06/2026,383.0,391.54,380.56,390.0,38145.59,98.0
BMKS3,D1,02/06/2026,393.9,393.9,380.01,380.01,2343.81,6.0
BMKS3,D1,01/06/2026,371.99,390.61,366.03,390.0,54031.85,140.0
BMKS3,D1,29/05/2026,371.99,371.99,370.0,371.99,8179.8,22.0
BMKS3,D1,28/05/2026,371.0,372.0,365.0,372.0,16592.97,45.0
BMKS3,D1,27/05/2026,374.97,374.97,370.01,372.0,10817.6,29.0
BMKS3,D1,26/05/2026,372.0,372.0,372.0,372.0,1116.0,3.0
BMKS3,D1,25/05/2026,370.0,375.0,370.0,372.0,4456.1,12.0
BMKS3,D1,22/05/2026,373.7,373.7,370.11,371.0,4831.13,13.0
BMKS3,D1,21/05/2026,371.18,378.99,370.0,370.0,5590.28,15.0
BMKS3,D1,20/05/2026,374.97,379.39,370.16,371.0,4483.44,12.0
BMKS3,D1,19/05/2026,370.02,372.5,370.02,372.49,17844.52,48.0
BMKS3,D1,18/05/2026,380.0,380.0,370.52,374.39,10513.78,28.0
BMKS3,D1,15/05/2026,380.0,380.0,370.0,370.1,31282.35,84.0
BMKS3,D1,14/05/2026,379.99,379.99,379.0,379.0,6067.96,16.0
BMKS3,D1,13/05/2026,375.0,381.0,375.0,375.0,51469.08,136.0
BMKS3,D1,12/05/2026,380.0,384.99,370.02,370.02,18035.11,48.0
BMKS3,D1,11/05/2026,394.99,394.99,370.01,380.0,40695.74,106.0
BMKS3,D1,08/05/2026,394.99,394.99,389.0,393.98,19534.48,50.0
BMKS3,D1,07/05/2026,392.0,395.0,391.25,391.25,13372.01,34.0
BMKS3,D1,06/05/2026,389.0,394.99,389.0,391.25,41304.22,106.0
BMKS3,D1,05/05/2026,398.99,398.99,390.02,398.89,7135.72,18.0
BMKS3,D1,04/05/2026,397.5,403.5,390.0,390.0,27639.39,70.0
BMKS3,D1,30/04/2026,400.6,404.5,387.44,387.44,84714.16,217.0
BMKS3,D1,29/04/2026,396.63,400.59,380.13,400.59,94626.53,243.0
BMKS3,D1,28/04/2026,394.75,394.75,388.9,392.71,30486.14,78.0
BMKS3,D1,27/04/2026,392.79,392.79,382.08,387.91,58816.04,151.0
BMKS3,D1,24/04/2026,401.57,404.39,388.9,388.9,169593.11,427.0
BMKS3,D1,23/04/2026,398.64,399.63,398.64,399.63,23122.71,58.0
