symbol,timeframe,date,open,high,low,close,volume,quantity
BOVAS47,D1,09/06/2026,1.59,2.0,1.3,1.55,617447.28,395843.0
BOVAS47,D1,08/06/2026,1.88,2.03,1.7,1.9,314084.72,161758.0
BOVAS47,D1,05/06/2026,1.6,1.87,1.6,1.85,305316.04,178460.0
BOVAS47,D1,03/06/2026,1.2,1.76,1.2,1.7,323445.43,210427.0
BOVAS47,D1,02/06/2026,1.05,1.11,0.88,0.91,100021.71,109206.0
BOVAS47,D1,01/06/2026,1.07,1.41,1.07,1.23,253025.23,196041.0
BOVAS47,D1,29/05/2026,1.15,1.34,1.03,1.04,264538.6,226374.0
BOVAS47,D1,28/05/2026,0.93,1.18,0.91,1.01,40568.89,40733.0
BOVAS47,D1,27/05/2026,0.76,1.05,0.76,0.98,21749.97,23847.0
BOVAS47,D1,26/05/2026,1.47,1.47,0.45,0.94,101893.52,101606.0
BOVAS47,D1,25/05/2026,0.87,0.9,0.8,0.8,61952.61,75430.0
BOVAS47,D1,22/05/2026,1.04,1.23,1.01,1.02,146263.6,128155.0
BOVAS47,D1,21/05/2026,1.1,1.13,0.84,0.88,34325.88,34848.0
BOVAS47,D1,20/05/2026,1.14,1.16,0.85,0.93,251504.67,258853.0
BOVAS47,D1,19/05/2026,1.48,1.65,1.3,1.49,153297.3,103835.0
BOVAS47,D1,18/05/2026,1.3,1.3,1.08,1.17,19572.42,16534.0
BOVAS47,D1,15/05/2026,1.38,1.38,1.18,1.18,37018.54,29291.0
BOVAS47,D1,13/05/2026,1.0,1.0,1.0,1.0,400.0,400.0
BOVAS47,D1,12/05/2026,0.82,0.85,0.82,0.85,22315.34,26773.0
BOVAS47,D1,29/04/2026,0.7,0.7,0.7,0.7,0.7,1.0
