symbol,timeframe,date,open,high,low,close,volume,quantity
BPAC11F,D1,09/06/2026,50.96,51.61,50.3,50.7,902930.48,17682.0
BPAC11F,D1,08/06/2026,50.76,50.9,50.33,50.48,888567.29,17568.0
BPAC11F,D1,05/06/2026,51.21,51.25,50.35,50.6,1123060.46,22138.0
BPAC11F,D1,03/06/2026,52.99,52.99,50.65,51.0,1844216.73,35898.0
BPAC11F,D1,02/06/2026,52.92,53.8,52.83,53.1,945481.06,17741.0
BPAC11F,D1,01/06/2026,53.75,54.31,52.43,52.71,1532181.43,29022.0
BPAC11F,D1,29/05/2026,54.69,54.72,53.24,53.55,1171746.52,21803.0
BPAC11F,D1,28/05/2026,54.99,55.48,54.42,54.42,926327.81,16932.0
BPAC11F,D1,27/05/2026,56.24,56.4,54.72,55.13,1111303.89,20065.0
BPAC11F,D1,26/05/2026,55.74,55.74,54.42,55.31,855086.35,15547.0
BPAC11F,D1,25/05/2026,54.5,55.78,54.5,55.78,1008469.3,18278.0
BPAC11F,D1,22/05/2026,54.37,54.49,53.27,53.95,1073107.77,19924.0
BPAC11F,D1,21/05/2026,54.2,54.65,53.21,54.35,1121172.82,20760.0
BPAC11F,D1,20/05/2026,53.38,55.1,52.96,54.59,1112228.94,20452.0
BPAC11F,D1,19/05/2026,53.89,54.0,52.58,52.95,1113567.53,20953.0
BPAC11F,D1,18/05/2026,55.05,55.5,53.37,54.15,1150291.4,21324.0
BPAC11F,D1,15/05/2026,54.79,54.99,53.97,54.5,1230776.32,22590.0
BPAC11F,D1,14/05/2026,55.19,56.12,55.1,55.6,1058263.56,19037.0
BPAC11F,D1,13/05/2026,56.89,57.07,54.52,54.98,1483600.55,26579.0
BPAC11F,D1,12/05/2026,56.68,57.36,56.44,57.24,894197.95,15686.0
BPAC11F,D1,11/05/2026,59.46,60.27,56.56,57.0,1441207.88,24821.0
BPAC11F,D1,08/05/2026,58.0,59.18,58.0,58.7,911030.7,15538.0
BPAC11F,D1,07/05/2026,58.8,58.8,57.03,57.29,973703.37,16904.0
BPAC11F,D1,06/05/2026,58.8,59.57,58.18,59.05,987175.76,16773.0
BPAC11F,D1,05/05/2026,58.12,58.65,57.85,58.39,982783.84,16891.0
BPAC11F,D1,04/05/2026,59.78,59.78,57.8,58.0,1211739.55,20698.0
BPAC11F,D1,30/04/2026,58.79,59.7,58.78,59.2,820423.07,13820.0
BPAC11F,D1,29/04/2026,59.99,60.15,58.11,58.3,977514.73,16650.0
BPAC11F,D1,28/04/2026,59.97,60.47,59.0,60.19,848940.28,14184.0
BPAC11F,D1,27/04/2026,60.81,61.34,60.4,60.45,983228.84,16193.0
BPAC11F,D1,24/04/2026,61.01,61.48,60.19,61.48,815884.04,13397.0
BPAC11F,D1,23/04/2026,62.11,62.2,60.56,60.9,836023.41,13616.0
BPAC11F,D1,22/04/2026,63.7,63.87,61.61,62.06,1171467.02,18763.0
BPAC11F,D1,20/04/2026,63.8,64.35,63.3,64.0,908310.54,14224.0
BPAC11F,D1,17/04/2026,64.71,65.49,63.65,63.79,1109449.4,17234.0
BPAC11F,D1,16/04/2026,64.5,64.55,63.45,64.39,835700.06,13059.0
BPAC11F,D1,15/04/2026,63.3,64.29,62.84,64.29,1071710.0,16785.0
BPAC11F,D1,14/04/2026,64.0,64.3,62.83,63.4,1143180.41,17986.0
BPAC11F,D1,13/04/2026,62.7,63.9,62.3,63.79,1158009.65,18339.0
BPAC11F,D1,10/04/2026,63.19,63.6,62.3,62.98,1322546.43,21017.0
BPAC11F,D1,09/04/2026,62.13,63.54,61.9,63.44,1794381.42,28531.0
BPAC11F,D1,08/04/2026,60.0,62.58,59.89,62.19,2229551.43,36126.0
BPAC11F,D1,07/04/2026,57.7,58.5,56.6,58.49,776137.55,13488.0
BPAC11F,D1,06/04/2026,57.49,58.37,57.09,57.69,942899.32,16294.0
BPAC11F,D1,02/04/2026,55.6,57.75,55.47,57.32,1011823.62,17817.0
BPAC11F,D1,01/04/2026,56.95,58.75,56.57,57.8,1222018.73,21074.0
BPAC11F,D1,31/03/2026,53.8,56.69,53.8,56.4,1148238.52,20697.0
BPAC11F,D1,30/03/2026,54.28,54.55,52.88,53.58,942168.78,17582.0
BPAC11F,D1,27/03/2026,55.25,55.44,53.17,53.22,1263722.13,23534.0
BPAC11F,D1,26/03/2026,56.01,56.58,54.83,55.1,1053268.05,18977.0
BPAC11F,D1,25/03/2026,56.51,57.89,56.48,56.84,1311922.6,23005.0
BPAC11F,D1,24/03/2026,54.59,55.73,53.95,55.39,799223.83,14512.0
BPAC11F,D1,23/03/2026,53.36,56.45,53.36,55.43,1054279.21,19063.0
BPAC11F,D1,20/03/2026,54.58,54.61,51.86,52.53,1734912.36,32730.0
BPAC11F,D1,19/03/2026,54.5,55.5,53.52,54.7,1614266.91,29836.0
