symbol,timeframe,date,open,high,low,close,volume,quantity
BTCI11,D1,09/06/2026,9.12,9.18,9.1,9.17,4321965.67,471953.0
BTCI11,D1,08/06/2026,9.21,9.21,9.05,9.07,6205501.77,680867.0
BTCI11,D1,05/06/2026,9.17,9.21,9.1,9.15,7463617.3,815250.0
BTCI11,D1,03/06/2026,9.17,9.17,9.12,9.14,4035371.55,441730.0
BTCI11,D1,02/06/2026,9.12,9.16,9.12,9.16,4590905.82,502649.0
BTCI11,D1,01/06/2026,9.17,9.17,9.09,9.12,7927948.27,868098.0
BTCI11,D1,29/05/2026,9.17,9.17,9.11,9.15,7277089.74,796624.0
BTCI11,D1,28/05/2026,9.14,9.17,9.11,9.13,3689603.63,403999.0
BTCI11,D1,27/05/2026,9.17,9.17,9.09,9.11,4570271.86,501190.0
BTCI11,D1,26/05/2026,9.11,9.18,9.08,9.18,3248914.93,355971.0
BTCI11,D1,25/05/2026,9.1,9.14,9.09,9.12,3480875.95,381756.0
BTCI11,D1,22/05/2026,9.1,9.14,9.08,9.11,2389716.78,262300.0
BTCI11,D1,21/05/2026,9.14,9.14,9.08,9.11,2270406.52,249458.0
BTCI11,D1,20/05/2026,9.09,9.16,9.07,9.14,1811321.95,198750.0
BTCI11,D1,19/05/2026,9.12,9.12,9.07,9.07,2190330.58,240988.0
BTCI11,D1,18/05/2026,9.12,9.14,9.06,9.11,2821232.85,310454.0
BTCI11,D1,15/05/2026,9.15,9.18,9.08,9.12,3258210.02,357428.0
BTCI11,D1,14/05/2026,9.07,9.13,9.07,9.12,1920823.52,210944.0
BTCI11,D1,13/05/2026,9.1,9.14,9.07,9.07,1920193.99,210999.0
BTCI11,D1,12/05/2026,9.1,9.14,9.04,9.08,2499360.17,274661.0
BTCI11,D1,11/05/2026,9.29,9.3,9.08,9.1,5357192.75,581230.0
BTCI11,D1,08/05/2026,9.2,9.28,9.18,9.28,2009072.27,217835.0
BTCI11,D1,07/05/2026,9.24,9.26,9.16,9.18,3484305.03,378815.0
BTCI11,D1,06/05/2026,9.16,9.25,9.13,9.2,2993473.0,325375.0
BTCI11,D1,05/05/2026,9.16,9.2,9.12,9.15,2590813.08,283142.0
BTCI11,D1,04/05/2026,9.28,9.29,9.08,9.14,3666080.28,399497.0
BTCI11,D1,30/04/2026,9.29,9.34,9.21,9.24,3743827.99,403543.0
BTCI11,D1,29/04/2026,9.24,9.3,9.24,9.28,1852322.96,199669.0
BTCI11,D1,28/04/2026,9.29,9.33,9.24,9.24,2620460.15,281791.0
BTCI11,D1,27/04/2026,9.21,9.3,9.19,9.28,3116348.8,336268.0
BTCI11,D1,24/04/2026,9.2,9.23,9.17,9.2,3686206.75,401004.0
BTCI11,D1,23/04/2026,9.15,9.22,9.15,9.17,2079283.46,226354.0
BTCI11,D1,22/04/2026,9.24,9.32,9.14,9.2,3646147.84,395295.0
BTCI11,D1,20/04/2026,9.2,9.25,9.18,9.23,3229505.38,350352.0
BTCI11,D1,17/04/2026,9.18,9.21,9.16,9.2,2204683.8,240068.0
BTCI11,D1,16/04/2026,9.16,9.18,9.15,9.15,1339639.92,146258.0
BTCI11,D1,15/04/2026,9.14,9.15,9.06,9.15,2764580.23,302944.0
BTCI11,D1,14/04/2026,9.1,9.15,9.1,9.11,2547359.17,278818.0
BTCI11,D1,13/04/2026,9.1,9.13,9.09,9.1,1587584.63,174309.0
