symbol,timeframe,date,open,high,low,close,volume,quantity
BTCI11,H1,09/06/2026,9.16,9.17,9.14,9.17,362791.47,39629.0
BTCI11,H1,09/06/2026,9.15,9.16,9.15,9.16,238257.47,26022.0
BTCI11,H1,09/06/2026,9.15,9.16,9.14,9.16,368906.07,40311.0
BTCI11,H1,09/06/2026,9.14,9.15,9.13,9.15,172721.64,18884.0
BTCI11,H1,09/06/2026,9.16,9.16,9.14,9.15,244550.98,26721.0
BTCI11,H1,09/06/2026,9.18,9.18,9.15,9.16,1238738.9,135166.0
BTCI11,H1,09/06/2026,9.12,9.18,9.1,9.18,1660785.05,181381.0
BTCI11,H1,08/06/2026,9.07,9.07,9.01,9.02,118156.07,13075.0
BTCI11,H1,08/06/2026,9.07,9.07,9.05,9.07,897179.99,99035.0
BTCI11,H1,08/06/2026,9.1,9.1,9.07,9.07,615422.42,67700.0
BTCI11,H1,08/06/2026,9.11,9.12,9.09,9.09,609450.91,66907.0
BTCI11,H1,08/06/2026,9.1,9.13,9.09,9.11,764030.63,83804.0
BTCI11,H1,08/06/2026,9.11,9.11,9.09,9.09,614880.53,67533.0
BTCI11,H1,08/06/2026,9.15,9.16,9.08,9.09,1540448.84,168951.0
BTCI11,H1,08/06/2026,9.21,9.21,9.14,9.16,1164088.45,126937.0
BTCI11,H1,05/06/2026,9.2,9.2,9.14,9.14,1362.96,149.0
BTCI11,H1,05/06/2026,9.2,9.21,9.15,9.15,819675.53,89214.0
BTCI11,H1,05/06/2026,9.2,9.2,9.18,9.18,979227.13,106453.0
BTCI11,H1,05/06/2026,9.15,9.2,9.15,9.19,1005950.97,109543.0
BTCI11,H1,05/06/2026,9.13,9.17,9.12,9.16,1363134.16,149028.0
BTCI11,H1,05/06/2026,9.12,9.13,9.11,9.13,651129.81,71355.0
BTCI11,H1,05/06/2026,9.12,9.12,9.11,9.11,405918.02,44510.0
BTCI11,H1,05/06/2026,9.17,9.17,9.1,9.11,2238581.68,245147.0
BTCI11,H1,03/06/2026,9.14,9.16,9.13,9.14,25834.39,2824.0
BTCI11,H1,03/06/2026,9.13,9.14,9.12,9.14,732944.35,80230.0
BTCI11,H1,03/06/2026,9.14,9.14,9.12,9.13,268764.94,29417.0
BTCI11,H1,03/06/2026,9.14,9.14,9.12,9.14,435454.56,47665.0
BTCI11,H1,03/06/2026,9.13,9.14,9.12,9.12,1011708.68,110750.0
BTCI11,H1,03/06/2026,9.13,9.14,9.12,9.14,707566.59,77452.0
BTCI11,H1,03/06/2026,9.13,9.14,9.12,9.12,423163.69,46338.0
BTCI11,H1,03/06/2026,9.17,9.17,9.12,9.12,455768.73,49878.0
BTCI11,H1,02/06/2026,9.16,9.17,9.14,9.17,23414.86,2557.0
BTCI11,H1,02/06/2026,9.14,9.16,9.12,9.16,949665.11,103949.0
BTCI11,H1,02/06/2026,9.13,9.14,9.12,9.12,413248.55,45239.0
BTCI11,H1,02/06/2026,9.13,9.14,9.12,9.12,562266.09,61565.0
BTCI11,H1,02/06/2026,9.13,9.14,9.12,9.12,611087.37,66906.0
BTCI11,H1,02/06/2026,9.12,9.14,9.12,9.13,501627.74,54936.0
BTCI11,H1,02/06/2026,9.12,9.13,9.12,9.13,316524.53,34668.0
BTCI11,H1,02/06/2026,9.12,9.14,9.12,9.13,1236486.43,135386.0
BTCI11,H1,01/06/2026,9.14,9.14,9.12,9.12,2283.3,250.0
BTCI11,H1,01/06/2026,9.14,9.17,9.12,9.12,1318188.42,144296.0
BTCI11,H1,01/06/2026,9.12,9.14,9.12,9.14,661741.95,72442.0
BTCI11,H1,01/06/2026,9.13,9.14,9.12,9.12,1080394.72,118282.0
BTCI11,H1,01/06/2026,9.13,9.14,9.12,9.13,1987568.04,217588.0
BTCI11,H1,01/06/2026,9.13,9.14,9.12,9.12,488808.13,53529.0
BTCI11,H1,01/06/2026,9.13,9.14,9.12,9.13,681464.58,74628.0
BTCI11,H1,01/06/2026,9.17,9.17,9.09,9.13,1709782.44,187333.0
BTCI11,H1,29/05/2026,9.15,9.15,9.14,9.14,205378.93,22460.0
BTCI11,H1,29/05/2026,9.14,9.15,9.12,9.15,806530.37,88279.0
BTCI11,H1,29/05/2026,9.14,9.14,9.12,9.14,456463.99,49961.0
BTCI11,H1,29/05/2026,9.12,9.14,9.12,9.13,900874.65,98632.0
BTCI11,H1,29/05/2026,9.13,9.14,9.12,9.13,992462.96,108634.0
BTCI11,H1,29/05/2026,9.13,9.14,9.12,9.14,1207086.4,132122.0
BTCI11,H1,29/05/2026,9.12,9.14,9.12,9.13,432295.01,47343.0
BTCI11,H1,29/05/2026,9.17,9.17,9.11,9.13,2481376.36,271653.0
BTCI11,H1,28/05/2026,9.12,9.16,9.11,9.14,83549.68,9156.0
BTCI11,H1,28/05/2026,9.12,9.17,9.12,9.13,838122.52,91744.0
BTCI11,H1,28/05/2026,9.12,9.14,9.12,9.13,310039.2,33956.0
BTCI11,H1,28/05/2026,9.13,9.14,9.12,9.12,140954.59,15432.0
BTCI11,H1,28/05/2026,9.13,9.14,9.12,9.13,1224766.09,134096.0
BTCI11,H1,28/05/2026,9.12,9.14,9.12,9.13,328685.31,35996.0
BTCI11,H1,28/05/2026,9.12,9.14,9.12,9.14,351435.61,38487.0
BTCI11,H1,28/05/2026,9.14,9.14,9.11,9.13,495600.3,54288.0
BTCI11,H1,27/05/2026,9.11,9.13,9.1,9.1,28540.55,3131.0
BTCI11,H1,27/05/2026,9.11,9.13,9.1,9.11,736403.76,80791.0
BTCI11,H1,27/05/2026,9.1,9.12,9.1,9.11,428864.41,47048.0
BTCI11,H1,27/05/2026,9.11,9.12,9.1,9.11,403462.61,44285.0
BTCI11,H1,27/05/2026,9.11,9.12,9.1,9.11,460365.43,50484.0
BTCI11,H1,27/05/2026,9.11,9.12,9.1,9.11,677834.37,74364.0
BTCI11,H1,27/05/2026,9.11,9.11,9.09,9.1,622792.0,68388.0
BTCI11,H1,27/05/2026,9.17,9.17,9.1,9.1,1240549.29,135830.0
BTCI11,H1,26/05/2026,9.17,9.18,9.11,9.16,7263.04,794.0
BTCI11,H1,26/05/2026,9.13,9.18,9.12,9.18,614820.66,67293.0
BTCI11,H1,26/05/2026,9.14,9.14,9.12,9.12,305955.77,33500.0
BTCI11,H1,26/05/2026,9.14,9.14,9.12,9.14,394193.89,43171.0
BTCI11,H1,26/05/2026,9.14,9.14,9.12,9.13,287626.18,31501.0
BTCI11,H1,26/05/2026,9.14,9.14,9.12,9.12,434813.93,47612.0
BTCI11,H1,26/05/2026,9.13,9.14,9.11,9.14,449726.29,49261.0
BTCI11,H1,26/05/2026,9.11,9.13,9.08,9.12,761778.22,83633.0
BTCI11,H1,25/05/2026,9.12,9.12,9.1,9.11,18273.46,2006.0
BTCI11,H1,25/05/2026,9.12,9.13,9.1,9.12,467714.37,51288.0
BTCI11,H1,25/05/2026,9.12,9.12,9.1,9.11,201760.04,22129.0
BTCI11,H1,25/05/2026,9.12,9.12,9.1,9.12,215794.19,23675.0
BTCI11,H1,25/05/2026,9.12,9.13,9.1,9.11,335018.76,36750.0
BTCI11,H1,25/05/2026,9.13,9.14,9.1,9.11,542950.88,59531.0
BTCI11,H1,25/05/2026,9.13,9.14,9.12,9.12,417221.86,45680.0
BTCI11,H1,25/05/2026,9.1,9.14,9.09,9.12,1300415.86,142703.0
BTCI11,H1,22/05/2026,9.11,9.11,9.09,9.1,11005.98,1210.0
BTCI11,H1,22/05/2026,9.11,9.11,9.08,9.11,287865.85,31622.0
BTCI11,H1,22/05/2026,9.1,9.11,9.09,9.1,319327.49,35076.0
BTCI11,H1,22/05/2026,9.11,9.11,9.09,9.09,165130.0,18131.0
BTCI11,H1,22/05/2026,9.11,9.11,9.08,9.11,305954.21,33626.0
BTCI11,H1,22/05/2026,9.12,9.12,9.09,9.09,285992.54,31395.0
BTCI11,H1,22/05/2026,9.12,9.13,9.1,9.12,311967.43,34216.0
BTCI11,H1,22/05/2026,9.1,9.14,9.08,9.11,713479.27,78234.0
BTCI11,H1,21/05/2026,9.11,9.11,9.09,9.09,9119.32,1002.0
BTCI11,H1,21/05/2026,9.11,9.11,9.09,9.11,317742.23,34888.0
BTCI11,H1,21/05/2026,9.1,9.12,9.09,9.1,428558.3,47052.0
BTCI11,H1,21/05/2026,9.08,9.12,9.08,9.11,597188.03,65613.0
BTCI11,H1,21/05/2026,9.09,9.09,9.08,9.08,175108.76,19265.0
BTCI11,H1,21/05/2026,9.08,9.09,9.08,9.08,172902.64,19018.0
BTCI11,H1,21/05/2026,9.1,9.1,9.08,9.09,343430.23,37769.0
BTCI11,H1,21/05/2026,9.14,9.14,9.08,9.09,235476.33,25853.0
BTCI11,H1,20/05/2026,9.13,9.16,9.11,9.14,9515.73,1042.0
BTCI11,H1,20/05/2026,9.12,9.14,9.1,9.14,235297.4,25782.0
BTCI11,H1,20/05/2026,9.12,9.13,9.1,9.1,178671.0,19596.0
BTCI11,H1,20/05/2026,9.13,9.14,9.11,9.12,123567.3,13538.0
BTCI11,H1,20/05/2026,9.12,9.16,9.11,9.11,336235.15,36804.0
BTCI11,H1,20/05/2026,9.11,9.14,9.11,9.13,188008.94,20592.0
BTCI11,H1,20/05/2026,9.08,9.13,9.08,9.11,429471.84,47207.0
BTCI11,H1,20/05/2026,9.09,9.09,9.07,9.09,320070.32,35231.0
BTCI11,H1,19/05/2026,9.09,9.09,9.08,9.09,2763.57,304.0
BTCI11,H1,19/05/2026,9.09,9.09,9.07,9.07,447073.02,49202.0
BTCI11,H1,19/05/2026,9.09,9.09,9.08,9.09,229336.57,25220.0
BTCI11,H1,19/05/2026,9.08,9.09,9.07,9.09,476501.55,52427.0
BTCI11,H1,19/05/2026,9.09,9.09,9.07,9.08,225697.93,24827.0
BTCI11,H1,19/05/2026,9.09,9.09,9.08,9.09,183570.15,20191.0
BTCI11,H1,19/05/2026,9.08,9.09,9.07,9.09,196030.63,21574.0
BTCI11,H1,19/05/2026,9.12,9.12,9.07,9.08,432120.74,47547.0
BTCI11,H1,18/05/2026,9.11,9.12,9.11,9.12,3582.73,393.0
BTCI11,H1,18/05/2026,9.09,9.11,9.08,9.11,304619.82,33490.0
BTCI11,H1,18/05/2026,9.09,9.09,9.07,9.09,191379.44,21057.0
BTCI11,H1,18/05/2026,9.07,9.09,9.07,9.09,327098.12,35991.0
BTCI11,H1,18/05/2026,9.08,9.08,9.07,9.08,316004.57,34823.0
BTCI11,H1,18/05/2026,9.07,9.08,9.06,9.07,495374.26,54573.0
BTCI11,H1,18/05/2026,9.1,9.11,9.06,9.07,529511.35,58313.0
BTCI11,H1,18/05/2026,9.12,9.14,9.07,9.1,657245.28,72207.0
BTCI11,H1,15/05/2026,9.12,9.12,9.09,9.09,11572.17,1272.0
BTCI11,H1,15/05/2026,9.11,9.15,9.08,9.12,1073658.65,117770.0
BTCI11,H1,15/05/2026,9.11,9.12,9.1,9.11,129959.61,14257.0
BTCI11,H1,15/05/2026,9.12,9.12,9.1,9.1,229834.01,25211.0
BTCI11,H1,15/05/2026,9.1,9.12,9.09,9.11,231088.65,25373.0
BTCI11,H1,15/05/2026,9.1,9.11,9.09,9.1,336804.53,37004.0
BTCI11,H1,15/05/2026,9.11,9.12,9.09,9.1,595786.94,65392.0
BTCI11,H1,15/05/2026,9.15,9.18,9.09,9.1,661077.64,72421.0
BTCI11,H1,14/05/2026,9.12,9.14,9.12,9.14,13993.38,1533.0
BTCI11,H1,14/05/2026,9.11,9.13,9.1,9.12,247872.93,27192.0
BTCI11,H1,14/05/2026,9.11,9.12,9.1,9.1,169964.25,18655.0
BTCI11,H1,14/05/2026,9.1,9.12,9.09,9.12,211496.69,23210.0
BTCI11,H1,14/05/2026,9.1,9.12,9.1,9.1,445760.81,48892.0
BTCI11,H1,14/05/2026,9.09,9.12,9.08,9.1,244934.67,26912.0
BTCI11,H1,14/05/2026,9.1,9.11,9.08,9.08,395608.39,43501.0
BTCI11,H1,14/05/2026,9.07,9.11,9.07,9.09,205185.78,22582.0
BTCI11,H1,13/05/2026,9.07,9.07,9.07,9.07,3627.18,400.0
BTCI11,H1,13/05/2026,9.08,9.08,9.07,9.07,163416.2,18010.0
BTCI11,H1,13/05/2026,9.1,9.11,9.07,9.08,448944.14,49337.0
BTCI11,H1,13/05/2026,9.13,9.13,9.09,9.09,226620.99,24889.0
BTCI11,H1,13/05/2026,9.1,9.13,9.1,9.13,191646.48,21006.0
BTCI11,H1,13/05/2026,9.09,9.11,9.08,9.11,235900.91,25926.0
BTCI11,H1,13/05/2026,9.09,9.09,9.08,9.09,181079.88,19918.0
BTCI11,H1,13/05/2026,9.1,9.14,9.07,9.09,472585.39,51913.0
BTCI11,H1,12/05/2026,9.1,9.12,9.08,9.1,5242.99,576.0
BTCI11,H1,12/05/2026,9.1,9.11,9.08,9.08,385775.53,42431.0
BTCI11,H1,12/05/2026,9.1,9.11,9.09,9.11,249770.07,27429.0
BTCI11,H1,12/05/2026,9.1,9.1,9.09,9.1,259035.98,28461.0
BTCI11,H1,12/05/2026,9.11,9.11,9.09,9.1,267562.11,29392.0
BTCI11,H1,12/05/2026,9.1,9.12,9.08,9.1,284031.16,31190.0
BTCI11,H1,12/05/2026,9.12,9.13,9.08,9.09,324237.14,35597.0
BTCI11,H1,12/05/2026,9.1,9.14,9.04,9.11,728948.19,80161.0
BTCI11,H1,11/05/2026,9.11,9.16,9.1,9.16,34006.14,3726.0
BTCI11,H1,11/05/2026,9.13,9.14,9.08,9.1,660833.74,72545.0
BTCI11,H1,11/05/2026,9.16,9.16,9.1,9.14,381384.84,41743.0
BTCI11,H1,11/05/2026,9.21,9.21,9.15,9.15,389227.62,42375.0
BTCI11,H1,11/05/2026,9.22,9.22,9.19,9.2,181945.96,19751.0
BTCI11,H1,11/05/2026,9.23,9.23,9.21,9.22,350577.6,38009.0
BTCI11,H1,11/05/2026,9.23,9.26,9.21,9.22,2317675.89,250649.0
BTCI11,H1,11/05/2026,9.29,9.3,9.21,9.24,1075547.1,116158.0
BTCI11,H1,08/05/2026,9.28,9.28,9.25,9.25,11345.57,1225.0
BTCI11,H1,08/05/2026,9.25,9.28,9.24,9.28,208685.53,22545.0
BTCI11,H1,08/05/2026,9.24,9.25,9.23,9.24,307892.0,33319.0
BTCI11,H1,08/05/2026,9.23,9.24,9.22,9.23,231933.63,25130.0
BTCI11,H1,08/05/2026,9.22,9.23,9.21,9.22,169729.5,18416.0
BTCI11,H1,08/05/2026,9.23,9.24,9.21,9.22,365226.1,39607.0
BTCI11,H1,08/05/2026,9.21,9.24,9.2,9.23,265553.69,28807.0
BTCI11,H1,08/05/2026,9.2,9.22,9.18,9.2,460051.82,50011.0
BTCI11,H1,07/05/2026,9.2,9.2,9.18,9.2,11496.09,1252.0
BTCI11,H1,07/05/2026,9.2,9.2,9.16,9.18,902078.55,98286.0
BTCI11,H1,07/05/2026,9.19,9.21,9.19,9.2,456673.07,49647.0
BTCI11,H1,07/05/2026,9.22,9.22,9.19,9.2,652343.28,70883.0
BTCI11,H1,07/05/2026,9.21,9.22,9.2,9.21,179654.49,19512.0
BTCI11,H1,07/05/2026,9.21,9.21,9.2,9.21,156058.28,16949.0
BTCI11,H1,07/05/2026,9.2,9.21,9.19,9.2,388416.04,42225.0
BTCI11,H1,07/05/2026,9.24,9.26,9.19,9.2,749081.31,81313.0
BTCI11,H1,06/05/2026,9.2,9.21,9.19,9.2,23179.55,2520.0
BTCI11,H1,06/05/2026,9.22,9.23,9.19,9.2,608889.55,66106.0
BTCI11,H1,06/05/2026,9.19,9.23,9.19,9.21,256018.4,27794.0
BTCI11,H1,06/05/2026,9.22,9.23,9.19,9.2,511879.6,55598.0
BTCI11,H1,06/05/2026,9.25,9.25,9.18,9.23,517676.92,56200.0
BTCI11,H1,06/05/2026,9.25,9.25,9.23,9.25,126525.34,13689.0
BTCI11,H1,06/05/2026,9.17,9.25,9.16,9.25,451657.52,49098.0
BTCI11,H1,06/05/2026,9.16,9.18,9.13,9.17,520825.67,56890.0
BTCI11,H1,05/05/2026,9.15,9.16,9.14,9.16,19222.88,2100.0
BTCI11,H1,05/05/2026,9.16,9.16,9.14,9.15,211754.36,23135.0
BTCI11,H1,05/05/2026,9.15,9.16,9.13,9.14,477378.01,52169.0
BTCI11,H1,05/05/2026,9.17,9.17,9.13,9.14,338477.52,37011.0
BTCI11,H1,05/05/2026,9.18,9.2,9.15,9.15,452958.2,49356.0
BTCI11,H1,05/05/2026,9.14,9.18,9.13,9.18,302654.48,33059.0
BTCI11,H1,05/05/2026,9.12,9.15,9.12,9.13,466984.72,51124.0
BTCI11,H1,05/05/2026,9.16,9.17,9.12,9.12,340605.79,37288.0
BTCI11,H1,04/05/2026,9.15,9.15,9.14,9.15,29710.96,3250.0
BTCI11,H1,04/05/2026,9.14,9.16,9.13,9.14,159886.12,17485.0
BTCI11,H1,04/05/2026,9.12,9.16,9.12,9.15,245351.84,26845.0
BTCI11,H1,04/05/2026,9.15,9.15,9.08,9.12,763964.93,83846.0
BTCI11,H1,04/05/2026,9.17,9.18,9.12,9.14,435599.52,47617.0
BTCI11,H1,04/05/2026,9.22,9.22,9.16,9.18,572762.55,62368.0
BTCI11,H1,04/05/2026,9.23,9.24,9.18,9.21,704203.24,76514.0
BTCI11,H1,04/05/2026,9.28,9.29,9.22,9.24,784312.08,84822.0
BTCI11,H1,30/04/2026,9.25,9.26,9.24,9.26,9370.95,1014.0
BTCI11,H1,30/04/2026,9.23,9.25,9.21,9.24,646485.02,69992.0
BTCI11,H1,30/04/2026,9.33,9.34,9.21,9.23,1459152.35,157437.0
BTCI11,H1,30/04/2026,9.32,9.33,9.31,9.33,175408.15,18827.0
BTCI11,H1,30/04/2026,9.31,9.32,9.3,9.31,399168.0,42893.0
BTCI11,H1,30/04/2026,9.31,9.31,9.29,9.31,359149.5,38607.0
BTCI11,H1,30/04/2026,9.3,9.31,9.29,9.31,354192.69,38096.0
BTCI11,H1,30/04/2026,9.29,9.3,9.28,9.29,350272.28,37691.0
BTCI11,H1,29/04/2026,9.29,9.29,9.27,9.28,16423.51,1770.0
BTCI11,H1,29/04/2026,9.26,9.28,9.26,9.28,296823.03,32015.0
BTCI11,H1,29/04/2026,9.28,9.29,9.26,9.27,299310.26,32273.0
BTCI11,H1,29/04/2026,9.29,9.3,9.27,9.28,253490.36,27309.0
BTCI11,H1,29/04/2026,9.28,9.29,9.27,9.28,195599.07,21072.0
BTCI11,H1,29/04/2026,9.29,9.29,9.27,9.28,235110.21,25343.0
BTCI11,H1,29/04/2026,9.28,9.29,9.27,9.29,280243.52,30195.0
BTCI11,H1,29/04/2026,9.24,9.29,9.24,9.28,291746.52,31462.0
BTCI11,H1,28/04/2026,9.24,9.28,9.23,9.23,11962.87,1294.0
BTCI11,H1,28/04/2026,9.28,9.28,9.24,9.24,197794.23,21362.0
BTCI11,H1,28/04/2026,9.32,9.33,9.25,9.27,827887.52,89087.0
BTCI11,H1,28/04/2026,9.33,9.33,9.31,9.31,329657.9,35391.0
BTCI11,H1,28/04/2026,9.31,9.33,9.3,9.32,168649.14,18112.0
