symbol,timeframe,date,open,high,low,close,volume,quantity
BTCI11,M15,09/06/2026,9.15,9.17,9.14,9.17,145019.29,15846.0
BTCI11,M15,09/06/2026,9.15,9.16,9.15,9.16,42980.59,4695.0
BTCI11,M15,09/06/2026,9.15,9.16,9.15,9.16,123376.16,13473.0
BTCI11,M15,09/06/2026,9.16,9.16,9.15,9.16,51415.43,5615.0
BTCI11,M15,09/06/2026,9.15,9.16,9.15,9.16,56198.98,6139.0
BTCI11,M15,09/06/2026,9.15,9.16,9.15,9.16,83890.24,9161.0
BTCI11,M15,09/06/2026,9.16,9.16,9.15,9.16,58051.67,6340.0
BTCI11,M15,09/06/2026,9.15,9.16,9.15,9.16,40116.58,4382.0
BTCI11,M15,09/06/2026,9.14,9.16,9.14,9.16,187335.9,20458.0
BTCI11,M15,09/06/2026,9.14,9.15,9.14,9.15,64773.26,7083.0
BTCI11,M15,09/06/2026,9.14,9.15,9.14,9.15,28963.99,3166.0
BTCI11,M15,09/06/2026,9.15,9.15,9.14,9.15,87832.92,9604.0
BTCI11,M15,09/06/2026,9.15,9.15,9.14,9.15,30531.93,3338.0
BTCI11,M15,09/06/2026,9.14,9.15,9.13,9.15,42336.81,4629.0
BTCI11,M15,09/06/2026,9.15,9.15,9.14,9.15,31363.14,3428.0
BTCI11,M15,09/06/2026,9.14,9.15,9.14,9.14,68489.76,7489.0
BTCI11,M15,09/06/2026,9.14,9.15,9.14,9.15,68330.73,7473.0
BTCI11,M15,09/06/2026,9.15,9.16,9.14,9.15,88368.24,9655.0
BTCI11,M15,09/06/2026,9.16,9.16,9.15,9.16,34580.86,3776.0
BTCI11,M15,09/06/2026,9.16,9.16,9.15,9.16,53271.15,5817.0
BTCI11,M15,09/06/2026,9.16,9.17,9.15,9.16,88174.31,9623.0
BTCI11,M15,09/06/2026,9.17,9.17,9.15,9.17,916227.89,99994.0
BTCI11,M15,09/06/2026,9.18,9.18,9.16,9.17,194595.36,21218.0
BTCI11,M15,09/06/2026,9.18,9.18,9.17,9.18,39741.34,4331.0
BTCI11,M15,09/06/2026,9.18,9.18,9.17,9.18,328254.1,35763.0
BTCI11,M15,09/06/2026,9.15,9.18,9.14,9.18,401179.61,43759.0
BTCI11,M15,09/06/2026,9.15,9.16,9.14,9.15,440496.1,48131.0
BTCI11,M15,09/06/2026,9.12,9.18,9.1,9.15,490855.24,53728.0
BTCI11,M15,08/06/2026,9.07,9.07,9.01,9.02,118156.07,13075.0
BTCI11,M15,08/06/2026,9.06,9.07,9.05,9.07,304573.28,33638.0
BTCI11,M15,08/06/2026,9.07,9.07,9.05,9.06,97136.08,10723.0
BTCI11,M15,08/06/2026,9.07,9.07,9.05,9.05,122189.06,13485.0
BTCI11,M15,08/06/2026,9.07,9.07,9.06,9.07,373281.56,41189.0
BTCI11,M15,08/06/2026,9.09,9.09,9.07,9.07,249515.95,27479.0
BTCI11,M15,08/06/2026,9.09,9.1,9.08,9.09,231450.99,25448.0
BTCI11,M15,08/06/2026,9.1,9.1,9.09,9.09,75876.54,8337.0
BTCI11,M15,08/06/2026,9.1,9.1,9.09,9.1,58578.94,6436.0
BTCI11,M15,08/06/2026,9.11,9.11,9.09,9.09,268916.73,29539.0
BTCI11,M15,08/06/2026,9.12,9.12,9.1,9.11,117469.13,12890.0
