symbol,timeframe,date,open,high,low,close,volume,quantity
BTCLIQUSD,D1,09/06/2026,61975.79,61975.79,61975.79,61975.79,0.0,0.0
BTCLIQUSD,D1,08/06/2026,60226.0,63404.34,60226.0,63404.34,0.0,0.0
BTCLIQUSD,D1,05/06/2026,60226.0,60226.0,60226.0,60226.0,0.0,0.0
BTCLIQUSD,D1,03/06/2026,65368.55,65368.55,65368.55,65368.55,0.0,0.0
BTCLIQUSD,D1,02/06/2026,67164.66,67164.66,67164.66,67164.66,0.0,0.0
BTCLIQUSD,D1,01/06/2026,73479.22,73479.22,71456.87,71456.87,0.0,0.0
BTCLIQUSD,D1,29/05/2026,73479.22,73479.22,73479.22,73479.22,0.0,0.0
BTCLIQUSD,D1,28/05/2026,73348.66,73348.66,73348.66,73348.66,0.0,0.0
BTCLIQUSD,D1,27/05/2026,74895.77,74895.77,74895.77,74895.77,0.0,0.0
BTCLIQUSD,D1,26/05/2026,75932.16,75932.16,75932.16,75932.16,0.0,0.0
BTCLIQUSD,D1,25/05/2026,75754.77,77373.14,75754.77,77373.14,0.0,0.0
BTCLIQUSD,D1,22/05/2026,75754.77,75754.77,75754.77,75754.77,0.0,0.0
BTCLIQUSD,D1,21/05/2026,77644.15,77644.15,77644.15,77644.15,0.0,0.0
BTCLIQUSD,D1,20/05/2026,77590.05,77590.05,77590.05,77590.05,0.0,0.0
BTCLIQUSD,D1,19/05/2026,76761.3,76761.3,76761.3,76761.3,0.0,0.0
BTCLIQUSD,D1,18/05/2026,79110.14,79110.14,76844.17,76844.17,0.0,0.0
BTCLIQUSD,D1,15/05/2026,79110.14,79110.14,79110.14,79110.14,0.0,0.0
BTCLIQUSD,D1,14/05/2026,81435.67,81435.67,81435.67,81435.67,0.0,0.0
BTCLIQUSD,D1,13/05/2026,79544.64,79544.64,79544.64,79544.64,0.0,0.0
BTCLIQUSD,D1,12/05/2026,80807.5,80807.5,80807.5,80807.5,0.0,0.0
BTCLIQUSD,D1,11/05/2026,80106.4,81954.26,80106.4,81954.26,0.0,0.0
BTCLIQUSD,D1,08/05/2026,80106.4,80106.4,80106.4,80106.4,0.0,0.0
BTCLIQUSD,D1,07/05/2026,80106.59,80106.59,80106.59,80106.59,0.0,0.0
BTCLIQUSD,D1,06/05/2026,81478.05,81478.05,81478.05,81478.05,0.0,0.0
BTCLIQUSD,D1,05/05/2026,81607.09,81607.09,81607.09,81607.09,0.0,0.0
BTCLIQUSD,D1,04/05/2026,76393.25,80014.49,76393.25,80014.49,0.0,0.0
BTCLIQUSD,D1,30/04/2026,76393.25,76393.25,76393.25,76393.25,0.0,0.0
BTCLIQUSD,D1,29/04/2026,75470.99,75470.99,75470.99,75470.99,0.0,0.0
BTCLIQUSD,D1,28/04/2026,76319.71,76319.71,76319.71,76319.71,0.0,0.0
BTCLIQUSD,D1,27/04/2026,76831.91,76831.91,76831.91,76831.91,0.0,0.0
