symbol,timeframe,date,open,high,low,close,volume,quantity
CMDB11,D1,09/06/2026,16.53,16.63,16.4,16.61,91706.19,5522.0
CMDB11,D1,08/06/2026,16.67,16.68,16.39,16.62,24919.46,1502.0
CMDB11,D1,05/06/2026,16.78,16.9,16.36,16.54,146008.39,8792.0
CMDB11,D1,03/06/2026,17.14,17.14,16.78,16.83,2106509.81,124180.0
CMDB11,D1,02/06/2026,16.99,17.19,16.84,17.09,211365.87,12429.0
CMDB11,D1,01/06/2026,16.84,16.94,16.52,16.76,944118.48,56463.0
CMDB11,D1,29/05/2026,17.1,17.1,16.72,16.82,304196.87,18113.0
CMDB11,D1,28/05/2026,17.07,17.12,16.88,17.02,314118.38,18472.0
CMDB11,D1,27/05/2026,17.09,17.12,16.88,17.06,258303.63,15210.0
CMDB11,D1,26/05/2026,17.26,17.28,17.0,17.11,84704.8,4935.0
CMDB11,D1,25/05/2026,17.5,17.5,17.09,17.17,162450.76,9437.0
CMDB11,D1,22/05/2026,17.41,17.44,17.25,17.39,68903.82,3971.0
CMDB11,D1,21/05/2026,17.34,17.64,17.31,17.37,65809.8,3779.0
CMDB11,D1,20/05/2026,17.38,17.52,17.2,17.34,189645.34,10921.0
CMDB11,D1,19/05/2026,17.15,17.31,17.04,17.2,94629.58,5504.0
CMDB11,D1,18/05/2026,17.43,17.43,17.21,17.38,252947.82,14568.0
CMDB11,D1,15/05/2026,17.42,17.43,17.15,17.43,26859.3,1549.0
CMDB11,D1,14/05/2026,17.24,17.51,17.15,17.4,34312.47,1980.0
CMDB11,D1,13/05/2026,17.4,17.46,16.87,17.27,2156590.1,124925.0
CMDB11,D1,12/05/2026,17.4,17.4,17.12,17.31,628456.88,36583.0
CMDB11,D1,11/05/2026,17.25,17.5,17.12,17.32,88010.33,5104.0
CMDB11,D1,08/05/2026,17.12,17.3,17.12,17.19,81157.02,4721.0
CMDB11,D1,07/05/2026,17.54,17.54,17.1,17.15,102470.14,5959.0
CMDB11,D1,06/05/2026,17.64,17.64,17.36,17.48,136411.93,7810.0
CMDB11,D1,05/05/2026,17.52,17.54,17.36,17.49,71147.3,4071.0
CMDB11,D1,04/05/2026,17.49,17.74,17.39,17.52,113640.54,6485.0
CMDB11,D1,30/04/2026,17.39,17.55,17.39,17.49,325765.75,18674.0
CMDB11,D1,29/04/2026,17.48,17.57,17.2,17.39,955809.83,54584.0
CMDB11,D1,28/04/2026,17.44,17.52,17.14,17.47,187216.29,10730.0
CMDB11,D1,27/04/2026,17.59,17.59,17.41,17.43,72072.64,4124.0
CMDB11,D1,24/04/2026,17.63,17.63,17.25,17.41,91084.11,5235.0
CMDB11,D1,23/04/2026,17.7,17.79,17.5,17.5,85111.03,4852.0
CMDB11,D1,22/04/2026,17.69,17.77,17.38,17.63,105098.35,5939.0
CMDB11,D1,20/04/2026,17.68,17.95,17.61,17.63,64776.07,3661.0
CMDB11,D1,17/04/2026,17.95,18.23,17.3,17.58,251989.07,14313.0
CMDB11,D1,16/04/2026,17.9,17.93,17.8,17.81,124961.35,6995.0
CMDB11,D1,15/04/2026,17.74,18.03,17.56,17.72,391072.49,21924.0
CMDB11,D1,14/04/2026,18.25,18.34,17.95,18.03,541211.65,29966.0
CMDB11,D1,13/04/2026,17.95,18.25,17.94,18.09,737042.91,40730.0
CMDB11,D1,10/04/2026,17.88,17.97,17.75,17.94,26785.47,1499.0
CMDB11,D1,09/04/2026,17.5,17.94,17.5,17.76,3686006.42,208716.0
CMDB11,D1,08/04/2026,18.22,18.37,17.25,17.53,3607884.55,207618.0
CMDB11,D1,07/04/2026,17.59,17.77,17.52,17.58,129444.68,7370.0
CMDB11,D1,06/04/2026,17.94,17.94,17.68,17.69,98326.36,5542.0
CMDB11,D1,02/04/2026,17.52,17.97,17.27,17.76,186510.09,10537.0
CMDB11,D1,01/04/2026,17.75,18.06,17.27,17.57,992229.8,56674.0
CMDB11,D1,31/03/2026,18.0,18.11,17.71,17.75,346284.14,19261.0
CMDB11,D1,30/03/2026,17.85,18.09,17.77,17.82,1299655.54,72391.0
CMDB11,D1,27/03/2026,17.62,17.88,17.52,17.66,4484992.0,253305.0
CMDB11,D1,26/03/2026,17.39,17.58,17.32,17.49,340137.7,19485.0
CMDB11,D1,25/03/2026,17.34,17.5,17.14,17.38,654283.74,37736.0
CMDB11,D1,24/03/2026,16.95,17.33,16.95,17.24,2336991.03,136137.0
CMDB11,D1,23/03/2026,16.95,17.15,16.69,16.98,4097645.85,243868.0
CMDB11,D1,20/03/2026,16.98,16.98,16.41,16.66,564827.07,33959.0
CMDB11,D1,19/03/2026,16.87,17.42,16.75,16.86,2084976.07,122999.0
CMDB11,D1,18/03/2026,17.07,17.25,16.95,16.97,1365976.2,80013.0
CMDB11,D1,17/03/2026,16.99,17.16,16.92,16.92,242961.16,14230.0
CMDB11,D1,16/03/2026,16.9,17.04,16.66,16.74,286209.11,16976.0
CMDB11,D1,13/03/2026,16.9,16.91,16.54,16.54,129008.01,7708.0
CMDB11,D1,12/03/2026,16.85,17.0,16.71,16.73,1709567.5,101384.0
CMDB11,D1,11/03/2026,16.78,17.04,16.78,16.92,28612.42,1694.0
CMDB11,D1,10/03/2026,16.96,16.96,16.6,16.8,14764.7,881.0
CMDB11,D1,09/03/2026,16.74,16.97,16.65,16.78,1029284.91,61659.0
CMDB11,D1,06/03/2026,16.65,16.91,16.55,16.67,320380.57,19231.0
CMDB11,D1,05/03/2026,16.89,16.89,16.59,16.63,701589.36,42250.0
CMDB11,D1,04/03/2026,16.9,16.9,16.63,16.8,33499.05,1999.0
CMDB11,D1,03/03/2026,17.07,17.22,16.46,16.79,819946.31,48876.0
CMDB11,D1,02/03/2026,17.12,17.52,17.11,17.3,302082.42,17454.0
CMDB11,D1,27/02/2026,17.1,17.15,17.02,17.06,288085.36,16818.0
CMDB11,D1,26/02/2026,17.18,17.18,17.02,17.05,5080.38,297.0
CMDB11,D1,25/02/2026,17.02,17.3,17.02,17.13,2075330.18,120622.0
CMDB11,D1,24/02/2026,16.98,17.08,16.79,17.03,52868.61,3102.0
CMDB11,D1,23/02/2026,16.87,17.19,16.54,16.81,2081970.12,123225.0
CMDB11,D1,20/02/2026,16.61,16.77,16.52,16.76,40516.28,2424.0
CMDB11,D1,19/02/2026,16.48,16.77,16.48,16.64,210701.15,12572.0
CMDB11,D1,18/02/2026,16.8,16.97,16.41,16.5,74465.57,4462.0
CMDB11,D1,13/02/2026,16.72,16.72,16.45,16.59,8154.18,493.0
CMDB11,D1,12/02/2026,17.21,17.21,16.7,16.72,22384.4,1322.0
CMDB11,D1,11/02/2026,16.66,17.1,16.66,17.09,33546.69,1978.0
CMDB11,D1,10/02/2026,16.64,16.64,16.44,16.46,110937.53,6735.0
CMDB11,D1,09/02/2026,16.31,16.54,16.28,16.51,71650.49,4374.0
CMDB11,D1,06/02/2026,16.25,16.34,16.16,16.24,56948.83,3512.0
CMDB11,D1,05/02/2026,16.69,16.69,16.26,16.26,24683.65,1505.0
CMDB11,D1,04/02/2026,16.79,16.79,16.43,16.54,134180.87,8097.0
CMDB11,D1,03/02/2026,16.65,16.77,16.49,16.67,182188.08,11001.0
CMDB11,D1,02/02/2026,16.46,16.46,16.26,16.32,73433.76,4499.0
CMDB11,D1,30/01/2026,16.79,16.83,16.3,16.38,1351350.88,82633.0
CMDB11,D1,29/01/2026,16.91,17.04,16.57,16.58,169253.55,10125.0
CMDB11,D1,28/01/2026,16.53,16.81,16.45,16.73,65977.23,3954.0
CMDB11,D1,27/01/2026,16.31,16.79,16.25,16.43,222524.33,13634.0
CMDB11,D1,26/01/2026,16.33,16.33,16.09,16.12,48759.33,3010.0
CMDB11,D1,23/01/2026,15.85,16.35,15.85,16.27,97927.87,6073.0
CMDB11,D1,22/01/2026,15.7,16.16,15.7,15.85,189891.61,11843.0
CMDB11,D1,21/01/2026,15.5,15.78,15.41,15.78,25914.87,1661.0
CMDB11,D1,20/01/2026,15.2,15.38,15.2,15.36,836453.4,54561.0
CMDB11,D1,19/01/2026,15.11,15.33,15.11,15.27,793641.32,51847.0
CMDB11,D1,16/01/2026,15.35,15.38,15.26,15.26,484287.87,31513.0
CMDB11,D1,15/01/2026,15.45,15.48,15.29,15.33,107281.42,6975.0
CMDB11,D1,14/01/2026,15.07,15.39,15.07,15.39,842.52,55.0
CMDB11,D1,13/01/2026,14.99,15.09,14.9,14.99,402438.81,26754.0
CMDB11,D1,12/01/2026,14.9,15.0,14.74,14.9,64245.6,4330.0
CMDB11,D1,09/01/2026,14.68,14.84,14.68,14.74,255009.62,17224.0
CMDB11,D1,08/01/2026,14.66,14.68,14.63,14.67,703.41,48.0
CMDB11,D1,07/01/2026,14.58,14.68,14.5,14.62,2021.11,138.0
CMDB11,D1,06/01/2026,14.59,14.69,14.46,14.58,1048480.34,72425.0
CMDB11,D1,05/01/2026,14.61,14.61,14.48,14.48,3759.97,258.0
CMDB11,D1,02/01/2026,14.73,14.78,14.41,14.58,5246.32,361.0
CMDB11,D1,30/12/2025,14.62,14.65,14.58,14.58,3598.64,246.0
CMDB11,D1,29/12/2025,14.73,14.73,14.46,14.56,7352.26,505.0
CMDB11,D1,26/12/2025,14.5,14.68,14.45,14.58,453827.03,31159.0
CMDB11,D1,23/12/2025,14.69,14.73,14.4,14.5,6772.51,466.0
CMDB11,D1,22/12/2025,14.15,14.52,14.15,14.42,8333.06,576.0
CMDB11,D1,19/12/2025,14.43,14.43,14.18,14.25,24467.39,1702.0
CMDB11,D1,18/12/2025,14.24,15.14,13.9,14.28,5500.26,384.0
CMDB11,D1,17/12/2025,14.1,14.22,14.1,14.14,196948.17,13869.0
CMDB11,D1,16/12/2025,13.91,14.2,13.91,14.1,2354.64,166.0
CMDB11,D1,15/12/2025,14.17,14.42,14.05,14.2,1308940.29,92939.0
CMDB11,D1,12/12/2025,14.05,14.17,13.89,14.17,500454.07,35719.0
CMDB11,D1,11/12/2025,14.23,14.37,13.96,14.04,52431.81,3688.0
CMDB11,D1,10/12/2025,14.04,14.17,14.04,14.17,1305.85,93.0
CMDB11,D1,09/12/2025,13.89,14.0,13.88,13.95,237.09,17.0
CMDB11,D1,08/12/2025,14.01,14.01,13.89,13.89,9213.62,661.0
CMDB11,D1,05/12/2025,14.17,14.24,13.87,13.87,48580.04,3443.0
CMDB11,D1,04/12/2025,13.91,14.15,13.91,14.15,3099.81,220.0
CMDB11,D1,03/12/2025,13.7,13.98,13.7,13.98,23821.57,1728.0
CMDB11,D1,02/12/2025,13.74,13.74,13.61,13.64,690484.68,50653.0
CMDB11,D1,01/12/2025,13.69,13.69,13.55,13.55,23392.47,1724.0
CMDB11,D1,28/11/2025,13.63,13.63,13.52,13.56,3421.68,252.0
CMDB11,D1,27/11/2025,13.76,13.76,13.55,13.59,21804.14,1594.0
CMDB11,D1,26/11/2025,13.67,13.67,13.59,13.63,14022.35,1027.0
CMDB11,D1,25/11/2025,13.44,13.54,13.41,13.51,706476.98,52593.0
CMDB11,D1,24/11/2025,13.73,13.73,13.36,13.57,48074.0,3560.0
CMDB11,D1,21/11/2025,13.65,13.66,13.6,13.6,1646.6,121.0
CMDB11,D1,19/11/2025,13.93,13.97,13.67,13.68,502410.23,36561.0
CMDB11,D1,18/11/2025,13.91,13.91,13.85,13.85,1680.35,121.0
CMDB11,D1,17/11/2025,13.97,13.97,13.84,13.91,7757.78,559.0
