symbol,timeframe,date,open,high,low,close,volume,quantity
CMIG4,H1,09/06/2026,10.87,10.87,10.81,10.81,41540902.0,3837100.0
CMIG4,H1,09/06/2026,10.82,10.88,10.81,10.86,13577400.0,1251000.0
CMIG4,H1,09/06/2026,10.84,10.85,10.8,10.81,6250759.0,577000.0
CMIG4,H1,09/06/2026,10.86,10.88,10.77,10.83,10390908.0,959400.0
CMIG4,H1,09/06/2026,10.86,10.88,10.83,10.85,5556616.0,512100.0
CMIG4,H1,09/06/2026,10.88,10.93,10.84,10.87,11058123.0,1015400.0
CMIG4,H1,09/06/2026,10.85,10.89,10.77,10.88,12116500.0,1118400.0
CMIG4,H1,08/06/2026,10.76,10.78,10.75,10.77,292650.0,27200.0
CMIG4,H1,08/06/2026,10.76,10.77,10.74,10.76,37544893.0,3490100.0
CMIG4,H1,08/06/2026,10.74,10.76,10.71,10.75,21433763.0,1997200.0
CMIG4,H1,08/06/2026,10.76,10.76,10.7,10.74,20107541.0,1874500.0
CMIG4,H1,08/06/2026,10.83,10.83,10.75,10.76,20767464.0,1924900.0
CMIG4,H1,08/06/2026,10.86,10.87,10.82,10.82,10056730.0,927700.0
CMIG4,H1,08/06/2026,10.77,10.86,10.74,10.85,216884710.0,20135700.0
CMIG4,H1,08/06/2026,10.85,10.91,10.77,10.77,11302978.0,1043800.0
CMIG4,H1,05/06/2026,10.89,10.9,10.89,10.9,40313.0,3700.0
CMIG4,H1,05/06/2026,10.88,10.89,10.86,10.88,19583111.0,1800200.0
CMIG4,H1,05/06/2026,10.87,10.93,10.85,10.89,9520284.0,874400.0
CMIG4,H1,05/06/2026,10.84,10.88,10.83,10.87,4270403.0,393500.0
CMIG4,H1,05/06/2026,10.84,10.86,10.82,10.85,4570935.0,421800.0
CMIG4,H1,05/06/2026,10.88,10.9,10.82,10.84,10530953.0,969800.0
CMIG4,H1,05/06/2026,10.88,10.91,10.83,10.88,7563609.0,695800.0
CMIG4,H1,05/06/2026,10.87,10.9,10.79,10.88,10618751.0,979100.0
CMIG4,H1,03/06/2026,10.87,10.87,10.84,10.87,253132.0,23300.0
CMIG4,H1,03/06/2026,10.83,10.86,10.8,10.86,39753828.0,3666900.0
CMIG4,H1,03/06/2026,10.75,10.83,10.74,10.83,25132067.0,2329700.0
CMIG4,H1,03/06/2026,10.85,10.87,10.73,10.75,36265932.0,3359800.0
CMIG4,H1,03/06/2026,10.9,10.9,10.84,10.86,14882547.0,1369900.0
CMIG4,H1,03/06/2026,10.94,10.96,10.89,10.9,11636690.0,1065900.0
CMIG4,H1,03/06/2026,10.98,10.99,10.91,10.95,17684263.0,1617000.0
CMIG4,H1,03/06/2026,10.9,11.05,10.84,10.98,14824979.0,1356000.0
CMIG4,H1,02/06/2026,11.0,11.02,11.0,11.02,326037.0,29600.0
CMIG4,H1,02/06/2026,11.0,11.0,10.95,11.0,21936781.0,1996400.0
CMIG4,H1,02/06/2026,10.94,11.03,10.94,11.0,13508645.0,1228400.0
CMIG4,H1,02/06/2026,10.97,10.98,10.94,10.94,8863390.0,809200.0
CMIG4,H1,02/06/2026,11.01,11.03,10.95,10.98,5863897.0,533700.0
CMIG4,H1,02/06/2026,11.06,11.08,11.01,11.01,12881548.0,1164900.0
CMIG4,H1,02/06/2026,10.93,11.1,10.88,11.07,34494057.0,3122600.0
CMIG4,H1,02/06/2026,10.84,10.95,10.79,10.93,11501495.0,1058800.0
CMIG4,H1,01/06/2026,10.81,10.82,10.78,10.81,212809.0,19700.0
CMIG4,H1,01/06/2026,10.73,10.81,10.71,10.81,45582423.0,4232500.0
CMIG4,H1,01/06/2026,10.7,10.75,10.68,10.73,26580730.0,2480200.0
CMIG4,H1,01/06/2026,10.83,10.83,10.7,10.7,20264121.0,1882700.0
CMIG4,H1,01/06/2026,10.8,10.83,10.75,10.83,24552067.0,2275900.0
CMIG4,H1,01/06/2026,10.8,10.85,10.76,10.8,28501957.0,2638400.0
CMIG4,H1,01/06/2026,10.82,10.86,10.76,10.8,21262558.0,1968400.0
CMIG4,H1,01/06/2026,11.05,11.05,10.71,10.82,107530243.0,9812700.0
CMIG4,H1,29/05/2026,10.86,10.9,10.76,10.9,1473142.0,135800.0
CMIG4,H1,29/05/2026,11.1,11.13,10.76,10.76,205068477.0,18999500.0
CMIG4,H1,29/05/2026,11.12,11.13,11.1,11.11,8221290.0,739900.0
CMIG4,H1,29/05/2026,11.06,11.13,11.05,11.11,8301994.0,748300.0
CMIG4,H1,29/05/2026,11.02,11.07,11.02,11.05,6708852.0,607300.0
CMIG4,H1,29/05/2026,11.02,11.08,11.01,11.02,6680358.0,605000.0
CMIG4,H1,29/05/2026,10.98,11.03,10.93,11.01,16038980.0,1463200.0
CMIG4,H1,29/05/2026,11.07,11.09,10.95,10.98,15295856.0,1389800.0
CMIG4,H1,28/05/2026,11.05,11.09,11.04,11.05,386780.0,35000.0
CMIG4,H1,28/05/2026,11.1,11.11,11.04,11.05,28549308.0,2581100.0
CMIG4,H1,28/05/2026,11.15,11.16,11.1,11.1,8893296.0,799300.0
CMIG4,H1,28/05/2026,11.14,11.17,11.13,11.15,9141730.0,819900.0
CMIG4,H1,28/05/2026,11.06,11.15,11.05,11.15,7492376.0,674500.0
CMIG4,H1,28/05/2026,11.1,11.12,11.05,11.05,15130788.0,1365400.0
CMIG4,H1,28/05/2026,11.15,11.23,11.09,11.11,24561018.0,2202100.0
CMIG4,H1,28/05/2026,11.22,11.24,11.05,11.15,14381561.0,1291000.0
CMIG4,H1,27/05/2026,11.16,11.2,11.16,11.18,164360.0,14700.0
CMIG4,H1,27/05/2026,11.19,11.19,11.14,11.16,38572979.0,3455000.0
CMIG4,H1,27/05/2026,11.22,11.24,11.16,11.2,33738084.0,3010000.0
CMIG4,H1,27/05/2026,11.24,11.25,11.18,11.22,8333523.0,743500.0
CMIG4,H1,27/05/2026,11.22,11.26,11.21,11.24,7585396.0,675300.0
CMIG4,H1,27/05/2026,11.2,11.25,11.17,11.22,11258179.0,1004100.0
CMIG4,H1,27/05/2026,11.22,11.22,11.14,11.19,13703318.0,1225400.0
CMIG4,H1,27/05/2026,11.35,11.35,11.17,11.22,14463860.0,1286800.0
CMIG4,H1,26/05/2026,11.19,11.21,11.18,11.21,117598.0,10500.0
CMIG4,H1,26/05/2026,11.17,11.2,11.17,11.2,71849205.0,6418500.0
CMIG4,H1,26/05/2026,11.17,11.19,11.15,11.17,21242842.0,1902600.0
CMIG4,H1,26/05/2026,11.16,11.19,11.15,11.16,11427228.0,1023000.0
CMIG4,H1,26/05/2026,11.18,11.21,11.16,11.16,10053962.0,898800.0
CMIG4,H1,26/05/2026,11.24,11.25,11.18,11.19,10725803.0,957400.0
CMIG4,H1,26/05/2026,11.19,11.25,11.16,11.25,10888374.0,972200.0
CMIG4,H1,26/05/2026,11.27,11.28,11.16,11.19,10352824.0,922400.0
CMIG4,H1,25/05/2026,11.28,11.3,11.25,11.27,250213.0,22200.0
CMIG4,H1,25/05/2026,11.29,11.3,11.25,11.27,19766162.0,1752900.0
CMIG4,H1,25/05/2026,11.27,11.3,11.26,11.29,7890459.0,699600.0
CMIG4,H1,25/05/2026,11.26,11.28,11.25,11.26,7192978.0,638400.0
CMIG4,H1,25/05/2026,11.27,11.28,11.23,11.26,5814987.0,516800.0
CMIG4,H1,25/05/2026,11.28,11.3,11.26,11.26,6907123.0,612400.0
CMIG4,H1,25/05/2026,11.29,11.3,11.27,11.28,5156936.0,457000.0
CMIG4,H1,25/05/2026,11.34,11.37,11.25,11.29,9182864.0,813700.0
CMIG4,H1,22/05/2026,11.2,11.24,11.2,11.23,6735.0,600.0
CMIG4,H1,22/05/2026,11.25,11.26,11.19,11.22,33870634.0,3017700.0
CMIG4,H1,22/05/2026,11.25,11.27,11.23,11.25,17767098.0,1579900.0
CMIG4,H1,22/05/2026,11.24,11.31,11.24,11.25,9452217.0,839500.0
