symbol,timeframe,date,open,high,low,close,volume,quantity
DI1F29,D1,09/06/2026,14.905,14.99,14.775,14.92,37744324877.19,537232.0
DI1F29,D1,08/06/2026,14.795,14.975,14.615,14.945,56880985814.56,808965.0
DI1F29,D1,05/06/2026,14.38,14.82,14.305,14.81,59849878262.12,848126.0
DI1F29,D1,03/06/2026,14.07,14.46,14.05,14.375,62902069471.13,885466.0
DI1F29,D1,02/06/2026,14.04,14.08,13.97,14.015,27797651607.05,389266.0
DI1F29,D1,01/06/2026,13.9,14.06,13.865,14.06,35876498476.87,501699.0
DI1F29,D1,29/05/2026,13.88,13.94,13.825,13.86,28313035511.33,395446.0
DI1F29,D1,28/05/2026,13.85,13.925,13.76,13.885,33957681128.76,474183.0
DI1F29,D1,27/05/2026,13.78,13.84,13.715,13.83,31021945698.22,432723.0
DI1F29,D1,26/05/2026,13.725,13.83,13.725,13.815,20621758769.11,287921.0
DI1F29,D1,25/05/2026,13.71,13.74,13.645,13.71,21651752752.83,301759.0
DI1F29,D1,22/05/2026,13.85,13.96,13.82,13.895,26063217094.43,365025.0
DI1F29,D1,21/05/2026,13.955,14.105,13.795,13.845,44726036843.61,627340.0
DI1F29,D1,20/05/2026,14.075,14.13,13.89,13.955,34671649254.48,487379.0
DI1F29,D1,19/05/2026,14.045,14.145,14.015,14.115,29256632105.74,412422.0
DI1F29,D1,18/05/2026,14.1,14.145,13.995,13.995,27566198515.78,388388.0
DI1F29,D1,15/05/2026,14.05,14.18,14.05,14.165,35261263225.92,497849.0
DI1F29,D1,14/05/2026,14.045,14.095,13.915,13.99,36252706254.26,510295.0
DI1F29,D1,13/05/2026,13.775,14.105,13.75,14.05,63634014676.59,896281.0
DI1F29,D1,12/05/2026,13.725,13.815,13.72,13.75,18833749700.44,264223.0
DI1F29,D1,11/05/2026,13.575,13.7,13.575,13.695,31577035349.57,442083.0
DI1F29,D1,08/05/2026,13.59,13.62,13.485,13.505,15958989151.36,222827.0
DI1F29,D1,07/05/2026,13.495,13.65,13.425,13.635,37711587747.11,526933.0
DI1F29,D1,06/05/2026,13.45,13.58,13.45,13.52,31980348224.11,446890.0
DI1F29,D1,05/05/2026,13.78,13.84,13.7,13.765,24130224748.36,339201.0
DI1F29,D1,04/05/2026,13.73,13.885,13.68,13.85,24126932775.79,339679.0
DI1F29,D1,30/04/2026,13.8,13.8,13.65,13.71,35522905611.12,499378.0
DI1F29,D1,29/04/2026,13.64,13.89,13.63,13.845,39786544489.31,560582.0
DI1F29,D1,28/04/2026,13.695,13.745,13.575,13.58,28798727575.06,404685.0
DI1F29,D1,27/04/2026,13.44,13.62,13.425,13.615,10695107935.01,150019.0
DI1F29,D1,24/04/2026,13.55,13.55,13.425,13.47,21715383148.38,304320.0
DI1F29,D1,23/04/2026,13.33,13.585,13.295,13.575,52316707115.18,732780.0
DI1F29,D1,22/04/2026,13.2,13.32,13.2,13.305,21053098762.51,293848.0
