symbol,timeframe,date,open,high,low,close,volume,quantity
DI1X29,H1,09/06/2026,14.885,14.885,14.885,14.885,125038.41,2.0
DI1X29,H1,09/06/2026,14.755,14.755,14.755,14.755,941388.93,15.0
DI1X29,H1,08/06/2026,14.905,14.905,14.905,14.905,62447.94,1.0
DI1X29,H1,08/06/2026,14.735,14.735,14.735,14.735,1694575.53,27.0
DI1X29,H1,05/06/2026,14.785,14.785,14.785,14.785,4133921.42,66.0
DI1X29,H1,05/06/2026,14.235,14.3,14.235,14.3,127205.75,2.0
DI1X29,H1,03/06/2026,14.23,14.23,14.23,14.23,2354683.58,37.0
DI1X29,H1,03/06/2026,14.25,14.25,14.24,14.24,2862744.88,45.0
DI1X29,H1,03/06/2026,14.2,14.23,14.2,14.23,1209540.55,19.0
DI1X29,H1,02/06/2026,14.065,14.065,14.065,14.065,63919.96,1.0
DI1X29,H1,02/06/2026,14.035,14.045,14.035,14.045,1855127.87,29.0
DI1X29,H1,02/06/2026,14.065,14.065,14.065,14.065,63919.96,1.0
DI1X29,H1,02/06/2026,14.085,14.085,14.085,14.085,830464.15,13.0
DI1X29,H1,02/06/2026,14.015,14.015,14.015,14.015,1152276.04,18.0
DI1X29,H1,01/06/2026,13.99,13.99,13.99,13.99,832387.6,13.0
DI1X29,H1,28/05/2026,13.92,13.92,13.92,13.92,384585.23,6.0
DI1X29,H1,27/05/2026,13.87,13.875,13.87,13.875,384934.5,6.0
DI1X29,H1,27/05/2026,13.87,13.87,13.87,13.87,769926.74,12.0
DI1X29,H1,27/05/2026,13.815,13.815,13.815,13.815,385599.35,6.0
DI1X29,H1,26/05/2026,13.87,13.87,13.87,13.87,1282550.0,20.0
DI1X29,H1,26/05/2026,13.85,13.85,13.85,13.85,2694973.8,42.0
DI1X29,H1,25/05/2026,13.755,13.755,13.755,13.755,643166.28,10.0
DI1X29,H1,25/05/2026,13.75,13.75,13.74,13.74,7206290.09,112.0
DI1X29,H1,25/05/2026,13.75,13.75,13.75,13.75,1286526.23,20.0
DI1X29,H1,21/05/2026,13.94,13.94,13.94,13.94,2491846.3,39.0
DI1X29,H1,21/05/2026,13.995,13.995,13.995,13.995,574089.68,9.0
DI1X29,H1,21/05/2026,14.125,14.125,14.125,14.125,2033237.63,32.0
DI1X29,H1,18/05/2026,14.085,14.085,14.085,14.085,1651402.03,26.0
DI1X29,H1,18/05/2026,14.095,14.1,14.085,14.085,63502203.06,1000.0
DI1X29,H1,15/05/2026,14.165,14.165,14.165,14.165,1266579.74,20.0
DI1X29,H1,15/05/2026,14.22,14.22,14.22,14.22,23392839.54,370.0
DI1X29,H1,14/05/2026,14.035,14.04,14.035,14.04,1906201.12,30.0
DI1X29,H1,14/05/2026,14.015,14.015,14.015,14.015,254334.63,4.0
DI1X29,H1,14/05/2026,14.025,14.025,14.025,14.025,190693.23,3.0
DI1X29,H1,12/05/2026,13.82,13.82,13.82,13.82,6389485.15,100.0
DI1X29,H1,11/05/2026,13.695,13.72,13.695,13.72,4870756.73,76.0
DI1X29,H1,11/05/2026,13.66,13.66,13.66,13.66,64174.02,1.0
DI1X29,H1,07/05/2026,13.645,13.65,13.645,13.65,320671.51,5.0
DI1X29,H1,07/05/2026,13.61,13.61,13.61,13.61,12841370.78,200.0
DI1X29,H1,07/05/2026,13.65,13.65,13.64,13.64,12635258.87,197.0
DI1X29,H1,07/05/2026,13.5,13.5,13.5,13.5,386539.08,6.0
DI1X29,H1,06/05/2026,13.56,13.56,13.56,13.56,706998.9,11.0
DI1X29,H1,06/05/2026,13.57,13.57,13.57,13.57,771035.47,12.0
DI1X29,H1,06/05/2026,13.545,13.545,13.545,13.545,3858128.85,60.0
DI1X29,H1,06/05/2026,13.58,13.58,13.58,13.58,129687018.16,2019.0
DI1X29,H1,06/05/2026,13.565,13.565,13.56,13.565,27119015.5,422.0
DI1X29,H1,29/04/2026,13.7,13.7,13.7,13.7,383205.89,6.0
DI1X29,H1,28/04/2026,13.63,13.63,13.63,13.63,1087535.92,17.0
DI1X29,H1,27/04/2026,13.57,13.57,13.57,13.57,1537405.93,24.0
DI1X29,H1,23/04/2026,13.575,13.575,13.575,13.575,255936.16,4.0
DI1X29,H1,23/04/2026,13.525,13.525,13.525,13.525,1602073.7,25.0
DI1X29,H1,22/04/2026,13.355,13.355,13.355,13.355,450720.75,7.0
DI1X29,H1,22/04/2026,13.31,13.31,13.31,13.31,10961349.69,170.0
DI1X29,H1,20/04/2026,13.215,13.215,13.215,13.215,1292737.9,20.0
