symbol,timeframe,date,open,high,low,close,volume,quantity
DOLCV,D1,10/06/2026,5.1763,5.1763,5.1763,5.1763,0.0,0.0
DOLCV,D1,09/06/2026,5.1693,5.1693,5.1693,5.1693,0.0,0.0
DOLCV,D1,08/06/2026,5.1695,5.1695,5.1695,5.1695,0.0,0.0
DOLCV,D1,05/06/2026,5.1244,5.1244,5.1244,5.1244,0.0,0.0
DOLCV,D1,03/06/2026,5.0415,5.0415,5.0415,5.0415,0.0,0.0
DOLCV,D1,02/06/2026,5.016,5.016,5.016,5.016,0.0,0.0
DOLCV,D1,01/06/2026,5.0303,5.0303,5.0303,5.0303,0.0,0.0
DOLCV,D1,29/05/2026,5.0569,5.0569,5.0569,5.0569,0.0,0.0
DOLCV,D1,28/05/2026,5.0517,5.0517,5.0517,5.0517,0.0,0.0
DOLCV,D1,27/05/2026,5.0579,5.0579,5.0579,5.0579,0.0,0.0
DOLCV,D1,26/05/2026,5.0211,5.0211,5.0211,5.0211,0.0,0.0
DOLCV,D1,25/05/2026,5.0072,5.0072,5.0072,5.0072,0.0,0.0
DOLCV,D1,22/05/2026,5.014,5.014,5.014,5.014,0.0,0.0
DOLCV,D1,21/05/2026,5.0077,5.0077,5.0077,5.0077,0.0,0.0
DOLCV,D1,20/05/2026,5.0301,5.0301,5.0301,5.0301,0.0,0.0
DOLCV,D1,19/05/2026,5.0378,5.0378,5.0378,5.0378,0.0,0.0
DOLCV,D1,18/05/2026,5.0093,5.0093,5.0093,5.0093,0.0,0.0
DOLCV,D1,15/05/2026,5.0654,5.0654,5.0654,5.0654,0.0,0.0
DOLCV,D1,14/05/2026,4.9809,4.9809,4.9809,4.9809,0.0,0.0
DOLCV,D1,13/05/2026,4.9118,4.9118,4.9118,4.9118,0.0,0.0
DOLCV,D1,12/05/2026,4.8977,4.8977,4.8977,4.8977,0.0,0.0
DOLCV,D1,11/05/2026,4.8973,4.8973,4.8973,4.8973,0.0,0.0
DOLCV,D1,08/05/2026,4.8999,4.8999,4.8999,4.8999,0.0,0.0
DOLCV,D1,07/05/2026,4.917,4.917,4.917,4.917,0.0,0.0
DOLCV,D1,06/05/2026,4.9274,4.9274,4.9274,4.9274,0.0,0.0
DOLCV,D1,05/05/2026,4.9242,4.9242,4.9242,4.9242,0.0,0.0
DOLCV,D1,04/05/2026,4.9587,4.9587,4.9587,4.9587,0.0,0.0
DOLCV,D1,30/04/2026,4.9886,4.9886,4.9886,4.9886,0.0,0.0
DOLCV,D1,29/04/2026,4.9985,4.9985,4.9985,4.9985,0.0,0.0
DOLCV,D1,28/04/2026,4.9878,4.9878,4.9878,4.9878,0.0,0.0
DOLCV,D1,27/04/2026,4.97,4.97,4.97,4.97,0.0,0.0
