symbol,timeframe,date,open,high,low,close,volume,quantity
GBTC11,D1,09/06/2026,26.71,26.85,25.5,25.95,236448.82,9250.0
GBTC11,D1,08/06/2026,25.87,26.74,25.8,26.5,141471.14,5360.0
GBTC11,D1,05/06/2026,26.11,26.11,25.75,25.8,59872.77,2311.0
GBTC11,D1,03/06/2026,26.42,26.97,26.42,26.65,9709.29,363.0
GBTC11,D1,02/06/2026,27.31,27.33,25.53,26.8,329059.63,12641.0
GBTC11,D1,01/06/2026,27.79,27.92,26.54,27.41,118899.26,4340.0
GBTC11,D1,29/05/2026,28.17,28.6,28.12,28.25,6358.59,225.0
GBTC11,D1,28/05/2026,28.31,28.31,27.5,27.74,103367.26,3728.0
GBTC11,D1,27/05/2026,28.87,28.87,28.09,28.09,73968.49,2616.0
GBTC11,D1,26/05/2026,28.48,28.83,28.41,28.45,45085.07,1583.0
GBTC11,D1,25/05/2026,28.79,28.96,28.35,28.35,52557.15,1851.0
GBTC11,D1,22/05/2026,28.48,28.75,28.35,28.5,114018.74,4002.0
GBTC11,D1,21/05/2026,28.52,28.77,28.5,28.77,1455.97,51.0
GBTC11,D1,20/05/2026,28.59,29.94,28.5,28.56,27483.14,956.0
GBTC11,D1,19/05/2026,28.65,28.65,28.58,28.58,5985.79,209.0
GBTC11,D1,18/05/2026,29.81,29.81,28.63,28.64,20457.45,709.0
GBTC11,D1,15/05/2026,29.42,29.51,29.12,29.51,6355.4,217.0
GBTC11,D1,14/05/2026,29.5,29.75,29.37,29.75,247812.19,8413.0
GBTC11,D1,13/05/2026,28.8,29.67,28.52,29.5,64355.3,2208.0
GBTC11,D1,12/05/2026,29.2,29.2,28.92,29.0,79568.57,2751.0
GBTC11,D1,11/05/2026,29.38,29.39,29.08,29.38,14737.8,506.0
GBTC11,D1,08/05/2026,29.2,29.2,28.95,29.08,9250.24,317.0
GBTC11,D1,07/05/2026,29.49,29.49,28.99,29.04,11823.68,407.0
GBTC11,D1,06/05/2026,29.06,29.44,29.06,29.38,39157.18,1336.0
GBTC11,D1,05/05/2026,29.25,29.25,28.67,28.73,20033.22,689.0
GBTC11,D1,04/05/2026,28.5,29.06,28.22,28.96,40997.8,1431.0
GBTC11,D1,30/04/2026,28.22,28.88,28.22,28.49,34175.26,1193.0
GBTC11,D1,29/04/2026,28.55,28.55,28.11,28.11,9330.0,327.0
GBTC11,D1,28/04/2026,28.99,28.99,28.35,28.47,21541.52,759.0
GBTC11,D1,27/04/2026,29.61,29.61,28.98,29.1,18374.76,630.0
GBTC11,D1,24/04/2026,29.51,29.6,29.36,29.48,41351.65,1399.0
GBTC11,D1,23/04/2026,29.51,29.51,28.91,29.38,47440.78,1633.0
GBTC11,D1,22/04/2026,29.49,29.6,29.29,29.49,9649.75,328.0
GBTC11,D1,20/04/2026,29.84,29.84,29.1,29.19,4800.44,164.0
GBTC11,D1,17/04/2026,29.26,30.04,29.26,29.9,104817.3,3512.0
GBTC11,D1,16/04/2026,29.5,29.5,28.83,29.22,25247.61,864.0
GBTC11,D1,15/04/2026,29.35,29.35,28.91,29.2,48073.25,1649.0
GBTC11,D1,14/04/2026,28.7,29.4,28.7,29.35,9913.51,340.0
GBTC11,D1,13/04/2026,28.41,28.88,28.37,28.7,25055.48,877.0
GBTC11,D1,10/04/2026,28.63,29.01,28.63,28.88,9835.27,340.0
GBTC11,D1,09/04/2026,28.98,29.12,28.98,29.01,4236.32,146.0
GBTC11,D1,08/04/2026,29.02,29.14,28.84,28.98,4229.46,146.0
GBTC11,D1,07/04/2026,28.63,28.91,28.41,28.73,34175.99,1186.0
GBTC11,D1,06/04/2026,28.29,28.93,28.29,28.69,25828.97,904.0
GBTC11,D1,02/04/2026,29.05,29.06,25.61,28.49,70273.51,2510.0
GBTC11,D1,01/04/2026,28.98,29.07,28.16,29.05,33482.16,1168.0
GBTC11,D1,31/03/2026,28.3,28.8,28.23,28.8,68290.54,2392.0
GBTC11,D1,30/03/2026,28.0,28.3,28.0,28.29,23648.16,836.0
GBTC11,D1,27/03/2026,27.85,28.13,27.62,28.13,70041.37,2513.0
GBTC11,D1,26/03/2026,28.52,28.52,27.76,27.79,67845.92,2406.0
GBTC11,D1,25/03/2026,28.95,29.07,28.45,28.54,22400.48,781.0
GBTC11,D1,24/03/2026,28.22,28.26,27.96,27.96,65723.11,2343.0
GBTC11,D1,23/03/2026,28.83,28.83,27.75,28.22,53107.37,1889.0
GBTC11,D1,20/03/2026,28.85,29.0,28.83,28.83,48919.95,1690.0
GBTC11,D1,19/03/2026,29.96,29.96,28.87,29.08,39979.88,1381.0
GBTC11,D1,18/03/2026,30.7,30.7,29.9,30.38,65370.89,2173.0
GBTC11,D1,17/03/2026,31.26,31.26,30.76,30.76,10811.05,350.0
GBTC11,D1,16/03/2026,31.3,31.57,31.03,31.26,99156.17,3168.0
GBTC11,D1,13/03/2026,31.34,31.55,31.16,31.28,64861.5,2072.0
GBTC11,D1,12/03/2026,31.43,31.43,31.11,31.11,7153.15,229.0
