symbol,timeframe,date,open,high,low,close,volume,quantity
GENB,D1,09/06/2026,18.47,18.67,17.9,18.28,0.0,0.0
GENB,D1,08/06/2026,18.41,18.75,18.41,18.5,0.0,0.0
GENB,D1,05/06/2026,19.17,19.37,18.41,18.41,0.0,0.0
GENB,D1,03/06/2026,19.64,19.73,19.09,19.19,0.0,0.0
GENB,D1,02/06/2026,19.61,19.64,19.27,19.64,0.0,0.0
GENB,D1,01/06/2026,19.15,19.64,19.15,19.63,0.0,0.0
GENB,D1,29/05/2026,18.78,19.21,18.75,19.15,0.0,0.0
GENB,D1,28/05/2026,18.52,18.76,18.51,18.76,0.0,0.0
GENB,D1,27/05/2026,18.51,18.63,18.48,18.52,0.0,0.0
GENB,D1,26/05/2026,18.62,18.65,18.44,18.51,0.0,0.0
GENB,D1,25/05/2026,18.47,18.69,18.47,18.65,0.0,0.0
GENB,D1,22/05/2026,18.43,18.6,18.43,18.47,0.0,0.0
GENB,D1,21/05/2026,18.44,18.56,18.36,18.42,0.0,0.0
GENB,D1,20/05/2026,18.35,18.5,18.35,18.44,0.0,0.0
GENB,D1,19/05/2026,18.51,18.6,18.32,18.34,0.0,0.0
GENB,D1,18/05/2026,18.58,18.66,18.39,18.5,0.0,0.0
GENB,D1,15/05/2026,18.55,18.84,18.44,18.59,0.0,0.0
GENB,D1,14/05/2026,18.27,18.62,18.21,18.54,0.0,0.0
GENB,D1,13/05/2026,17.5,18.36,17.5,18.26,0.0,0.0
GENB,D1,12/05/2026,17.65,17.65,17.4,17.5,0.0,0.0
GENB,D1,11/05/2026,17.6,17.77,17.47,17.65,0.0,0.0
GENB,D1,08/05/2026,17.57,17.73,17.48,17.6,0.0,0.0
GENB,D1,07/05/2026,17.4,17.68,17.39,17.57,0.0,0.0
GENB,D1,06/05/2026,17.1,17.42,17.1,17.36,0.0,0.0
GENB,D1,05/05/2026,17.14,17.21,17.04,17.1,0.0,0.0
GENB,D1,04/05/2026,16.95,17.2,16.95,17.13,0.0,0.0
GENB,D1,30/04/2026,16.95,17.2,16.72,16.96,0.0,0.0
GENB,D1,29/04/2026,16.84,17.05,16.83,16.94,0.0,0.0
GENB,D1,28/04/2026,17.07,17.08,16.8,16.86,0.0,0.0
GENB,D1,27/04/2026,16.91,17.09,16.82,17.06,0.0,0.0
GENB,D1,24/04/2026,16.7,16.99,16.7,16.87,0.0,0.0
GENB,D1,23/04/2026,16.88,16.88,16.54,16.67,0.0,0.0
GENB,D1,22/04/2026,16.59,16.94,16.59,16.88,0.0,0.0
GENB,D1,20/04/2026,16.78,16.79,16.51,16.56,0.0,0.0
GENB,D1,17/04/2026,16.52,16.8,16.51,16.79,0.0,0.0
GENB,D1,16/04/2026,16.49,16.68,16.49,16.51,0.0,0.0
GENB,D1,15/04/2026,16.17,16.53,16.14,16.48,0.0,0.0
GENB,D1,14/04/2026,15.86,16.17,15.8,16.17,0.0,0.0
GENB,D1,13/04/2026,15.51,15.88,15.45,15.83,0.0,0.0
GENB,D1,10/04/2026,15.65,15.67,15.51,15.51,0.0,0.0
GENB,D1,09/04/2026,15.79,15.79,15.57,15.65,0.0,0.0
GENB,D1,08/04/2026,15.49,15.92,15.49,15.78,0.0,0.0
GENB,D1,07/04/2026,15.29,15.52,15.2,15.49,0.0,0.0
GENB,D1,06/04/2026,15.24,15.32,15.21,15.29,0.0,0.0
GENB,D1,02/04/2026,15.21,15.26,14.94,15.24,0.0,0.0
GENB,D1,01/04/2026,15.11,15.3,15.11,15.21,0.0,0.0
GENB,D1,31/03/2026,14.74,15.17,14.74,15.12,0.0,0.0
GENB,D1,30/03/2026,14.7,14.84,14.66,14.74,0.0,0.0
GENB,D1,27/03/2026,15.1,15.1,14.67,14.68,0.0,0.0
GENB,D1,26/03/2026,15.34,15.34,15.1,15.1,0.0,0.0
GENB,D1,25/03/2026,15.39,15.57,15.34,15.34,0.0,0.0
GENB,D1,24/03/2026,15.72,15.73,15.39,15.39,0.0,0.0
GENB,D1,23/03/2026,15.62,15.85,15.62,15.73,0.0,0.0
GENB,D1,20/03/2026,15.75,15.87,15.6,15.61,0.0,0.0
GENB,D1,19/03/2026,15.94,15.99,15.75,15.76,0.0,0.0
GENB,D1,18/03/2026,16.1,16.11,15.89,15.94,0.0,0.0
GENB,D1,17/03/2026,15.98,16.12,15.94,16.1,0.0,0.0
GENB,D1,16/03/2026,16.19,16.22,15.98,15.98,0.0,0.0
GENB,D1,13/03/2026,16.15,16.26,16.12,16.19,0.0,0.0
GENB,D1,12/03/2026,16.17,16.24,16.06,16.14,0.0,0.0
GENB,D1,11/03/2026,16.09,16.35,16.08,16.17,0.0,0.0
GENB,D1,10/03/2026,16.13,16.28,16.03,16.08,0.0,0.0
GENB,D1,09/03/2026,16.26,16.26,15.92,16.12,0.0,0.0
GENB,D1,06/03/2026,16.31,16.44,16.18,16.26,0.0,0.0
