symbol,timeframe,date,open,high,low,close,volume,quantity
HBOR3,D1,09/06/2026,2.16,2.25,2.16,2.2,1173670.0,528400.0
HBOR3,D1,08/06/2026,2.17,2.19,2.15,2.16,807740.0,372500.0
HBOR3,D1,05/06/2026,2.22,2.22,2.16,2.17,921643.0,422500.0
HBOR3,D1,03/06/2026,2.3,2.3,2.17,2.2,3555303.0,1600700.0
HBOR3,D1,02/06/2026,2.43,2.44,2.32,2.32,1553704.0,656300.0
HBOR3,D1,01/06/2026,2.48,2.51,2.37,2.42,2133416.0,878400.0
HBOR3,D1,29/05/2026,2.44,2.54,2.38,2.54,2321689.0,941000.0
HBOR3,D1,28/05/2026,2.47,2.47,2.38,2.45,1162308.0,478000.0
HBOR3,D1,27/05/2026,2.45,2.48,2.41,2.47,2038456.0,836000.0
HBOR3,D1,26/05/2026,2.32,2.45,2.3,2.45,2634912.0,1104100.0
HBOR3,D1,25/05/2026,2.24,2.35,2.24,2.33,1858383.0,806400.0
HBOR3,D1,22/05/2026,2.26,2.3,2.24,2.24,902735.0,398500.0
HBOR3,D1,21/05/2026,2.28,2.33,2.24,2.28,1114884.0,487200.0
HBOR3,D1,20/05/2026,2.19,2.32,2.19,2.3,1427053.0,629200.0
HBOR3,D1,19/05/2026,2.19,2.25,2.14,2.19,1731736.0,784800.0
HBOR3,D1,18/05/2026,2.22,2.25,2.15,2.21,1299179.0,592000.0
HBOR3,D1,15/05/2026,2.17,2.32,2.16,2.23,3237851.0,1441800.0
HBOR3,D1,14/05/2026,2.25,2.25,2.14,2.18,2251576.0,1033200.0
HBOR3,D1,13/05/2026,2.28,2.3,2.17,2.17,2654157.0,1174200.0
HBOR3,D1,12/05/2026,2.27,2.33,2.21,2.3,1640005.0,721000.0
HBOR3,D1,11/05/2026,2.31,2.33,2.26,2.29,1230748.0,538400.0
HBOR3,D1,08/05/2026,2.35,2.37,2.29,2.3,906490.0,390500.0
HBOR3,D1,07/05/2026,2.42,2.42,2.31,2.33,1174206.0,499000.0
HBOR3,D1,06/05/2026,2.38,2.45,2.36,2.42,3177160.0,1322700.0
HBOR3,D1,05/05/2026,2.25,2.38,2.23,2.33,2348657.0,1010000.0
HBOR3,D1,04/05/2026,2.35,2.35,2.21,2.25,2806297.0,1232200.0
HBOR3,D1,30/04/2026,2.22,2.35,2.14,2.35,4081156.0,1812800.0
HBOR3,D1,29/04/2026,2.15,2.19,2.1,2.12,2038105.0,951900.0
HBOR3,D1,28/04/2026,2.16,2.23,2.08,2.2,2234021.0,1033800.0
HBOR3,D1,27/04/2026,2.28,2.28,2.15,2.15,2806748.0,1270500.0
HBOR3,D1,24/04/2026,2.3,2.3,2.24,2.29,2526870.0,1115900.0
HBOR3,D1,23/04/2026,2.34,2.36,2.24,2.26,3583521.0,1561700.0
HBOR3,D1,22/04/2026,2.44,2.44,2.33,2.33,2619243.0,1103400.0
HBOR3,D1,20/04/2026,2.36,2.47,2.33,2.46,3033480.0,1250700.0
HBOR3,D1,17/04/2026,2.39,2.42,2.35,2.36,3181794.0,1337000.0
HBOR3,D1,16/04/2026,2.47,2.47,2.35,2.35,3064390.0,1279500.0
HBOR3,D1,15/04/2026,2.5,2.51,2.43,2.48,1451604.0,590200.0
HBOR3,D1,14/04/2026,2.5,2.55,2.46,2.5,1667555.0,669400.0
HBOR3,D1,13/04/2026,2.44,2.5,2.4,2.48,1892229.0,770300.0
HBOR3,D1,10/04/2026,2.5,2.55,2.46,2.46,1286026.0,515100.0
HBOR3,D1,09/04/2026,2.45,2.52,2.41,2.5,2535766.0,1033200.0
HBOR3,D1,08/04/2026,2.45,2.5,2.4,2.44,4404031.0,1795800.0
HBOR3,D1,07/04/2026,2.4,2.42,2.3,2.3,3242524.0,1380600.0
HBOR3,D1,06/04/2026,2.42,2.45,2.39,2.4,1122340.0,464500.0
HBOR3,D1,02/04/2026,2.45,2.46,2.38,2.43,2632176.0,1084700.0
HBOR3,D1,01/04/2026,2.43,2.52,2.42,2.47,4677284.0,1884600.0
HBOR3,D1,31/03/2026,2.38,2.47,2.35,2.38,4831847.0,2003100.0
HBOR3,D1,30/03/2026,2.27,2.35,2.26,2.33,2745882.0,1193000.0
HBOR3,D1,27/03/2026,2.51,2.51,2.22,2.27,10590105.0,4610600.0
HBOR3,D1,26/03/2026,2.69,2.69,2.49,2.51,4942458.0,1918500.0
HBOR3,D1,25/03/2026,2.76,2.78,2.62,2.68,8449784.0,3123100.0
HBOR3,D1,24/03/2026,2.88,2.9,2.7,2.72,5006890.0,1821900.0
HBOR3,D1,23/03/2026,2.79,2.98,2.71,2.92,4951468.0,1715400.0
HBOR3,D1,20/03/2026,2.62,2.77,2.54,2.66,6667785.0,2519200.0
HBOR3,D1,19/03/2026,2.59,2.65,2.51,2.62,2986665.0,1159000.0
HBOR3,D1,18/03/2026,2.73,2.75,2.63,2.63,2977713.0,1107500.0
HBOR3,D1,17/03/2026,2.71,2.85,2.71,2.75,2277117.0,820000.0
HBOR3,D1,16/03/2026,2.73,2.77,2.68,2.74,1738910.0,636600.0
HBOR3,D1,13/03/2026,2.92,2.92,2.65,2.68,6347136.0,2304900.0
HBOR3,D1,12/03/2026,2.92,2.94,2.8,2.92,3921932.0,1369800.0
HBOR3,D1,11/03/2026,3.02,3.07,2.91,2.97,3588920.0,1201800.0
HBOR3,D1,10/03/2026,2.85,3.09,2.85,3.08,3148011.0,1047200.0
HBOR3,D1,09/03/2026,2.83,2.91,2.7,2.87,4919683.0,1757400.0
HBOR3,D1,06/03/2026,2.87,2.92,2.81,2.89,2672748.0,932100.0
HBOR3,D1,05/03/2026,3.03,3.09,2.87,2.87,3621175.0,1226500.0
HBOR3,D1,04/03/2026,2.91,3.11,2.91,3.03,4605632.0,1531200.0
HBOR3,D1,03/03/2026,2.95,2.97,2.81,2.94,4024429.0,1394300.0
HBOR3,D1,02/03/2026,3.0,3.03,2.86,3.02,5059190.0,1703400.0
HBOR3,D1,27/02/2026,3.15,3.15,3.02,3.04,2759100.0,898500.0
HBOR3,D1,26/02/2026,3.19,3.25,3.11,3.15,2957260.0,932900.0
HBOR3,D1,25/02/2026,3.19,3.27,3.15,3.21,3894973.0,1217300.0
HBOR3,D1,24/02/2026,3.3,3.33,3.15,3.15,3378111.0,1051200.0
HBOR3,D1,23/02/2026,3.3,3.3,3.12,3.27,4522439.0,1411900.0
HBOR3,D1,20/02/2026,3.36,3.41,3.18,3.29,7153687.0,2162600.0
HBOR3,D1,19/02/2026,3.15,3.35,3.1,3.33,7913579.0,2418200.0
HBOR3,D1,18/02/2026,2.93,3.16,2.89,3.16,6909080.0,2263200.0
HBOR3,D1,13/02/2026,2.82,2.96,2.78,2.93,2044550.0,712400.0
HBOR3,D1,12/02/2026,2.92,2.96,2.83,2.85,1994383.0,690100.0
HBOR3,D1,11/02/2026,2.99,3.02,2.87,2.92,3175695.0,1075900.0
HBOR3,D1,10/02/2026,2.94,3.03,2.9,2.96,4420623.0,1490800.0
HBOR3,D1,09/02/2026,2.78,2.98,2.78,2.94,5672882.0,1978200.0
HBOR3,D1,06/02/2026,2.7,2.75,2.65,2.75,1575777.0,584800.0
HBOR3,D1,05/02/2026,2.71,2.84,2.69,2.7,2424669.0,880800.0
HBOR3,D1,04/02/2026,2.75,2.76,2.64,2.69,2597525.0,961300.0
HBOR3,D1,03/02/2026,2.74,2.84,2.72,2.78,2216537.0,797000.0
HBOR3,D1,02/02/2026,2.75,2.77,2.67,2.73,2066914.0,763300.0
HBOR3,D1,30/01/2026,2.74,2.82,2.72,2.75,1294179.0,467300.0
HBOR3,D1,29/01/2026,2.85,2.93,2.71,2.75,4550506.0,1614100.0
HBOR3,D1,28/01/2026,2.82,2.85,2.78,2.83,2546600.0,903700.0
HBOR3,D1,27/01/2026,2.72,2.82,2.72,2.79,2548208.0,916800.0
HBOR3,D1,26/01/2026,2.66,2.73,2.57,2.72,2081183.0,782200.0
HBOR3,D1,23/01/2026,2.62,2.72,2.59,2.67,3084933.0,1158500.0
HBOR3,D1,22/01/2026,2.55,2.67,2.55,2.59,3933971.0,1497800.0
HBOR3,D1,21/01/2026,2.44,2.57,2.44,2.56,3192245.0,1252800.0
HBOR3,D1,20/01/2026,2.43,2.5,2.39,2.44,1623035.0,662500.0
HBOR3,D1,19/01/2026,2.42,2.47,2.4,2.43,1244554.0,510500.0
HBOR3,D1,16/01/2026,2.48,2.51,2.4,2.42,2917671.0,1200000.0
HBOR3,D1,15/01/2026,2.54,2.57,2.48,2.48,1758233.0,696500.0
