symbol,timeframe,date,open,high,low,close,volume,quantity
IBBC,D1,09/06/2026,1391.81,1412.7,1391.78,1403.87,18809783599.27,852857379.0
IBBC,D1,08/06/2026,1396.19,1399.74,1388.38,1391.77,15453304410.51,753994767.0
IBBC,D1,05/06/2026,1400.05,1407.97,1396.0,1396.0,19456072988.75,875988475.0
IBBC,D1,03/06/2026,1428.61,1428.61,1395.69,1400.06,21557578359.84,1018072723.0
IBBC,D1,02/06/2026,1425.43,1438.09,1423.17,1428.56,17043337723.48,787662672.0
IBBC,D1,01/06/2026,1437.91,1440.11,1423.49,1425.43,22034537685.83,1001829387.0
IBBC,D1,29/05/2026,1448.6,1449.84,1430.53,1437.98,37455813890.98,1570725005.0
IBBC,D1,28/05/2026,1455.49,1465.23,1446.81,1448.59,15817559660.87,744589883.0
IBBC,D1,27/05/2026,1456.92,1471.54,1454.69,1455.49,16850235962.92,744755478.0
IBBC,D1,26/05/2026,1469.52,1469.52,1447.74,1457.04,16819081138.95,752483087.0
IBBC,D1,25/05/2026,1451.25,1470.1,1451.25,1469.51,10108126174.78,442736137.0
IBBC,D1,22/05/2026,1465.93,1466.8,1442.51,1451.25,15586504063.19,690043926.0
IBBC,D1,21/05/2026,1460.36,1474.63,1445.29,1465.55,18236136688.71,754390638.0
IBBC,D1,20/05/2026,1426.3,1468.37,1426.3,1460.39,22570179849.87,952594051.0
IBBC,D1,19/05/2026,1444.91,1446.57,1419.74,1426.3,20877740858.43,927857598.0
IBBC,D1,18/05/2026,1450.53,1450.58,1437.26,1444.94,18694639275.58,757293571.0
IBBC,D1,15/05/2026,1464.92,1465.03,1439.24,1450.56,23459164488.63,1018263399.0
IBBC,D1,14/05/2026,1453.9,1475.29,1453.89,1465.18,22546260382.39,953533899.0
IBBC,D1,13/05/2026,1481.92,1482.14,1450.25,1453.87,30393692777.98,1292941395.0
IBBC,D1,12/05/2026,1494.53,1495.0,1480.03,1481.93,22625452960.18,927363386.0
IBBC,D1,11/05/2026,1524.15,1526.09,1491.12,1494.49,22098212154.12,907063017.0
IBBC,D1,08/05/2026,1529.36,1542.34,1523.83,1524.1,22534901609.74,943224165.0
IBBC,D1,07/05/2026,1567.61,1568.77,1529.13,1529.16,24636757877.38,989433991.0
IBBC,D1,06/05/2026,1554.28,1574.47,1554.28,1567.52,22411489975.91,895099651.0
IBBC,D1,05/05/2026,1542.43,1559.1,1541.22,1554.28,19724136679.5,873626677.0
IBBC,D1,04/05/2026,1554.22,1560.46,1541.78,1542.26,19752374476.43,765623725.0
IBBC,D1,30/04/2026,1533.4,1560.27,1533.37,1554.23,21882925876.49,883737257.0
IBBC,D1,29/04/2026,1566.97,1567.05,1530.76,1533.35,22654588658.76,895526055.0
IBBC,D1,28/04/2026,1578.13,1578.13,1556.74,1566.97,17264834720.84,729556291.0
IBBC,D1,27/04/2026,1589.19,1593.01,1578.09,1578.14,14838230281.49,639300853.0
IBBC,D1,24/04/2026,1592.73,1593.71,1581.73,1589.19,17800601677.65,714424588.0
IBBC,D1,23/04/2026,1610.24,1612.37,1587.52,1592.74,18681031595.86,754655415.0
IBBC,D1,22/04/2026,1638.68,1639.01,1607.59,1610.24,20792074857.26,826160137.0
IBBC,D1,20/04/2026,1637.75,1644.5,1632.69,1638.68,17852441466.43,660093094.0
IBBC,D1,17/04/2026,1644.13,1664.31,1635.68,1637.75,34251805857.91,1177307883.0
IBBC,D1,16/04/2026,1655.12,1660.51,1639.6,1643.95,22106815586.48,887200741.0
IBBC,D1,15/04/2026,1660.53,1665.3,1647.74,1655.12,30496477933.1,1047083296.0
IBBC,D1,14/04/2026,1649.24,1664.32,1649.24,1660.53,24935334253.05,895198088.0
