symbol,timeframe,date,open,high,low,close,volume,quantity
IFIX,D1,09/06/2026,3818.23,3824.23,3811.67,3811.81,363238997.21,15610390.0
IFIX,D1,08/06/2026,3848.37,3852.85,3817.07,3818.23,466421643.94,17819899.0
IFIX,D1,05/06/2026,3842.46,3851.94,3841.37,3848.37,335821474.48,13388240.0
IFIX,D1,03/06/2026,3860.28,3861.4,3839.66,3842.46,378430124.57,15219003.0
IFIX,D1,02/06/2026,3860.37,3865.75,3858.35,3860.28,361271018.02,13564097.0
IFIX,D1,01/06/2026,3877.52,3879.7,3858.31,3860.37,496533909.67,20376455.0
IFIX,D1,29/05/2026,3861.52,3880.58,3861.52,3877.52,420744526.84,16684777.0
IFIX,D1,28/05/2026,3853.81,3861.65,3852.53,3861.52,308080993.93,12726359.0
IFIX,D1,27/05/2026,3851.02,3857.87,3848.13,3853.81,385463855.15,14545927.0
IFIX,D1,26/05/2026,3863.88,3864.85,3850.72,3851.02,429391183.57,14911179.0
IFIX,D1,25/05/2026,3855.05,3864.78,3855.0,3863.87,376501279.87,16416078.0
IFIX,D1,22/05/2026,3849.94,3859.15,3842.32,3855.09,346229909.91,12985855.0
IFIX,D1,21/05/2026,3850.07,3851.96,3839.0,3849.95,304355101.67,11401917.0
IFIX,D1,20/05/2026,3816.66,3851.4,3816.66,3850.07,370823841.67,14256409.0
IFIX,D1,19/05/2026,3850.19,3852.63,3816.65,3816.65,407379459.06,16025210.0
IFIX,D1,18/05/2026,3884.74,3889.98,3850.19,3850.19,437219238.9,17422390.0
IFIX,D1,15/05/2026,3868.17,3884.76,3864.85,3884.76,381117353.9,15434053.0
IFIX,D1,14/05/2026,3834.35,3868.29,3834.35,3868.16,354626884.93,14317213.0
IFIX,D1,13/05/2026,3865.22,3869.31,3834.34,3834.34,394832778.0,17490842.0
IFIX,D1,12/05/2026,3868.59,3880.47,3863.14,3865.24,394608418.66,17481189.0
IFIX,D1,11/05/2026,3922.21,3924.47,3868.63,3868.63,650227033.21,28717885.0
IFIX,D1,08/05/2026,3909.67,3922.23,3909.67,3922.13,451851041.17,18886213.0
IFIX,D1,07/05/2026,3913.94,3917.49,3909.65,3909.65,360003528.52,15101676.0
IFIX,D1,06/05/2026,3890.75,3914.76,3890.75,3913.96,424687823.66,16433436.0
IFIX,D1,05/05/2026,3903.53,3905.41,3888.85,3890.75,448642421.61,16000872.0
IFIX,D1,04/05/2026,3929.92,3936.03,3901.1,3903.53,571116524.24,22594552.0
IFIX,D1,30/04/2026,3927.12,3935.63,3926.87,3929.91,453382197.64,17770849.0
IFIX,D1,29/04/2026,3924.64,3927.58,3921.46,3927.12,313539638.73,12687090.0
IFIX,D1,28/04/2026,3924.93,3928.14,3919.94,3924.64,325962514.97,13319013.0
IFIX,D1,27/04/2026,3935.56,3938.12,3924.93,3924.93,356996845.83,14568540.0
IFIX,D1,24/04/2026,3928.65,3936.54,3928.65,3935.55,369307906.41,14765873.0
IFIX,D1,23/04/2026,3939.93,3940.59,3928.03,3928.65,321490148.35,12497114.0
IFIX,D1,22/04/2026,3941.8,3944.38,3936.97,3939.93,393874123.16,15176260.0
IFIX,D1,20/04/2026,3930.91,3941.78,3930.81,3941.62,346052202.23,12876032.0
IFIX,D1,17/04/2026,3914.67,3931.44,3914.67,3931.06,406014134.96,20727382.0
IFIX,D1,16/04/2026,3906.2,3915.12,3906.2,3914.68,294209414.98,12602046.0
IFIX,D1,15/04/2026,3904.6,3911.91,3904.6,3906.18,349187038.69,14734829.0
IFIX,D1,14/04/2026,3903.39,3906.95,3901.58,3904.6,330983482.75,13693701.0
IFIX,D1,13/04/2026,3910.85,3911.1,3899.71,3903.4,372828600.89,14471724.0
IFIX,D1,10/04/2026,3891.73,3911.0,3891.73,3910.83,358344814.62,15220627.0
IFIX,D1,09/04/2026,3890.65,3893.56,3888.33,3891.72,325839355.44,16884643.0
IFIX,D1,08/04/2026,3880.25,3893.86,3880.14,3890.63,316447619.87,13350083.0
IFIX,D1,07/04/2026,3886.87,3890.25,3877.62,3880.25,267657900.77,11303284.0
IFIX,D1,06/04/2026,3885.55,3890.37,3883.97,3886.9,346547017.39,14086797.0
IFIX,D1,02/04/2026,3876.65,3889.03,3874.91,3885.55,301480188.29,12368639.0
IFIX,D1,01/04/2026,3870.59,3878.65,3870.57,3876.65,350238748.85,13369949.0
IFIX,D1,31/03/2026,3861.32,3870.93,3861.32,3870.57,335968692.89,13248499.0
IFIX,D1,30/03/2026,3868.66,3872.35,3860.62,3861.25,349143444.92,13813876.0
