symbol,timeframe,date,open,high,low,close,volume,quantity
IGTI3F,D1,09/06/2026,3.54,3.54,3.46,3.46,2250.78,649.0
IGTI3F,D1,08/06/2026,3.51,3.54,3.47,3.54,1592.15,455.0
IGTI3F,D1,05/06/2026,3.45,3.59,3.45,3.47,2687.28,770.0
IGTI3F,D1,03/06/2026,3.48,3.6,3.38,3.6,3428.51,998.0
IGTI3F,D1,02/06/2026,3.42,3.43,3.37,3.43,1781.0,524.0
IGTI3F,D1,01/06/2026,3.53,3.54,3.43,3.44,3400.75,979.0
IGTI3F,D1,29/05/2026,3.39,3.51,3.36,3.51,12266.16,3604.0
IGTI3F,D1,28/05/2026,3.55,3.65,3.39,3.46,2040.84,588.0
IGTI3F,D1,27/05/2026,3.74,3.74,3.6,3.66,3325.88,909.0
IGTI3F,D1,26/05/2026,3.72,3.79,3.61,3.74,4823.25,1302.0
IGTI3F,D1,25/05/2026,3.66,3.75,3.61,3.72,3955.84,1072.0
IGTI3F,D1,22/05/2026,3.59,3.66,3.55,3.66,2989.58,825.0
IGTI3F,D1,21/05/2026,3.56,3.57,3.47,3.57,3081.44,878.0
IGTI3F,D1,20/05/2026,3.54,3.61,3.43,3.53,2759.81,779.0
IGTI3F,D1,19/05/2026,3.6,3.6,3.51,3.52,1376.18,386.0
IGTI3F,D1,18/05/2026,3.53,3.72,3.48,3.72,5722.07,1588.0
IGTI3F,D1,15/05/2026,3.45,3.51,3.4,3.45,3727.53,1077.0
IGTI3F,D1,14/05/2026,3.54,3.54,3.48,3.51,2243.26,639.0
IGTI3F,D1,13/05/2026,3.46,3.51,3.4,3.45,11388.35,3286.0
IGTI3F,D1,12/05/2026,3.42,3.48,3.4,3.42,1292.04,378.0
IGTI3F,D1,11/05/2026,3.39,3.48,3.35,3.42,1970.99,583.0
IGTI3F,D1,08/05/2026,3.35,3.5,3.34,3.44,2083.97,610.0
IGTI3F,D1,07/05/2026,3.37,3.4,3.32,3.35,1669.67,495.0
IGTI3F,D1,06/05/2026,3.3,3.4,3.24,3.33,2504.86,758.0
IGTI3F,D1,05/05/2026,3.35,3.35,3.25,3.26,512.55,155.0
IGTI3F,D1,04/05/2026,3.34,3.41,3.24,3.37,1874.86,561.0
IGTI3F,D1,30/04/2026,3.21,3.36,3.21,3.3,1798.9,549.0
IGTI3F,D1,29/04/2026,3.3,3.32,3.21,3.21,1328.91,405.0
IGTI3F,D1,28/04/2026,3.27,3.31,3.24,3.26,1414.18,433.0
IGTI3F,D1,27/04/2026,3.35,3.36,3.28,3.29,1492.0,451.0
IGTI3F,D1,24/04/2026,3.34,3.41,3.3,3.33,846.06,253.0
IGTI3F,D1,23/04/2026,3.41,3.46,3.3,3.3,1577.52,466.0
IGTI3F,D1,22/04/2026,3.46,3.49,3.4,3.44,1346.03,390.0
IGTI3F,D1,20/04/2026,3.46,3.51,3.42,3.46,1940.41,561.0
IGTI3F,D1,17/04/2026,3.48,3.51,3.41,3.49,1786.74,513.0
IGTI3F,D1,16/04/2026,3.46,3.47,3.42,3.45,1351.58,391.0
IGTI3F,D1,15/04/2026,3.43,3.46,3.38,3.46,2294.71,671.0
IGTI3F,D1,14/04/2026,3.38,3.43,3.34,3.4,3073.88,913.0
