symbol,timeframe,date,open,high,low,close,volume,quantity
INBR32,D1,09/06/2026,28.96,29.49,28.61,29.26,46549629.92,1601904.0
INBR32,D1,08/06/2026,29.64,29.82,28.65,28.73,55696227.1,1923221.0
INBR32,D1,05/06/2026,29.32,29.95,29.15,29.59,60784236.58,2062358.0
INBR32,D1,03/06/2026,29.72,30.14,28.67,29.44,83190563.14,2856820.0
INBR32,D1,02/06/2026,30.52,30.89,29.63,29.97,74266687.31,2463023.0
INBR32,D1,01/06/2026,31.0,31.82,30.45,30.63,87660903.28,2820625.0
INBR32,D1,29/05/2026,32.1,32.22,30.62,30.97,92692523.18,2985349.0
INBR32,D1,28/05/2026,32.4,32.99,31.86,32.1,74772407.91,2306759.0
INBR32,D1,27/05/2026,31.83,32.87,31.6,32.48,140625901.5,4350058.0
INBR32,D1,26/05/2026,32.0,32.08,30.87,31.51,78274647.12,2489678.0
INBR32,D1,25/05/2026,31.5,32.05,31.34,32.04,37295947.47,1174827.0
INBR32,D1,22/05/2026,31.92,32.57,31.01,31.08,108044049.57,3437427.0
INBR32,D1,21/05/2026,30.85,32.61,30.35,32.15,139832036.79,4390873.0
INBR32,D1,20/05/2026,29.59,30.95,29.59,30.8,122050126.38,4029501.0
INBR32,D1,19/05/2026,28.5,29.68,28.33,29.4,182245199.87,6248120.0
INBR32,D1,18/05/2026,29.41,29.62,28.38,28.9,184862741.45,6402415.0
INBR32,D1,15/05/2026,29.84,30.13,29.16,29.72,87877621.14,2953895.0
INBR32,D1,14/05/2026,31.05,31.18,29.8,30.5,151439028.39,4976393.0
INBR32,D1,13/05/2026,31.69,31.95,30.0,30.6,220958497.49,7115609.0
INBR32,D1,12/05/2026,29.89,31.55,29.4,31.42,381005888.32,12354761.0
INBR32,D1,11/05/2026,32.38,32.67,29.13,29.56,485692059.41,16113551.0
INBR32,D1,08/05/2026,33.45,33.79,31.51,31.75,258742658.67,7981388.0
INBR32,D1,07/05/2026,38.8,38.81,32.71,32.72,516511205.25,15239100.0
INBR32,D1,06/05/2026,38.07,38.74,37.54,38.72,113726593.95,2980982.0
INBR32,D1,05/05/2026,35.91,37.39,35.85,37.28,112631280.8,3062111.0
INBR32,D1,04/05/2026,37.4,37.65,35.69,35.84,105748322.76,2925807.0
INBR32,D1,30/04/2026,37.57,37.86,37.04,37.4,55925014.41,1495357.0
INBR32,D1,29/04/2026,38.4,38.71,37.21,37.21,50669384.72,1342266.0
INBR32,D1,28/04/2026,38.85,39.13,38.07,38.85,42151966.37,1089630.0
INBR32,D1,27/04/2026,39.8,40.16,39.0,39.0,38581860.89,980973.0
INBR32,D1,24/04/2026,40.01,40.13,39.28,39.93,47248771.48,1191416.0
INBR32,D1,23/04/2026,40.33,41.14,39.61,39.61,82340785.82,2043602.0
INBR32,D1,22/04/2026,40.8,40.91,40.05,40.53,78313730.86,1942749.0
INBR32,D1,20/04/2026,42.05,42.3,40.63,40.95,62176071.66,1510651.0
INBR32,D1,17/04/2026,42.33,43.39,41.65,42.06,97230609.18,2282940.0
INBR32,D1,16/04/2026,41.89,42.24,41.17,42.05,65345185.86,1563903.0
INBR32,D1,15/04/2026,42.0,42.9,41.54,41.57,78822072.18,1868049.0
INBR32,D1,14/04/2026,41.67,42.59,41.4,41.74,57647936.2,1375040.0
INBR32,D1,13/04/2026,40.39,41.65,39.6,41.65,80973154.7,1992904.0
INBR32,D1,10/04/2026,42.4,42.93,40.56,41.0,118844937.21,2860510.0
INBR32,D1,09/04/2026,41.43,42.59,41.0,42.43,88745532.4,2115295.0
INBR32,D1,08/04/2026,42.6,43.33,40.25,41.59,138578403.07,3333386.0
INBR32,D1,07/04/2026,40.22,40.37,39.14,40.19,97120388.23,2454898.0
INBR32,D1,06/04/2026,40.61,41.45,40.31,40.4,49229020.94,1207115.0
INBR32,D1,02/04/2026,39.81,41.09,39.3,40.74,70918763.74,1762132.0
INBR32,D1,01/04/2026,41.3,42.24,40.96,41.07,86552714.01,2083555.0
INBR32,D1,31/03/2026,41.3,41.57,40.31,41.3,115976452.93,2823461.0
INBR32,D1,30/03/2026,41.64,41.76,39.9,40.4,108400993.52,2670884.0
INBR32,D1,27/03/2026,43.2,43.22,40.31,40.79,108878571.68,2637676.0
INBR32,D1,26/03/2026,43.7,43.87,42.72,43.09,75164815.42,1743038.0
INBR32,D1,25/03/2026,44.45,45.57,44.12,44.12,81287582.17,1821157.0
INBR32,D1,24/03/2026,43.3,44.28,42.58,43.91,75909367.16,1740479.0
INBR32,D1,23/03/2026,42.46,44.06,42.36,43.71,72470646.27,1663925.0
INBR32,D1,20/03/2026,42.41,42.41,40.92,41.4,51531796.0,1247059.0
INBR32,D1,19/03/2026,41.3,42.27,40.43,42.15,95278148.11,2300416.0
INBR32,D1,18/03/2026,41.95,42.76,41.68,41.88,49436403.18,1176105.0
INBR32,D1,17/03/2026,42.23,43.51,42.06,42.3,59474470.83,1395696.0
INBR32,D1,16/03/2026,42.85,43.07,42.31,42.4,31554662.8,738874.0
INBR32,D1,13/03/2026,42.56,43.26,41.45,41.8,117007187.53,2774622.0
INBR32,D1,12/03/2026,44.02,44.03,42.29,42.56,96805363.73,2268587.0
INBR32,D1,11/03/2026,44.03,45.2,43.32,44.23,56365946.74,1276475.0
INBR32,D1,10/03/2026,43.0,45.04,42.71,44.5,131844539.78,2973663.0
INBR32,D1,09/03/2026,42.09,42.83,41.32,42.5,70683390.31,1679273.0
INBR32,D1,06/03/2026,43.7,43.7,41.85,42.4,79124663.68,1870223.0
INBR32,D1,05/03/2026,44.09,44.25,42.31,43.34,84557800.43,1964475.0
INBR32,D1,04/03/2026,44.7,45.0,43.73,44.09,63420547.33,1432106.0
INBR32,D1,03/03/2026,44.48,44.68,42.25,43.7,126102377.95,2900894.0
INBR32,D1,02/03/2026,43.29,45.85,42.65,45.85,120923423.4,2711940.0
INBR32,D1,27/02/2026,45.88,45.88,44.0,44.29,100979883.64,2260574.0
INBR32,D1,26/02/2026,46.17,46.97,44.79,45.9,77790002.9,1709432.0
INBR32,D1,25/02/2026,46.2,46.85,45.97,46.69,47676123.35,1028736.0
INBR32,D1,24/02/2026,44.45,46.29,44.26,46.16,98233981.4,2164379.0
INBR32,D1,23/02/2026,47.15,47.36,43.8,44.16,161200349.11,3615462.0
INBR32,D1,20/02/2026,47.43,47.82,46.5,47.67,80162342.74,1702494.0
INBR32,D1,19/02/2026,46.2,47.46,45.15,47.45,69677124.33,1491887.0
INBR32,D1,18/02/2026,46.05,46.51,45.78,46.2,28231727.82,612532.0
INBR32,D1,13/02/2026,47.4,47.4,44.8,45.63,92365726.68,2030257.0
INBR32,D1,12/02/2026,47.73,49.36,46.4,46.81,143619199.78,3009540.0
INBR32,D1,11/02/2026,48.9,50.91,46.15,47.09,289382642.09,6020011.0
INBR32,D1,10/02/2026,47.4,49.08,46.9,48.4,91863863.4,1905004.0
INBR32,D1,09/02/2026,46.1,47.62,45.66,47.43,75634207.7,1606409.0
INBR32,D1,06/02/2026,45.84,46.55,44.96,46.44,52013676.69,1134424.0
INBR32,D1,05/02/2026,48.3,49.0,45.51,45.73,159761044.05,3438507.0
