symbol,timeframe,date,open,high,low,close,volume,quantity
INBR32,H1,09/06/2026,29.19,29.4,29.12,29.4,8538635.61,292211.0
INBR32,H1,09/06/2026,28.95,29.25,28.93,29.18,7184468.79,247037.0
INBR32,H1,09/06/2026,28.81,29.0,28.67,28.95,6550926.05,227103.0
INBR32,H1,09/06/2026,28.75,28.88,28.61,28.81,7431320.79,258275.0
INBR32,H1,09/06/2026,29.33,29.36,28.73,28.74,4575902.29,157758.0
INBR32,H1,09/06/2026,29.28,29.49,29.17,29.3,6347013.9,216105.0
INBR32,H1,09/06/2026,28.96,29.34,28.84,29.26,5857104.89,201221.0
INBR32,H1,08/06/2026,28.72,28.75,28.65,28.68,3736805.71,130080.0
INBR32,H1,08/06/2026,28.86,28.87,28.65,28.73,10584353.04,368185.0
INBR32,H1,08/06/2026,28.94,29.05,28.83,28.87,5296025.34,182852.0
INBR32,H1,08/06/2026,28.86,28.97,28.78,28.94,4320621.53,149614.0
INBR32,H1,08/06/2026,28.82,28.96,28.75,28.86,5145908.05,178495.0
INBR32,H1,08/06/2026,29.05,29.25,28.81,28.82,8727993.45,300911.0
INBR32,H1,08/06/2026,28.73,29.08,28.67,29.05,9167400.23,317172.0
INBR32,H1,08/06/2026,29.64,29.82,28.68,28.75,12453925.46,425992.0
INBR32,H1,05/06/2026,29.59,29.59,29.28,29.28,1551603.55,52459.0
INBR32,H1,05/06/2026,29.42,29.59,29.25,29.59,22873089.2,776714.0
INBR32,H1,05/06/2026,29.48,29.56,29.37,29.42,6972904.46,236728.0
INBR32,H1,05/06/2026,29.67,29.7,29.45,29.47,7582759.12,256620.0
INBR32,H1,05/06/2026,29.33,29.74,29.31,29.67,4041704.57,136565.0
INBR32,H1,05/06/2026,29.46,29.51,29.28,29.33,2571755.46,87502.0
INBR32,H1,05/06/2026,29.34,29.54,29.25,29.46,6723814.25,228753.0
INBR32,H1,05/06/2026,29.32,29.95,29.15,29.35,10018209.52,339476.0
INBR32,H1,03/06/2026,29.35,29.44,29.23,29.24,287872.93,9830.0
INBR32,H1,03/06/2026,29.12,29.44,28.94,29.44,16644992.68,571202.0
INBR32,H1,03/06/2026,28.82,29.12,28.76,29.12,11612387.86,402248.0
INBR32,H1,03/06/2026,28.85,28.94,28.67,28.81,11099192.1,385208.0
INBR32,H1,03/06/2026,29.01,29.12,28.85,28.85,14098153.48,486966.0
INBR32,H1,03/06/2026,29.4,29.41,28.95,29.0,10929809.92,375625.0
INBR32,H1,03/06/2026,29.72,29.76,29.25,29.39,8918198.64,303076.0
INBR32,H1,03/06/2026,29.72,30.14,29.38,29.7,9887828.46,332495.0
INBR32,H1,02/06/2026,30.0,30.22,29.85,29.97,417197.15,13914.0
INBR32,H1,02/06/2026,30.29,30.33,29.97,29.97,8270080.55,274468.0
INBR32,H1,02/06/2026,30.11,30.47,30.0,30.29,12731594.58,420599.0
INBR32,H1,02/06/2026,29.82,30.12,29.63,30.12,10273193.12,343805.0
INBR32,H1,02/06/2026,30.21,30.23,29.73,29.82,8952937.82,298571.0
INBR32,H1,02/06/2026,30.11,30.33,30.09,30.21,9400153.81,311062.0
INBR32,H1,02/06/2026,30.09,30.47,29.9,30.11,13666783.49,453426.0
INBR32,H1,02/06/2026,30.52,30.89,30.08,30.12,10971943.94,361092.0
INBR32,H1,01/06/2026,30.62,30.84,30.55,30.78,125490.76,4098.0
INBR32,H1,01/06/2026,31.2,31.2,30.63,30.63,17612972.09,571132.0
INBR32,H1,01/06/2026,31.37,31.38,30.84,31.19,25750679.05,830289.0
INBR32,H1,01/06/2026,31.66,31.66,31.24,31.37,6807229.48,216840.0
INBR32,H1,01/06/2026,31.75,31.81,31.51,31.65,4768492.58,150715.0
INBR32,H1,01/06/2026,31.31,31.82,31.29,31.76,7440594.51,235388.0
INBR32,H1,01/06/2026,31.12,31.43,30.68,31.32,12082661.7,389074.0
INBR32,H1,01/06/2026,31.0,31.18,30.45,31.11,13198273.87,427187.0
INBR32,H1,29/05/2026,31.0,31.04,30.7,30.7,460865.27,14963.0
INBR32,H1,29/05/2026,30.74,30.97,30.62,30.97,25427838.11,824571.0
INBR32,H1,29/05/2026,30.99,31.06,30.66,30.73,12695821.37,411314.0
INBR32,H1,29/05/2026,30.78,31.12,30.77,31.0,8631774.17,278644.0
INBR32,H1,29/05/2026,31.07,31.07,30.71,30.78,14057207.81,455538.0
INBR32,H1,29/05/2026,31.29,31.4,31.02,31.05,8281672.39,265201.0
