symbol,timeframe,date,open,high,low,close,volume,quantity
ITUBPFUT,H1,09/06/2026,39.19,39.19,39.18,39.18,78376.0,2000.0
ITUBPFUT,H1,09/06/2026,39.04,39.04,39.04,39.04,39040.0,1000.0
ITUBPFUT,H1,09/06/2026,39.12,39.12,39.12,39.12,39120.0,1000.0
ITUBPFUT,H1,09/06/2026,39.25,39.34,39.16,39.16,345582.0,8800.0
ITUBPFUT,H1,08/06/2026,38.69,38.69,38.62,38.63,390285.0,10100.0
ITUBPFUT,H1,08/06/2026,38.79,38.79,38.76,38.76,124092.0,3200.0
ITUBPFUT,H1,08/06/2026,38.79,38.79,38.79,38.79,38790.0,1000.0
ITUBPFUT,H1,08/06/2026,38.83,38.83,38.82,38.82,77650.0,2000.0
ITUBPFUT,H1,08/06/2026,38.91,38.92,38.9,38.92,276254.0,7100.0
ITUBPFUT,H1,08/06/2026,38.96,38.96,38.91,38.91,31148.0,800.0
ITUBPFUT,H1,08/06/2026,38.99,39.22,38.91,38.92,859948.0,22000.0
ITUBPFUT,H1,05/06/2026,39.16,39.16,39.15,39.15,66571.0,1700.0
ITUBPFUT,H1,05/06/2026,39.3,39.3,39.3,39.3,11790.0,300.0
ITUBPFUT,H1,05/06/2026,39.16,39.17,39.16,39.17,70496.0,1800.0
ITUBPFUT,H1,05/06/2026,39.1,39.1,39.1,39.1,89930.0,2300.0
ITUBPFUT,H1,05/06/2026,39.16,39.17,39.16,39.17,78330.0,2000.0
ITUBPFUT,H1,05/06/2026,39.13,39.16,39.11,39.14,203520.0,5200.0
ITUBPFUT,H1,05/06/2026,38.93,39.16,38.88,39.15,437940.0,11200.0
ITUBPFUT,H1,03/06/2026,38.94,38.94,38.94,38.94,38940.0,1000.0
ITUBPFUT,H1,03/06/2026,38.93,38.93,38.93,38.93,62288.0,1600.0
ITUBPFUT,H1,03/06/2026,38.98,39.06,38.88,39.02,545354.0,14000.0
ITUBPFUT,H1,03/06/2026,39.11,39.15,38.94,39.01,2053051.0,52600.0
ITUBPFUT,H1,02/06/2026,39.99,40.07,39.98,40.07,248056.0,6200.0
ITUBPFUT,H1,02/06/2026,40.02,40.02,39.97,39.97,191936.0,4800.0
ITUBPFUT,H1,02/06/2026,40.17,40.17,40.06,40.06,224630.0,5600.0
ITUBPFUT,H1,02/06/2026,40.12,40.2,40.12,40.16,333230.0,8300.0
ITUBPFUT,H1,02/06/2026,39.88,40.1,39.86,40.08,432206.0,10800.0
ITUBPFUT,H1,02/06/2026,40.0,40.0,39.88,39.88,419372.0,10500.0
