time,open,high,low,close,tick_volume,spread,real_volume
2026-06-12T15:40:00+00:00,0.70336,0.70354,0.7033,0.70353,49,2,0
2026-06-12T15:41:00+00:00,0.70353,0.70355,0.70347,0.70353,67,2,0
2026-06-12T15:42:00+00:00,0.70353,0.70359,0.70351,0.70358,58,2,0
2026-06-12T15:43:00+00:00,0.70358,0.70367,0.70355,0.70366,49,2,0
2026-06-12T15:44:00+00:00,0.70366,0.70371,0.70347,0.70351,107,0,0
2026-06-12T15:45:00+00:00,0.70351,0.70353,0.70334,0.70347,92,2,0
2026-06-12T15:46:00+00:00,0.70347,0.70356,0.70343,0.70344,73,2,0
2026-06-12T15:47:00+00:00,0.70344,0.70344,0.70335,0.7034,67,2,0
2026-06-12T15:48:00+00:00,0.7034,0.7036,0.70336,0.70355,66,1,0
2026-06-12T15:49:00+00:00,0.70355,0.70361,0.70352,0.70359,44,2,0
2026-06-12T15:50:00+00:00,0.70359,0.70371,0.70355,0.7037,52,2,0
2026-06-12T15:51:00+00:00,0.7037,0.70373,0.70349,0.70358,65,2,0
2026-06-12T15:52:00+00:00,0.70358,0.70368,0.70358,0.70364,41,2,0
2026-06-12T15:53:00+00:00,0.70364,0.70364,0.70349,0.70351,47,2,0
2026-06-12T15:54:00+00:00,0.70351,0.70352,0.70336,0.7034,51,2,0
2026-06-12T15:55:00+00:00,0.7034,0.70346,0.70321,0.70322,118,0,0
2026-06-12T15:56:00+00:00,0.70322,0.70341,0.70322,0.70339,80,2,0
2026-06-12T15:57:00+00:00,0.70339,0.7035,0.70336,0.70347,71,2,0
2026-06-12T15:58:00+00:00,0.70347,0.70353,0.70343,0.70352,36,2,0
2026-06-12T15:59:00+00:00,0.70352,0.70356,0.70344,0.70349,59,2,0
2026-06-12T16:00:00+00:00,0.70349,0.70351,0.70336,0.70338,139,2,0
2026-06-12T16:01:00+00:00,0.70339,0.70348,0.70337,0.70346,139,2,0
2026-06-12T16:02:00+00:00,0.70346,0.70358,0.70344,0.70354,106,2,0
2026-06-12T16:03:00+00:00,0.70354,0.70364,0.70354,0.70363,68,2,0
2026-06-12T16:04:00+00:00,0.70363,0.70377,0.70359,0.70375,57,2,0
2026-06-12T16:05:00+00:00,0.70375,0.70382,0.70371,0.70382,70,2,0
2026-06-12T16:06:00+00:00,0.70382,0.70386,0.70364,0.70366,88,2,0
2026-06-12T16:07:00+00:00,0.70366,0.70392,0.70365,0.70391,77,2,0
2026-06-12T16:08:00+00:00,0.70391,0.70404,0.70388,0.70392,79,2,0
2026-06-12T16:09:00+00:00,0.70392,0.70396,0.70386,0.70396,66,2,0
2026-06-12T16:10:00+00:00,0.70396,0.70406,0.70395,0.70402,74,2,0
2026-06-12T16:11:00+00:00,0.70402,0.70405,0.70384,0.70388,59,2,0
2026-06-12T16:12:00+00:00,0.70388,0.70393,0.70385,0.70392,44,2,0
2026-06-12T16:13:00+00:00,0.70391,0.70392,0.70383,0.70388,72,2,0
2026-06-12T16:14:00+00:00,0.70388,0.70398,0.70387,0.70397,57,2,0
2026-06-12T16:15:00+00:00,0.70397,0.70401,0.70391,0.70393,51,2,0
2026-06-12T16:16:00+00:00,0.70393,0.70418,0.70393,0.70416,55,2,0
2026-06-12T16:17:00+00:00,0.70416,0.70438,0.70414,0.70437,82,2,0
2026-06-12T16:18:00+00:00,0.70437,0.70449,0.70434,0.70449,61,2,0
2026-06-12T16:19:00+00:00,0.70449,0.7045,0.70444,0.70448,56,2,0
2026-06-12T16:20:00+00:00,0.70448,0.70453,0.7044,0.70441,67,2,0
2026-06-12T16:21:00+00:00,0.70441,0.70452,0.7044,0.70449,63,2,0
