time,open,high,low,close,tick_volume
2024-07-09 20:00:00,1.2783,1.27903,1.27815,1.27854,4249
2024-07-10 00:00:00,1.27833,1.27915,1.27788,1.27857,2348
2024-07-10 04:00:00,1.27858,1.27945,1.27845,1.27943,3591
2024-07-10 08:00:00,1.27944,1.28018,1.27885,1.27966,5509
2024-07-10 12:00:00,1.27967,1.28122,1.27966,1.28083,5765
2024-07-10 16:00:00,1.28083,1.28466,1.28064,1.28462,7838
2024-07-10 20:00:00,1.28462,1.28488,1.28348,1.28477,3491
2024-07-11 00:00:00,1.28476,1.28582,1.28454,1.28546,1834
2024-07-11 04:00:00,1.28546,1.28642,1.28491,1.2858,2793
2024-07-11 08:00:00,1.28581,1.28751,1.28549,1.2875,5885
2024-07-11 12:00:00,1.28749,1.29487,1.28688,1.29316,7737
2024-07-11 16:00:00,1.29314,1.29483,1.29036,1.29106,13239
2024-07-11 20:00:00,1.29106,1.2915,1.28988,1.29137,6206
2024-07-12 00:00:00,1.2913,1.29242,1.29038,1.29092,4733
2024-07-12 04:00:00,1.29091,1.29125,1.29021,1.29113,4223
2024-07-12 08:00:00,1.29115,1.29456,1.29028,1.29456,6550
2024-07-12 12:00:00,1.29457,1.29683,1.29303,1.2965,8035
2024-07-12 16:00:00,1.29651,1.29905,1.29578,1.2987,10923
2024-07-12 20:00:00,1.29872,1.29905,1.29804,1.29875,4041
2024-07-15 00:00:00,1.29636,1.29808,1.29615,1.29661,3914
2024-07-15 04:00:00,1.29661,1.29757,1.29617,1.29755,3084
2024-07-15 08:00:00,1.29755,1.29895,1.29635,1.29886,6324
2024-07-15 12:00:00,1.29886,1.29906,1.29674,1.2977,7371
2024-07-15 16:00:00,1.29771,1.29946,1.29673,1.29771,9416
2024-07-15 20:00:00,1.29771,1.29771,1.29622,1.29666,6129
2024-07-16 00:00:00,1.2967,1.297,1.29614,1.29649,2510
2024-07-16 04:00:00,1.29649,1.29665,1.29612,1.29627,3311
2024-07-16 08:00:00,1.29628,1.29727,1.29514,1.29634,6781
2024-07-16 12:00:00,1.29631,1.29798,1.29383,1.29469,8358
2024-07-16 16:00:00,1.29469,1.2958,1.2941,1.29544,8865
2024-07-16 20:00:00,1.29543,1.29767,1.2953,1.29724,4604
2024-07-17 00:00:00,1.29727,1.29788,1.29603,1.29698,2861
2024-07-17 04:00:00,1.29699,1.29785,1.2967,1.29681,3360
2024-07-17 08:00:00,1.29681,1.30302,1.29659,1.30285,9286
2024-07-17 12:00:00,1.30285,1.3044,1.3022,1.30323,8398
2024-07-17 16:00:00,1.30322,1.30363,1.29989,1.30042,10251
2024-07-17 20:00:00,1.30041,1.30121,1.30004,1.30085,6051
2024-07-18 00:00:00,1.30081,1.30107,1.3002,1.30036,3732
2024-07-18 04:00:00,1.30035,1.30072,1.2999,1.30015,4878
2024-07-18 08:00:00,1.30015,1.30126,1.29831,1.29858,8271
2024-07-18 12:00:00,1.29857,1.29965,1.29751,1.29815,7226
2024-07-18 16:00:00,1.29815,1.29849,1.29683,1.29716,10695
2024-07-18 20:00:00,1.29716,1.2972,1.29404,1.29429,6327
2024-07-19 00:00:00,1.29417,1.2951,1.29343,1.29447,3420
2024-07-19 04:00:00,1.29448,1.2947,1.29344,1.29389,3933
2024-07-19 08:00:00,1.29389,1.29417,1.29144,1.29172,8083
2024-07-19 12:00:00,1.29168,1.29286,1.29011,1.29203,7357
2024-07-19 16:00:00,1.29203,1.29265,1.2912,1.29142,8515
2024-07-19 20:00:00,1.29142,1.29184,1.29067,1.29112,5312
2024-07-22 00:00:00,1.2919,1.29392,1.29047,1.29284,3744
2024-07-22 04:00:00,1.29284,1.29299,1.29122,1.29177,4149
2024-07-22 08:00:00,1.29174,1.29321,1.29102,1.29277,8212
