time,open,high,low,close,tick_volume,spread,real_volume
2026-06-11T06:20:00+00:00,160.524,160.525,160.512,160.515,73,5,0
2026-06-11T06:25:00+00:00,160.515,160.519,160.513,160.517,89,5,0
2026-06-11T06:30:00+00:00,160.517,160.519,160.506,160.515,94,5,0
2026-06-11T06:35:00+00:00,160.514,160.521,160.514,160.519,100,5,0
2026-06-11T06:40:00+00:00,160.519,160.526,160.515,160.522,111,4,0
2026-06-11T06:45:00+00:00,160.522,160.528,160.521,160.524,84,5,0
2026-06-11T06:50:00+00:00,160.524,160.525,160.519,160.524,77,5,0
2026-06-11T06:55:00+00:00,160.524,160.528,160.51,160.511,107,5,0
2026-06-11T07:00:00+00:00,160.511,160.53,160.507,160.527,149,5,0
2026-06-11T07:05:00+00:00,160.527,160.529,160.52,160.525,75,5,0
2026-06-11T07:10:00+00:00,160.525,160.529,160.52,160.522,61,5,0
2026-06-11T07:15:00+00:00,160.522,160.522,160.511,160.515,82,4,0
2026-06-11T07:20:00+00:00,160.515,160.516,160.51,160.514,50,4,0
2026-06-11T07:25:00+00:00,160.514,160.516,160.51,160.513,70,5,0
2026-06-11T07:30:00+00:00,160.513,160.516,160.505,160.507,82,5,0
2026-06-11T07:35:00+00:00,160.507,160.511,160.5,160.506,124,5,0
2026-06-11T07:40:00+00:00,160.506,160.51,160.505,160.509,67,5,0
2026-06-11T07:45:00+00:00,160.51,160.511,160.5,160.506,173,5,0
2026-06-11T07:50:00+00:00,160.506,160.506,160.496,160.503,89,4,0
2026-06-11T07:55:00+00:00,160.502,160.505,160.494,160.503,83,5,0
2026-06-11T08:00:00+00:00,160.503,160.515,160.503,160.511,109,3,0
2026-06-11T08:05:00+00:00,160.512,160.517,160.503,160.504,120,3,0
2026-06-11T08:10:00+00:00,160.504,160.509,160.502,160.505,93,3,0
2026-06-11T08:15:00+00:00,160.505,160.509,160.498,160.503,93,3,0
2026-06-11T08:20:00+00:00,160.503,160.504,160.493,160.504,81,3,0
2026-06-11T08:25:00+00:00,160.504,160.514,160.504,160.512,102,3,0
2026-06-11T08:30:00+00:00,160.512,160.52,160.505,160.516,115,0,0
2026-06-11T08:35:00+00:00,160.516,160.52,160.508,160.518,133,3,0
2026-06-11T08:40:00+00:00,160.518,160.52,160.513,160.513,83,3,0
2026-06-11T08:45:00+00:00,160.513,160.536,160.508,160.535,147,3,0
2026-06-11T08:50:00+00:00,160.535,160.549,160.532,160.545,177,3,0
2026-06-11T08:55:00+00:00,160.545,160.547,160.535,160.544,166,3,0
2026-06-11T09:00:00+00:00,160.544,160.558,160.537,160.558,259,2,0
2026-06-11T09:05:00+00:00,160.558,160.56,160.547,160.556,170,2,0
2026-06-11T09:10:00+00:00,160.556,160.558,160.541,160.541,130,2,0
2026-06-11T09:15:00+00:00,160.541,160.555,160.535,160.552,232,3,0
2026-06-11T09:20:00+00:00,160.552,160.569,160.548,160.566,216,2,0
2026-06-11T09:25:00+00:00,160.567,160.581,160.564,160.579,220,3,0
2026-06-11T09:30:00+00:00,160.578,160.585,160.569,160.575,171,0,0
2026-06-11T09:35:00+00:00,160.575,160.577,160.559,160.569,168,3,0
2026-06-11T09:40:00+00:00,160.569,160.589,160.565,160.578,175,3,0
2026-06-11T09:45:00+00:00,160.578,160.578,160.562,160.564,180,1,0
2026-06-11T09:50:00+00:00,160.564,160.566,160.546,160.547,87,3,0
2026-06-11T09:55:00+00:00,160.547,160.571,160.545,160.558,154,2,0
2026-06-11T10:00:00+00:00,160.558,160.558,160.537,160.537,246,3,0
2026-06-11T10:05:00+00:00,160.537,160.537,160.497,160.499,242,3,0
2026-06-11T10:10:00+00:00,160.499,160.527,160.493,160.509,286,2,0
2026-06-11T10:15:00+00:00,160.508,160.517,160.497,160.515,227,0,0
2026-06-11T10:20:00+00:00,160.515,160.517,160.508,160.513,180,3,0
2026-06-11T10:25:00+00:00,160.513,160.515,160.503,160.509,341,2,0
2026-06-11T10:30:00+00:00,160.508,160.523,160.502,160.522,189,3,0
2026-06-11T10:35:00+00:00,160.522,160.539,160.517,160.538,178,3,0
2026-06-11T10:40:00+00:00,160.538,160.54,160.494,160.511,236,2,0
2026-06-11T10:45:00+00:00,160.511,160.514,160.5,160.51,204,3,0
2026-06-11T10:50:00+00:00,160.511,160.525,160.498,160.51,212,3,0
2026-06-11T10:55:00+00:00,160.51,160.512,160.505,160.507,181,3,0
2026-06-11T11:00:00+00:00,160.508,160.517,160.505,160.511,234,3,0
2026-06-11T11:05:00+00:00,160.511,160.517,160.499,160.509,284,3,0
2026-06-11T11:10:00+00:00,160.509,160.515,160.503,160.509,167,3,0
2026-06-11T11:15:00+00:00,160.509,160.511,160.502,160.508,182,3,0
2026-06-11T11:20:00+00:00,160.508,160.513,160.504,160.511,167,3,0
2026-06-11T11:25:00+00:00,160.511,160.52,160.509,160.518,219,3,0
2026-06-11T11:30:00+00:00,160.519,160.535,160.512,160.514,176,3,0
2026-06-11T11:35:00+00:00,160.514,160.524,160.514,160.519,145,3,0
2026-06-11T11:40:00+00:00,160.519,160.534,160.519,160.533,135,3,0
2026-06-11T11:45:00+00:00,160.533,160.543,160.527,160.531,92,3,0
2026-06-11T11:50:00+00:00,160.531,160.541,160.527,160.537,200,3,0
2026-06-11T11:55:00+00:00,160.537,160.538,160.528,160.534,139,3,0
2026-06-11T12:00:00+00:00,160.534,160.543,160.533,160.534,162,3,0
2026-06-11T12:05:00+00:00,160.534,160.542,160.531,160.54,118,3,0
2026-06-11T12:10:00+00:00,160.54,160.549,160.538,160.545,189,3,0
2026-06-11T12:15:00+00:00,160.545,160.545,160.536,160.541,178,3,0
2026-06-11T12:20:00+00:00,160.541,160.547,160.533,160.535,176,3,0
2026-06-11T12:25:00+00:00,160.535,160.542,160.528,160.532,92,3,0
2026-06-11T12:30:00+00:00,160.532,160.544,160.532,160.542,81,3,0
2026-06-11T12:35:00+00:00,160.542,160.545,160.535,160.539,97,3,0
2026-06-11T12:40:00+00:00,160.539,160.54,160.531,160.532,112,3,0
2026-06-11T12:45:00+00:00,160.532,160.539,160.525,160.532,164,3,0
2026-06-11T12:50:00+00:00,160.532,160.535,160.519,160.524,108,3,0
2026-06-11T12:55:00+00:00,160.524,160.534,160.513,160.53,171,3,0
2026-06-11T13:00:00+00:00,160.53,160.54,160.528,160.537,192,3,0
2026-06-11T13:05:00+00:00,160.537,160.543,160.534,160.536,145,3,0
2026-06-11T13:10:00+00:00,160.536,160.547,160.535,160.541,114,3,0
2026-06-11T13:15:00+00:00,160.541,160.549,160.541,160.548,150,3,0
2026-06-11T13:20:00+00:00,160.548,160.553,160.545,160.55,168,3,0
2026-06-11T13:25:00+00:00,160.55,160.551,160.544,160.545,194,3,0
2026-06-11T13:30:00+00:00,160.545,160.548,160.525,160.53,254,3,0
2026-06-11T13:35:00+00:00,160.53,160.543,160.53,160.542,150,3,0
2026-06-11T13:40:00+00:00,160.542,160.542,160.529,160.534,128,0,0
2026-06-11T13:45:00+00:00,160.534,160.535,160.525,160.529,263,3,0
2026-06-11T13:50:00+00:00,160.529,160.531,160.525,160.527,141,3,0
2026-06-11T13:55:00+00:00,160.527,160.534,160.523,160.526,154,3,0
2026-06-11T14:00:00+00:00,160.526,160.528,160.508,160.517,312,3,0
2026-06-11T14:05:00+00:00,160.517,160.534,160.515,160.528,185,3,0
2026-06-11T14:10:00+00:00,160.528,160.53,160.518,160.523,166,3,0
2026-06-11T14:15:00+00:00,160.523,160.526,160.518,160.525,62,3,0
2026-06-11T14:20:00+00:00,160.524,160.53,160.521,160.527,81,3,0
2026-06-11T14:25:00+00:00,160.527,160.53,160.518,160.524,177,3,0
2026-06-11T14:30:00+00:00,160.524,160.527,160.508,160.523,392,3,0
2026-06-11T14:35:00+00:00,160.523,160.528,160.512,160.526,163,3,0
2026-06-11T14:40:00+00:00,160.526,160.528,160.513,160.522,118,3,0
2026-06-11T14:45:00+00:00,160.522,160.525,160.511,160.518,125,0,0
2026-06-11T14:50:00+00:00,160.519,160.522,160.513,160.521,112,3,0
2026-06-11T14:55:00+00:00,160.521,160.536,160.521,160.535,169,3,0
2026-06-11T15:00:00+00:00,160.535,160.538,160.525,160.532,233,3,0
2026-06-11T15:05:00+00:00,160.532,160.537,160.53,160.531,155,3,0
2026-06-11T15:10:00+00:00,160.531,160.538,160.528,160.528,124,3,0
2026-06-11T15:15:00+00:00,160.528,160.543,160.524,160.543,254,0,0
2026-06-11T15:20:00+00:00,160.543,160.592,160.539,160.57,640,0,0
2026-06-11T15:25:00+00:00,160.57,160.592,160.561,160.566,436,1,0
2026-06-11T15:30:00+00:00,160.566,160.596,160.525,160.585,508,0,0
2026-06-11T15:35:00+00:00,160.586,160.593,160.573,160.58,390,2,0
2026-06-11T15:40:00+00:00,160.58,160.593,160.529,160.565,480,0,0
2026-06-11T15:45:00+00:00,160.565,160.578,160.542,160.549,566,0,0
2026-06-11T15:50:00+00:00,160.549,160.554,160.533,160.539,399,1,0
2026-06-11T15:55:00+00:00,160.539,160.545,160.521,160.531,530,3,0
2026-06-11T16:00:00+00:00,160.531,160.551,160.53,160.546,370,3,0
2026-06-11T16:05:00+00:00,160.546,160.555,160.537,160.542,413,3,0
2026-06-11T16:10:00+00:00,160.542,160.548,160.535,160.541,391,1,0
2026-06-11T16:15:00+00:00,160.541,160.551,160.534,160.551,274,3,0
2026-06-11T16:20:00+00:00,160.551,160.558,160.541,160.546,289,3,0
2026-06-11T16:25:00+00:00,160.546,160.547,160.523,160.535,263,2,0
2026-06-11T16:30:00+00:00,160.535,160.537,160.506,160.51,422,3,0
2026-06-11T16:35:00+00:00,160.51,160.537,160.509,160.535,347,0,0
2026-06-11T16:40:00+00:00,160.535,160.542,160.52,160.526,295,2,0
2026-06-11T16:45:00+00:00,160.525,160.533,160.466,160.497,709,0,0
2026-06-11T16:50:00+00:00,160.497,160.498,160.456,160.471,370,1,0
2026-06-11T16:55:00+00:00,160.471,160.488,160.458,160.486,346,3,0
2026-06-11T17:00:00+00:00,160.487,160.499,160.471,160.497,374,3,0
2026-06-11T17:05:00+00:00,160.497,160.509,160.49,160.491,262,0,0
2026-06-11T17:10:00+00:00,160.491,160.513,160.49,160.508,288,0,0
2026-06-11T17:15:00+00:00,160.508,160.522,160.506,160.518,258,3,0
2026-06-11T17:20:00+00:00,160.518,160.52,160.507,160.511,207,3,0
2026-06-11T17:25:00+00:00,160.511,160.55,160.509,160.543,264,2,0
2026-06-11T17:30:00+00:00,160.542,160.55,160.534,160.548,233,3,0
2026-06-11T17:35:00+00:00,160.547,160.552,160.525,160.529,262,2,0
2026-06-11T17:40:00+00:00,160.528,160.53,160.51,160.511,267,2,0
2026-06-11T17:45:00+00:00,160.511,160.529,160.506,160.522,214,0,0
2026-06-11T17:50:00+00:00,160.522,160.528,160.503,160.508,242,3,0
2026-06-11T17:55:00+00:00,160.508,160.513,160.495,160.506,443,1,0
2026-06-11T18:00:00+00:00,160.506,160.511,160.493,160.494,359,3,0
2026-06-11T18:05:00+00:00,160.494,160.498,160.47,160.494,437,0,0
2026-06-11T18:10:00+00:00,160.494,160.501,160.471,160.501,305,3,0
2026-06-11T18:15:00+00:00,160.501,160.502,160.479,160.485,307,2,0
2026-06-11T18:20:00+00:00,160.485,160.489,160.474,160.478,265,3,0
2026-06-11T18:25:00+00:00,160.478,160.483,160.471,160.481,233,2,0
2026-06-11T18:30:00+00:00,160.481,160.497,160.471,160.489,294,3,0
2026-06-11T18:35:00+00:00,160.489,160.506,160.486,160.505,270,2,0
2026-06-11T18:40:00+00:00,160.506,160.513,160.49,160.51,239,3,0
2026-06-11T18:45:00+00:00,160.51,160.519,160.504,160.505,223,3,0
2026-06-11T18:50:00+00:00,160.505,160.52,160.504,160.505,147,3,0
2026-06-11T18:55:00+00:00,160.505,160.514,160.492,160.509,239,3,0
2026-06-11T19:00:00+00:00,160.508,160.519,160.505,160.517,238,2,0
2026-06-11T19:05:00+00:00,160.517,160.523,160.506,160.521,133,3,0
2026-06-11T19:10:00+00:00,160.521,160.538,160.521,160.534,134,3,0
2026-06-11T19:15:00+00:00,160.534,160.546,160.53,160.53,141,3,0
2026-06-11T19:20:00+00:00,160.53,160.556,160.53,160.533,229,1,0
2026-06-11T19:25:00+00:00,160.533,160.541,160.531,160.538,223,3,0
2026-06-11T19:30:00+00:00,160.538,160.546,160.524,160.534,219,3,0
2026-06-11T19:35:00+00:00,160.534,160.537,160.519,160.528,121,3,0
2026-06-11T19:40:00+00:00,160.529,160.529,160.52,160.521,230,3,0
2026-06-11T19:45:00+00:00,160.521,160.528,160.521,160.523,194,3,0
2026-06-11T19:50:00+00:00,160.523,160.529,160.522,160.527,140,3,0
2026-06-11T19:55:00+00:00,160.527,160.538,160.524,160.529,140,0,0
2026-06-11T20:00:00+00:00,160.529,160.547,160.524,160.532,327,3,0
2026-06-11T20:05:00+00:00,160.532,160.537,160.524,160.53,244,3,0
2026-06-11T20:10:00+00:00,160.53,160.539,160.519,160.526,205,2,0
2026-06-11T20:15:00+00:00,160.526,160.536,160.524,160.526,177,1,0
2026-06-11T20:20:00+00:00,160.526,160.539,160.522,160.524,143,3,0
2026-06-11T20:25:00+00:00,160.524,160.526,160.401,160.401,549,0,0
2026-06-11T20:30:00+00:00,160.401,160.401,160.146,160.152,1325,0,0
2026-06-11T20:35:00+00:00,160.152,160.216,160.1,160.105,1122,0,0
2026-06-11T20:40:00+00:00,160.105,160.115,160.03,160.07,943,0,0
2026-06-11T20:45:00+00:00,160.07,160.141,160.04,160.134,978,0,0
2026-06-11T20:50:00+00:00,160.134,160.185,160.063,160.099,900,0,0
2026-06-11T20:55:00+00:00,160.099,160.141,160.085,160.123,729,0,0
2026-06-11T21:00:00+00:00,160.123,160.265,160.112,160.252,855,0,0
2026-06-11T21:05:00+00:00,160.251,160.285,160.142,160.191,908,0,0
2026-06-11T21:10:00+00:00,160.192,160.198,160.134,160.141,602,0,0
2026-06-11T21:15:00+00:00,160.141,160.145,160.049,160.064,561,0,0
2026-06-11T21:20:00+00:00,160.064,160.132,160.056,160.113,804,0,0
2026-06-11T21:25:00+00:00,160.113,160.137,160.093,160.108,575,1,0
2026-06-11T21:30:00+00:00,160.108,160.17,160.104,160.119,526,3,0
2026-06-11T21:35:00+00:00,160.119,160.119,160.079,160.102,326,3,0
2026-06-11T21:40:00+00:00,160.102,160.105,160.061,160.069,330,0,0
2026-06-11T21:45:00+00:00,160.069,160.07,159.963,159.964,338,0,0
2026-06-11T21:50:00+00:00,159.964,160.007,159.94,160.005,502,3,0
2026-06-11T21:55:00+00:00,160.006,160.083,160.0,160.077,624,0,0
2026-06-11T22:00:00+00:00,160.077,160.082,159.958,159.959,571,0,0
2026-06-11T22:05:00+00:00,159.959,160.009,159.958,159.963,470,0,0
2026-06-11T22:10:00+00:00,159.963,159.97,159.863,159.871,827,0,0
2026-06-11T22:15:00+00:00,159.871,159.897,159.857,159.857,704,0,0
2026-06-11T22:20:00+00:00,159.857,159.887,159.854,159.868,552,0,0
2026-06-11T22:25:00+00:00,159.868,159.87,159.819,159.837,543,0,0
2026-06-11T22:30:00+00:00,159.837,159.839,159.541,159.675,1174,0,0
2026-06-11T22:35:00+00:00,159.675,159.72,159.662,159.72,594,0,0
2026-06-11T22:40:00+00:00,159.72,159.758,159.701,159.758,619,0,0
2026-06-11T22:45:00+00:00,159.758,159.805,159.753,159.769,478,0,0
2026-06-11T22:50:00+00:00,159.769,159.782,159.751,159.774,568,1,0
2026-06-11T22:55:00+00:00,159.773,159.797,159.753,159.792,476,0,0
