symbol,timeframe,date,open,high,low,close,volume,quantity
NZLFUT,D1,05/06/2026,580.1,580.2,580.0,580.1,39189459.0,6755.0
NZLFUT,D1,03/06/2026,589.3,589.3,587.0,587.0,39751046.0,6755.0
NZLFUT,D1,14/04/2026,590.7,590.8,590.7,590.8,60532495.8,2050.0
NZLFUT,D1,13/04/2026,584.5,584.5,584.4,584.4,23431440.69,800.0
NZLFUT,D1,10/04/2026,587.1,587.1,587.1,587.1,446206.31,15.0
NZLFUT,D1,08/04/2026,591.11,591.11,591.11,591.11,1006877.92,33.0
NZLFUT,D1,07/04/2026,573.45,573.55,573.45,573.55,60489252.46,2050.0
NZLFUT,D1,13/03/2026,588.6,588.6,588.6,588.6,1015365.76,33.0
NZLFUT,D1,11/03/2026,595.53,595.53,595.53,595.53,459795.45,15.0
NZLFUT,D1,12/02/2026,600.85,600.85,600.85,600.85,778262.43,25.0
NZLFUT,D1,11/02/2026,600.85,600.85,600.85,600.85,468940.26,15.0
NZLFUT,D1,09/02/2026,601.84,601.84,601.44,601.54,118754755.43,3800.0
NZLFUT,D1,29/01/2026,596.78,596.78,596.78,596.78,124495.21,4.0
NZLFUT,D1,28/01/2026,592.94,592.94,592.94,592.94,10594456.57,343.0
NZLFUT,D1,27/01/2026,589.5,589.5,589.01,589.01,43494734.98,1400.0
NZLFUT,D1,26/01/2026,587.73,587.73,587.73,587.73,10844834.34,350.0
NZLFUT,D1,23/01/2026,583.7,583.8,583.7,583.8,24680989.83,800.0
NZLFUT,D1,22/01/2026,578.39,578.49,578.39,578.49,24615576.46,800.0
NZLFUT,D1,21/01/2026,576.33,576.42,576.33,576.42,24781887.81,800.0
NZLFUT,D1,20/01/2026,574.16,574.46,574.16,574.46,339533.81,11.0
NZLFUT,D1,19/01/2026,570.13,570.13,570.13,570.13,21210579.5,693.0
NZLFUT,D1,16/01/2026,566.69,566.69,566.69,566.69,60729.81,2.0
NZLFUT,D1,13/01/2026,567.28,567.28,567.28,567.28,456807.14,15.0
NZLFUT,D1,09/01/2026,564.23,564.33,564.23,564.23,23720376.01,780.0
NZLFUT,D1,06/01/2026,569.44,569.44,569.44,569.44,61194.55,2.0
NZLFUT,D1,23/12/2025,575.65,575.65,575.35,575.35,73933109.16,2300.0
NZLFUT,D1,17/12/2025,569.54,569.54,569.54,569.54,62160.83,2.0
NZLFUT,D1,12/12/2025,572.89,572.89,572.89,572.89,6063810.55,196.0
NZLFUT,D1,11/12/2025,571.81,573.97,571.81,573.97,6635616.68,211.0
NZLFUT,D1,26/11/2025,569.25,569.25,569.25,569.25,5998003.82,196.0
NZLFUT,D1,19/11/2025,559.45,559.45,559.45,559.45,118935.63,4.0
NZLFUT,D1,13/11/2025,568.05,568.05,568.05,568.05,450804.55,15.0
NZLFUT,D1,11/11/2025,567.55,567.55,567.55,567.55,301054.55,10.0
NZLFUT,D1,04/11/2025,566.54,566.54,565.84,565.84,9194343.35,301.0
NZLFUT,D1,28/10/2025,580.17,580.17,580.17,580.17,155752.13,5.0
NZLFUT,D1,23/10/2025,576.76,576.76,576.76,576.76,62040.05,2.0
NZLFUT,D1,21/10/2025,576.06,576.36,576.06,576.36,216577.76,7.0
NZLFUT,D1,20/10/2025,576.36,576.36,576.36,576.36,62294.33,2.0
NZLFUT,D1,16/10/2025,573.96,573.96,573.96,573.96,62568.24,2.0
NZLFUT,D1,14/10/2025,571.15,573.06,571.15,573.06,186919.37,6.0
NZLFUT,D1,09/10/2025,579.17,579.17,575.96,575.96,495418.53,16.0
NZLFUT,D1,07/10/2025,581.17,581.37,581.17,581.37,154286.74,5.0
NZLFUT,D1,03/10/2025,584.97,584.97,584.97,584.97,93695.38,3.0
NZLFUT,D1,02/10/2025,583.27,583.27,583.27,583.27,124066.63,4.0
