symbol,timeframe,date,open,high,low,close,volume,quantity
OBTC3,D1,09/06/2026,6.0,6.06,5.81,5.95,1321323.0,223500.0
OBTC3,D1,08/06/2026,6.1,6.16,5.95,5.99,2498981.0,413600.0
OBTC3,D1,05/06/2026,6.06,6.06,5.71,5.95,5323668.0,906900.0
OBTC3,D1,03/06/2026,6.17,6.29,5.91,6.12,3551214.0,583200.0
OBTC3,D1,02/06/2026,6.65,6.65,6.09,6.09,7700633.0,1223500.0
OBTC3,D1,01/06/2026,6.97,6.97,6.72,6.72,1745000.0,257100.0
OBTC3,D1,29/05/2026,7.0,7.07,6.86,6.98,1860346.0,266100.0
OBTC3,D1,28/05/2026,6.86,7.08,6.86,6.97,1134115.0,162100.0
OBTC3,D1,27/05/2026,6.99,7.04,6.89,7.0,1288783.0,184900.0
OBTC3,D1,26/05/2026,7.09,7.09,6.76,6.97,1935142.0,280500.0
OBTC3,D1,25/05/2026,6.69,7.1,6.69,6.87,3367999.0,483100.0
OBTC3,D1,22/05/2026,6.8,6.88,6.6,6.66,3853305.0,572100.0
OBTC3,D1,21/05/2026,6.9,6.9,6.63,6.75,3022162.0,446800.0
OBTC3,D1,20/05/2026,6.96,6.96,6.63,6.75,2746460.0,407900.0
OBTC3,D1,19/05/2026,7.0,7.01,6.65,6.7,12805851.0,1899900.0
OBTC3,D1,18/05/2026,7.23,7.23,6.51,6.94,12921174.0,1931500.0
OBTC3,D1,15/05/2026,7.4,7.4,7.07,7.15,1901744.0,265000.0
OBTC3,D1,14/05/2026,7.04,7.38,7.01,7.38,1736675.0,240300.0
OBTC3,D1,13/05/2026,7.24,7.24,6.98,6.99,3362974.0,474600.0
OBTC3,D1,12/05/2026,7.42,7.42,7.05,7.24,1816161.0,253200.0
OBTC3,D1,11/05/2026,7.17,7.43,7.04,7.34,2061185.0,280900.0
OBTC3,D1,08/05/2026,6.99,7.14,6.99,6.99,2409163.0,341000.0
OBTC3,D1,07/05/2026,7.03,7.1,6.95,7.02,2177014.0,310600.0
