symbol,timeframe,date,open,high,low,close,volume,quantity
PACB11,D1,09/06/2026,10.64,10.68,10.45,10.45,848489.55,80858.0
PACB11,D1,08/06/2026,10.64,10.79,10.5,10.5,1080974.2,101979.0
PACB11,D1,05/06/2026,10.77,10.83,10.55,10.55,870266.05,81644.0
PACB11,D1,03/06/2026,10.8,10.8,10.7,10.7,671129.28,62352.0
PACB11,D1,02/06/2026,10.85,10.94,10.8,10.84,413859.96,38239.0
PACB11,D1,01/06/2026,11.01,11.02,10.84,10.84,523009.59,48113.0
PACB11,D1,29/05/2026,10.99,10.99,10.89,10.9,77948.83,7135.0
PACB11,D1,28/05/2026,10.88,10.96,10.87,10.93,288501.31,26426.0
PACB11,D1,27/05/2026,10.88,10.9,10.77,10.88,163091.95,15008.0
PACB11,D1,26/05/2026,10.91,10.91,10.8,10.82,194595.02,17990.0
PACB11,D1,25/05/2026,10.82,10.9,10.81,10.83,160590.24,14809.0
PACB11,D1,22/05/2026,10.95,10.95,10.78,10.8,137178.67,12688.0
PACB11,D1,21/05/2026,10.94,10.98,10.77,10.82,226790.12,20991.0
PACB11,D1,20/05/2026,10.81,10.85,10.8,10.8,85274.41,7874.0
PACB11,D1,19/05/2026,11.04,11.04,10.77,10.78,604591.89,55751.0
PACB11,D1,18/05/2026,10.86,11.1,10.86,11.06,479417.77,43453.0
PACB11,D1,15/05/2026,10.99,11.0,10.83,10.83,1397613.14,128373.0
PACB11,D1,14/05/2026,10.97,11.0,10.9,10.93,524647.35,47986.0
PACB11,D1,13/05/2026,10.99,10.99,10.83,10.86,337518.0,30923.0
PACB11,D1,12/05/2026,11.0,11.06,10.93,10.98,504626.76,45939.0
PACB11,D1,11/05/2026,11.05,11.05,10.98,10.98,211082.26,19187.0
PACB11,D1,08/05/2026,10.98,11.04,10.98,11.03,220307.77,19964.0
PACB11,D1,07/05/2026,11.02,11.02,10.91,11.0,215303.51,19582.0
PACB11,D1,06/05/2026,10.91,11.05,10.91,10.98,140428.73,12767.0
PACB11,D1,05/05/2026,10.99,10.99,10.88,10.95,615775.05,56513.0
PACB11,D1,04/05/2026,11.03,11.09,10.83,10.88,1235647.36,113780.0
PACB11,D1,30/04/2026,10.91,11.05,10.91,10.95,462364.73,42135.0
PACB11,D1,29/04/2026,11.05,11.08,10.9,10.9,570367.37,52132.0
PACB11,D1,28/04/2026,11.06,11.06,10.92,10.96,461541.49,42060.0
PACB11,D1,27/04/2026,11.06,11.06,10.97,10.99,159841.45,14529.0
PACB11,D1,24/04/2026,11.19,11.19,10.96,10.99,1499981.31,136223.0
PACB11,D1,23/04/2026,11.05,11.06,11.0,11.0,745226.76,67498.0
PACB11,D1,22/04/2026,11.16,11.16,11.05,11.05,587783.57,53047.0
PACB11,D1,20/04/2026,11.22,11.22,11.05,11.1,679080.41,61080.0
PACB11,D1,17/04/2026,11.18,11.18,11.08,11.1,305022.23,27462.0
PACB11,D1,16/04/2026,11.06,11.12,11.05,11.06,280737.6,25335.0
PACB11,D1,15/04/2026,11.07,11.08,11.02,11.03,251445.0,22707.0
PACB11,D1,14/04/2026,11.15,11.15,11.0,11.07,2540918.81,229854.0
PACB11,D1,13/04/2026,11.04,11.08,11.03,11.05,491399.14,44444.0
PACB11,D1,10/04/2026,10.98,11.03,10.98,11.02,408371.42,37097.0
PACB11,D1,09/04/2026,10.94,10.99,10.84,10.93,351734.14,32161.0
PACB11,D1,08/04/2026,10.83,10.96,10.78,10.84,1126802.05,103507.0
PACB11,D1,07/04/2026,10.85,10.91,10.75,10.78,505884.45,46862.0
PACB11,D1,06/04/2026,10.78,10.9,10.73,10.79,354605.55,32782.0
PACB11,D1,02/04/2026,10.79,10.79,10.7,10.73,179607.79,16739.0
PACB11,D1,01/04/2026,10.75,10.99,10.66,10.71,232277.48,21622.0
PACB11,D1,31/03/2026,10.67,10.74,10.6,10.64,2944113.73,276778.0
PACB11,D1,30/03/2026,10.66,10.66,10.6,10.6,234472.53,22060.0
PACB11,D1,27/03/2026,10.66,10.68,10.55,10.61,95373.33,8977.0
PACB11,D1,26/03/2026,10.64,10.74,10.56,10.58,231350.96,21792.0
PACB11,D1,25/03/2026,10.68,10.68,10.58,10.64,442849.53,41578.0
PACB11,D1,24/03/2026,10.77,10.77,10.54,10.58,730011.98,68711.0
PACB11,D1,23/03/2026,10.67,10.82,10.67,10.71,311028.02,29018.0
PACB11,D1,20/03/2026,10.83,10.83,10.58,10.66,230022.67,21569.0
PACB11,D1,19/03/2026,10.68,10.88,10.64,10.72,541635.35,50751.0
PACB11,D1,18/03/2026,10.8,10.8,10.67,10.72,5527590.98,515573.0
PACB11,D1,17/03/2026,10.62,10.77,10.62,10.73,659262.2,61459.0
PACB11,D1,16/03/2026,10.61,10.61,10.42,10.59,10963218.09,1045836.0
PACB11,D1,13/03/2026,10.75,10.75,10.5,10.5,446118.0,42142.0
PACB11,D1,12/03/2026,10.82,10.89,10.7,10.7,224807.27,20923.0
PACB11,D1,11/03/2026,10.73,10.81,10.7,10.81,266395.55,24725.0
PACB11,D1,10/03/2026,10.73,10.79,10.68,10.73,3006194.54,279147.0
PACB11,D1,09/03/2026,10.65,10.75,10.55,10.66,3725608.17,350450.0
PACB11,D1,06/03/2026,10.72,10.79,10.62,10.62,481914.21,45201.0
PACB11,D1,05/03/2026,10.89,10.89,10.64,10.67,393759.96,36602.0
PACB11,D1,04/03/2026,10.91,10.99,10.77,10.78,1026228.01,94804.0
PACB11,D1,03/03/2026,10.92,11.01,10.76,10.91,1079791.9,99906.0
PACB11,D1,02/03/2026,10.91,11.0,10.87,11.0,477220.28,43804.0
PACB11,D1,27/02/2026,11.04,11.04,10.86,10.9,607057.01,55616.0
PACB11,D1,26/02/2026,10.84,10.9,10.81,10.85,675936.99,62329.0
PACB11,D1,25/02/2026,10.75,10.86,10.75,10.79,1163771.46,107849.0
PACB11,D1,24/02/2026,10.73,10.8,10.69,10.75,1149066.57,106847.0
PACB11,D1,23/02/2026,10.67,10.75,10.67,10.72,328049.51,30559.0
PACB11,D1,20/02/2026,10.67,10.7,10.63,10.67,724003.75,67812.0
PACB11,D1,19/02/2026,10.72,10.72,10.65,10.66,707642.73,66270.0
PACB11,D1,18/02/2026,10.67,10.73,10.6,10.73,180722.44,16918.0
PACB11,D1,13/02/2026,10.63,10.81,10.59,10.63,562620.56,52813.0
PACB11,D1,12/02/2026,10.63,10.66,10.54,10.63,232056.75,21896.0
PACB11,D1,11/02/2026,10.6,10.61,10.5,10.52,392495.13,37188.0
PACB11,D1,10/02/2026,10.65,10.65,10.49,10.6,379685.38,35958.0
PACB11,D1,09/02/2026,10.59,10.73,10.52,10.6,172025.22,16275.0
PACB11,D1,06/02/2026,10.56,10.62,10.48,10.48,5534368.86,524647.0
PACB11,D1,05/02/2026,10.56,10.59,10.38,10.59,488314.81,46256.0
PACB11,D1,04/02/2026,10.6,10.69,10.52,10.52,5607374.09,530026.0
PACB11,D1,03/02/2026,10.57,10.66,10.55,10.6,7231318.04,683626.0
PACB11,D1,02/02/2026,10.87,10.88,10.55,10.66,6363325.83,600237.0
PACB11,D1,30/01/2026,10.79,10.84,10.6,10.65,11127227.73,1044832.0
PACB11,D1,29/01/2026,10.74,10.91,10.55,10.74,453569.57,42675.0
PACB11,D1,28/01/2026,10.6,10.65,10.54,10.65,817251.22,77177.0
PACB11,D1,27/01/2026,10.52,10.66,10.52,10.66,1577857.75,149379.0
PACB11,D1,26/01/2026,10.48,10.58,10.48,10.52,5689906.86,540346.0
PACB11,D1,23/01/2026,10.33,10.49,10.33,10.48,997885.19,95326.0
PACB11,D1,22/01/2026,10.35,10.4,10.33,10.33,345706.61,33376.0
PACB11,D1,21/01/2026,10.36,10.4,10.35,10.4,197356.57,19025.0
PACB11,D1,20/01/2026,10.43,10.43,10.31,10.36,1301661.34,125962.0
PACB11,D1,19/01/2026,10.29,10.38,10.27,10.32,160632.06,15496.0
PACB11,D1,16/01/2026,10.34,11.0,10.28,10.3,145706.3,13887.0
PACB11,D1,15/01/2026,10.45,10.51,10.3,10.32,424670.93,41113.0
PACB11,D1,14/01/2026,10.38,10.55,10.34,10.45,57966.8,5583.0
PACB11,D1,13/01/2026,10.47,10.48,10.4,10.4,105496.55,10124.0
PACB11,D1,12/01/2026,10.24,10.5,10.24,10.47,323375.08,31148.0
PACB11,D1,09/01/2026,10.48,10.48,10.39,10.4,254284.54,24407.0
PACB11,D1,08/01/2026,10.46,10.48,10.41,10.44,92895.88,8886.0
PACB11,D1,07/01/2026,10.41,10.45,10.37,10.42,187608.21,18008.0
PACB11,D1,06/01/2026,10.5,10.5,10.4,10.4,74919.8,7175.0
PACB11,D1,05/01/2026,10.63,10.65,10.46,10.46,252086.67,24006.0
PACB11,D1,02/01/2026,10.5,10.59,10.45,10.52,158510.54,15034.0
PACB11,D1,30/12/2025,10.69,10.69,10.43,10.43,875130.18,83571.0
PACB11,D1,29/12/2025,10.65,10.65,10.4,10.65,590451.22,56269.0
PACB11,D1,26/12/2025,10.39,10.65,10.39,10.4,64669.35,6196.0
PACB11,D1,23/12/2025,10.47,10.48,10.33,10.39,645168.51,62186.0
PACB11,D1,22/12/2025,10.37,10.46,10.35,10.46,187155.95,18014.0
PACB11,D1,19/12/2025,10.23,10.41,10.23,10.37,154156.84,14854.0
PACB11,D1,18/12/2025,10.33,10.4,10.15,10.16,130607.41,12665.0
PACB11,D1,17/12/2025,10.44,10.69,10.36,10.36,229134.14,22004.0
PACB11,D1,16/12/2025,10.54,10.54,10.4,10.44,5737228.33,548169.0
PACB11,D1,15/12/2025,10.52,10.56,10.5,10.53,63404.89,6010.0
PACB11,D1,12/12/2025,10.51,10.6,10.51,10.52,35590.26,3371.0
PACB11,D1,11/12/2025,10.4,10.55,10.37,10.41,124457.18,11892.0
PACB11,D1,10/12/2025,10.6,10.6,10.32,10.39,1347882.62,130013.0
PACB11,D1,09/12/2025,10.41,10.6,10.38,10.6,58893.31,5646.0
PACB11,D1,08/12/2025,10.48,10.53,10.41,10.42,1680367.21,160335.0
PACB11,D1,05/12/2025,10.72,10.72,10.66,10.66,13523.37,1263.0
PACB11,D1,04/12/2025,10.64,10.77,10.61,10.62,1780576.02,167735.0
PACB11,D1,03/12/2025,10.58,10.75,10.58,10.62,1225428.67,115791.0
PACB11,D1,02/12/2025,10.54,10.56,10.51,10.56,1565860.19,148600.0
PACB11,D1,01/12/2025,10.58,10.58,10.5,10.51,290939.63,27610.0
PACB11,D1,28/11/2025,10.58,10.58,10.53,10.54,24813.73,2348.0
PACB11,D1,27/11/2025,10.57,10.59,10.5,10.58,1687623.88,159990.0
PACB11,D1,26/11/2025,10.61,10.7,10.5,10.62,1204203.61,114453.0
PACB11,D1,25/11/2025,10.49,10.55,10.45,10.52,148942.52,14148.0
PACB11,D1,24/11/2025,10.47,10.57,10.41,10.41,1574552.03,150221.0
PACB11,D1,21/11/2025,10.44,10.55,10.35,10.47,1216957.13,116361.0
PACB11,D1,19/11/2025,10.38,10.56,10.38,10.44,6390167.74,610200.0
PACB11,D1,18/11/2025,10.46,10.47,10.35,10.38,72549.93,6931.0
PACB11,D1,17/11/2025,10.47,10.5,10.43,10.46,16025.51,1534.0
PACB11,D1,14/11/2025,10.45,10.58,10.4,10.47,1160165.32,111076.0
PACB11,D1,13/11/2025,10.44,10.67,10.4,10.45,4375819.95,418558.0
PACB11,D1,12/11/2025,10.39,10.45,10.35,10.35,2223223.86,213558.0
PACB11,D1,11/11/2025,10.31,10.39,10.31,10.39,1140802.93,110209.0
PACB11,D1,10/11/2025,10.12,10.4,10.11,10.11,4549472.83,441945.0
PACB11,D1,07/11/2025,10.29,10.35,10.24,10.3,3864216.79,376863.0
PACB11,D1,06/11/2025,10.26,10.35,10.2,10.27,7189029.41,702723.0
PACB11,D1,05/11/2025,10.23,10.28,10.16,10.26,29522457.79,2879515.0
PACB11,D1,04/11/2025,10.15,10.28,10.15,10.24,22326791.87,2181498.0
PACB11,D1,03/11/2025,10.22,10.28,10.11,10.12,17436440.6,1703474.0
PACB11,D1,31/10/2025,10.23,10.28,10.17,10.2,2199180.95,216149.0
PACB11,D1,30/10/2025,10.28,10.28,10.15,10.22,457317.97,45018.0
PACB11,D1,29/10/2025,10.22,10.29,10.2,10.23,1897712.13,185837.0
PACB11,D1,28/10/2025,10.23,10.3,10.21,10.26,3244114.96,317355.0
PACB11,D1,27/10/2025,10.23,10.33,10.23,10.26,758553.23,73478.0
PACB11,D1,24/10/2025,10.18,10.3,10.18,10.27,1472640.0,143942.0
PACB11,D1,23/10/2025,10.17,10.25,10.13,10.2,65324.34,6380.0
PACB11,D1,22/10/2025,10.16,10.16,10.05,10.15,102802.25,10183.0
PACB11,D1,21/10/2025,9.97,10.15,9.97,10.09,52131.14,5165.0
PACB11,D1,20/10/2025,10.0,10.06,9.99,10.04,49982.79,4996.0
PACB11,D1,17/10/2025,9.9,9.99,9.9,9.96,90506.0,9069.0
PACB11,D1,16/10/2025,10.06,10.07,9.9,10.03,303432.4,30499.0
PACB11,D1,15/10/2025,10.01,10.06,9.99,10.06,22882.83,2280.0
PACB11,D1,14/10/2025,10.1,10.1,9.99,9.99,41534.95,4148.0
PACB11,D1,13/10/2025,10.07,10.08,10.0,10.03,521430.1,51988.0
PACB11,D1,10/10/2025,10.08,10.11,10.02,10.02,172244.97,17121.0
PACB11,D1,09/10/2025,10.07,10.11,10.05,10.05,75515.34,7476.0
PACB11,D1,08/10/2025,10.02,10.09,10.01,10.06,31370.62,3125.0
PACB11,D1,07/10/2025,10.0,10.12,10.0,10.08,1866729.15,185187.0
PACB11,D1,06/10/2025,10.12,10.12,10.0,10.11,375733.36,37349.0
PACB11,D1,03/10/2025,10.07,10.11,10.03,10.1,7685.55,764.0
PACB11,D1,02/10/2025,10.14,10.14,10.06,10.08,536552.33,53191.0
PACB11,D1,01/10/2025,10.1,10.16,10.09,10.13,32773.37,3236.0
PACB11,D1,30/09/2025,10.12,10.16,10.09,10.12,174240.04,17202.0
PACB11,D1,29/09/2025,10.13,10.2,10.11,10.12,40333.34,3983.0
PACB11,D1,26/09/2025,10.15,10.2,10.11,10.16,21756.29,2137.0
PACB11,D1,25/09/2025,10.18,10.18,10.08,10.14,3041248.5,301406.0
PACB11,D1,24/09/2025,10.2,10.2,10.1,10.14,112160.05,11043.0
PACB11,D1,23/09/2025,10.0,10.17,10.0,10.17,5530440.37,543809.0
PACB11,D1,22/09/2025,10.12,10.12,10.02,10.08,43367.45,4301.0
PACB11,D1,19/09/2025,10.19,10.19,10.11,10.12,73931.67,7265.0
PACB11,D1,18/09/2025,10.24,10.24,9.99,10.19,91771.38,9057.0
PACB11,D1,17/09/2025,10.18,10.24,10.18,10.2,119038.71,11665.0
PACB11,D1,16/09/2025,10.15,10.21,10.09,10.18,28623.49,2821.0
PACB11,D1,15/09/2025,10.06,10.15,10.05,10.1,71939.31,7096.0
