symbol,timeframe,date,open,high,low,close,volume,quantity
SYNE3F,D1,09/06/2026,3.55,3.63,3.51,3.63,20218.99,5657.0
SYNE3F,D1,08/06/2026,3.56,3.57,3.45,3.53,26555.82,7564.0
SYNE3F,D1,05/06/2026,3.51,3.62,3.45,3.59,20907.13,5912.0
SYNE3F,D1,03/06/2026,3.64,3.64,3.46,3.5,40360.04,11459.0
SYNE3F,D1,02/06/2026,3.76,3.77,3.6,3.6,28821.75,7877.0
SYNE3F,D1,01/06/2026,3.81,3.82,3.69,3.7,28058.49,7514.0
SYNE3F,D1,29/05/2026,3.77,3.82,3.69,3.77,27536.21,7358.0
SYNE3F,D1,28/05/2026,3.77,3.83,3.71,3.76,14973.11,3974.0
SYNE3F,D1,27/05/2026,3.84,3.88,3.72,3.73,25335.95,6698.0
SYNE3F,D1,26/05/2026,3.85,3.87,3.78,3.82,17644.88,4632.0
SYNE3F,D1,25/05/2026,3.84,3.88,3.81,3.81,18227.46,4749.0
SYNE3F,D1,22/05/2026,3.78,3.84,3.73,3.83,16119.31,4259.0
SYNE3F,D1,21/05/2026,3.75,3.83,3.68,3.79,22419.74,5982.0
SYNE3F,D1,20/05/2026,3.6,3.78,3.59,3.78,25306.84,6862.0
SYNE3F,D1,19/05/2026,3.66,3.66,3.57,3.64,20528.05,5668.0
SYNE3F,D1,18/05/2026,3.68,3.69,3.6,3.63,30166.64,8306.0
SYNE3F,D1,15/05/2026,3.68,3.73,3.6,3.64,34788.79,9501.0
SYNE3F,D1,14/05/2026,3.62,3.73,3.61,3.67,25171.48,6837.0
SYNE3F,D1,13/05/2026,3.65,3.7,3.57,3.58,33287.28,9157.0
SYNE3F,D1,12/05/2026,3.8,3.81,3.64,3.64,46751.55,12644.0
SYNE3F,D1,11/05/2026,3.94,3.95,3.74,3.79,58731.88,15378.0
SYNE3F,D1,08/05/2026,3.95,3.98,3.88,3.94,33007.69,8402.0
SYNE3F,D1,07/05/2026,4.07,4.1,3.91,3.95,31104.31,7860.0
SYNE3F,D1,06/05/2026,3.88,4.02,3.88,4.02,26382.96,6635.0
SYNE3F,D1,05/05/2026,3.97,3.99,3.88,3.88,29998.55,7638.0
SYNE3F,D1,04/05/2026,4.0,4.04,3.89,3.94,43781.7,11079.0
SYNE3F,D1,30/04/2026,3.89,4.0,3.89,4.0,31020.98,7828.0
SYNE3F,D1,29/04/2026,3.95,3.99,3.88,3.93,32174.88,8202.0
SYNE3F,D1,28/04/2026,3.97,3.99,3.89,3.93,38696.37,9836.0
SYNE3F,D1,27/04/2026,4.05,4.05,3.94,3.97,46713.62,11730.0
SYNE3F,D1,24/04/2026,4.09,4.09,3.99,4.02,34712.14,8635.0
SYNE3F,D1,23/04/2026,4.14,4.14,4.01,4.04,37587.28,9253.0
SYNE3F,D1,22/04/2026,4.2,4.25,4.1,4.16,35477.95,8515.0
SYNE3F,D1,20/04/2026,4.27,4.27,4.17,4.25,33471.26,7961.0
SYNE3F,D1,17/04/2026,4.24,4.28,4.21,4.25,23833.99,5622.0
SYNE3F,D1,16/04/2026,4.18,4.24,4.17,4.2,29219.35,6957.0
SYNE3F,D1,15/04/2026,4.26,4.28,4.19,4.23,33290.27,7872.0
SYNE3F,D1,14/04/2026,4.13,4.25,4.13,4.21,31551.06,7517.0
SYNE3F,D1,13/04/2026,4.07,4.18,4.0,4.11,46684.08,11477.0
SYNE3F,D1,10/04/2026,4.16,4.16,4.06,4.08,47544.53,11588.0
SYNE3F,D1,09/04/2026,4.23,4.23,4.09,4.19,40043.41,9670.0
SYNE3F,D1,08/04/2026,4.1,4.28,4.1,4.18,32471.17,7696.0
SYNE3F,D1,07/04/2026,4.21,4.21,4.01,4.1,39926.4,9796.0
SYNE3F,D1,06/04/2026,4.1,4.26,4.06,4.17,46115.09,11077.0
SYNE3F,D1,02/04/2026,4.06,4.12,3.98,4.11,37374.68,9232.0
