symbol,timeframe,date,open,high,low,close,volume,quantity
TIRB11,D1,09/06/2026,13.44,13.47,13.32,13.42,37865.25,2824.0
TIRB11,D1,08/06/2026,13.47,13.47,13.23,13.3,55288.98,4152.0
TIRB11,D1,05/06/2026,13.5,13.5,13.3,13.35,68263.18,5116.0
TIRB11,D1,03/06/2026,13.37,13.51,13.25,13.5,34686.36,2605.0
TIRB11,D1,02/06/2026,13.48,13.54,13.37,13.51,11436.0,850.0
TIRB11,D1,01/06/2026,13.58,13.58,13.27,13.29,24982.02,1876.0
TIRB11,D1,29/05/2026,13.64,13.64,13.27,13.49,233728.74,17417.0
TIRB11,D1,28/05/2026,13.51,13.68,13.46,13.5,31746.1,2336.0
TIRB11,D1,27/05/2026,13.75,13.77,13.49,13.52,34880.16,2563.0
TIRB11,D1,26/05/2026,13.72,13.72,13.5,13.62,38762.08,2855.0
TIRB11,D1,25/05/2026,13.68,13.74,13.63,13.71,18907.33,1386.0
TIRB11,D1,22/05/2026,13.7,13.7,13.5,13.57,39376.5,2907.0
TIRB11,D1,21/05/2026,13.78,13.78,13.54,13.69,166972.55,12250.0
TIRB11,D1,20/05/2026,13.7,13.91,13.68,13.8,11765.86,852.0
TIRB11,D1,19/05/2026,13.51,13.62,13.4,13.51,33865.63,2504.0
TIRB11,D1,18/05/2026,13.62,13.78,13.56,13.71,186833.8,13648.0
TIRB11,D1,15/05/2026,13.61,13.7,13.45,13.66,234481.15,17179.0
TIRB11,D1,14/05/2026,13.77,13.9,13.77,13.79,104858.18,7587.0
TIRB11,D1,13/05/2026,14.13,14.13,13.69,13.71,127051.16,9167.0
TIRB11,D1,12/05/2026,14.3,14.33,14.08,14.14,25964.49,1830.0
TIRB11,D1,11/05/2026,14.56,14.68,14.26,14.31,111531.01,7761.0
TIRB11,D1,08/05/2026,14.6,14.85,14.56,14.56,1405788.81,95919.0
TIRB11,D1,07/05/2026,14.87,14.89,14.4,14.43,100083.79,6903.0
TIRB11,D1,06/05/2026,14.85,14.88,14.72,14.84,94630.49,6376.0
TIRB11,D1,05/05/2026,14.7,14.88,14.6,14.7,506838.56,34436.0
TIRB11,D1,04/05/2026,14.83,14.85,14.64,14.67,42804.62,2910.0
TIRB11,D1,30/04/2026,14.6,14.8,14.6,14.76,31246.66,2117.0
TIRB11,D1,29/04/2026,14.93,14.93,14.32,14.5,41173.3,2825.0
TIRB11,D1,28/04/2026,14.88,14.94,14.6,14.82,131040.34,8869.0
TIRB11,D1,27/04/2026,15.19,15.21,14.95,14.96,141625.45,9395.0
TIRB11,D1,24/04/2026,15.4,15.4,15.17,15.19,139890.83,9198.0
TIRB11,D1,23/04/2026,15.51,15.6,15.23,15.29,76375.29,4968.0
