symbol,timeframe,date,open,high,low,close,volume,quantity
VCJR11,D1,09/06/2026,76.8,77.18,76.1,76.43,2434191.57,31772.0
VCJR11,D1,08/06/2026,76.95,76.95,76.0,76.0,1765306.6,23126.0
VCJR11,D1,05/06/2026,76.51,77.26,76.51,76.95,888210.92,11536.0
VCJR11,D1,03/06/2026,77.44,77.44,76.4,76.8,1978829.64,25755.0
VCJR11,D1,02/06/2026,77.44,77.44,77.01,77.25,1311298.83,16982.0
VCJR11,D1,01/06/2026,77.45,78.54,76.38,77.15,2433696.12,31648.0
VCJR11,D1,29/05/2026,77.65,77.93,77.29,77.48,1620697.87,20895.0
VCJR11,D1,28/05/2026,77.98,77.98,77.07,77.66,1461020.81,18879.0
VCJR11,D1,27/05/2026,77.6,78.09,77.21,77.66,1675216.11,21606.0
VCJR11,D1,26/05/2026,77.98,78.02,77.48,77.84,1374191.67,17672.0
VCJR11,D1,25/05/2026,77.69,78.21,77.35,78.07,2818220.48,36151.0
VCJR11,D1,22/05/2026,76.43,77.7,76.15,77.49,2867233.46,37335.0
VCJR11,D1,21/05/2026,76.44,76.44,76.01,76.43,2006412.04,26339.0
VCJR11,D1,20/05/2026,75.21,76.41,74.54,76.32,2329819.29,30643.0
VCJR11,D1,19/05/2026,76.18,76.18,74.54,75.23,4572243.35,60836.0
VCJR11,D1,18/05/2026,76.57,77.18,75.23,75.44,4927920.14,64975.0
VCJR11,D1,15/05/2026,77.19,77.59,76.13,76.64,3261629.21,42653.0
VCJR11,D1,14/05/2026,76.65,77.2,76.45,77.2,2956997.21,38522.0
VCJR11,D1,13/05/2026,77.0,77.48,76.41,76.42,1854111.28,24090.0
VCJR11,D1,12/05/2026,77.17,77.6,76.51,77.0,2392619.12,31143.0
VCJR11,D1,11/05/2026,77.8,77.9,76.76,77.23,2581809.93,33403.0
VCJR11,D1,08/05/2026,77.9,78.36,77.56,77.75,2032624.43,26119.0
VCJR11,D1,07/05/2026,77.89,78.48,77.76,77.82,1575636.72,20172.0
VCJR11,D1,06/05/2026,77.0,77.93,76.52,77.89,2643414.69,34119.0
VCJR11,D1,05/05/2026,77.54,78.05,75.94,76.51,3654697.75,47557.0
VCJR11,D1,04/05/2026,78.77,79.21,77.52,77.54,4106907.38,52634.0
VCJR11,D1,30/04/2026,79.15,79.17,78.65,78.77,2519833.62,31927.0
VCJR11,D1,29/04/2026,78.98,79.28,78.4,79.13,3733777.79,47388.0
VCJR11,D1,28/04/2026,79.35,79.6,78.73,79.14,3335372.56,42128.0
VCJR11,D1,27/04/2026,78.98,79.44,78.83,79.21,3277533.71,41372.0
VCJR11,D1,24/04/2026,78.81,79.2,78.11,79.16,2564837.38,32621.0
VCJR11,D1,23/04/2026,79.12,79.34,78.19,78.81,3111423.89,39596.0
VCJR11,D1,22/04/2026,78.39,79.47,77.88,79.19,4731527.92,59927.0
VCJR11,D1,20/04/2026,77.95,78.39,77.69,78.39,1646123.05,21070.0
VCJR11,D1,17/04/2026,77.91,78.24,77.66,77.91,3067793.18,39371.0
VCJR11,D1,16/04/2026,77.22,77.79,77.21,77.79,2756424.83,35630.0
VCJR11,D1,15/04/2026,77.21,77.71,76.89,77.48,2293716.48,29634.0
VCJR11,D1,14/04/2026,77.39,77.71,76.82,76.83,2858931.95,37073.0
VCJR11,D1,13/04/2026,76.93,77.27,76.72,77.19,1346642.5,17485.0
VCJR11,D1,10/04/2026,75.86,76.92,75.86,76.92,2478908.36,32411.0
VCJR11,D1,09/04/2026,75.84,75.85,75.38,75.85,2316187.41,30627.0
VCJR11,D1,08/04/2026,75.83,76.2,75.3,75.73,2273105.49,30062.0
VCJR11,D1,07/04/2026,75.81,75.95,75.23,75.86,2112508.06,27986.0
VCJR11,D1,06/04/2026,75.96,75.96,75.1,75.6,4528786.2,59986.0
VCJR11,D1,02/04/2026,76.24,76.43,75.81,76.16,2006338.48,26409.0
VCJR11,D1,01/04/2026,76.48,76.56,75.94,76.32,1526813.51,20034.0
VCJR11,D1,31/03/2026,76.71,76.95,75.82,76.14,3062331.02,40168.0
VCJR11,D1,30/03/2026,77.32,77.9,76.24,76.49,4588511.08,59835.0
VCJR11,D1,27/03/2026,77.12,78.12,76.94,77.6,1506033.34,19411.0
VCJR11,D1,26/03/2026,77.32,77.52,77.12,77.4,943746.19,12206.0
VCJR11,D1,25/03/2026,76.78,77.79,76.41,77.32,3453415.3,44874.0
VCJR11,D1,24/03/2026,77.12,77.57,76.26,76.76,1886877.52,24607.0
VCJR11,D1,23/03/2026,78.35,78.35,76.9,77.12,1609232.47,20701.0
VCJR11,D1,20/03/2026,77.11,78.41,77.11,77.64,3551510.17,45539.0
VCJR11,D1,19/03/2026,77.32,77.32,76.69,77.11,1107496.22,14387.0
VCJR11,D1,18/03/2026,77.53,77.53,76.62,76.99,2433810.92,31641.0
VCJR11,D1,17/03/2026,77.45,78.07,76.89,77.54,2980867.24,38599.0
VCJR11,D1,16/03/2026,77.69,77.86,77.51,77.55,995243.16,12819.0
VCJR11,D1,13/03/2026,76.29,77.86,76.15,77.69,2820497.28,36442.0
VCJR11,D1,12/03/2026,76.54,77.22,75.75,76.29,1740763.89,22775.0
VCJR11,D1,11/03/2026,77.09,77.31,76.34,76.58,1147985.85,14941.0
VCJR11,D1,10/03/2026,76.71,77.31,76.31,76.92,1993466.11,25926.0
VCJR11,D1,09/03/2026,76.44,76.72,75.84,76.71,1787433.0,23407.0
VCJR11,D1,06/03/2026,77.03,77.67,76.42,76.54,2654657.3,34592.0
VCJR11,D1,05/03/2026,76.84,77.27,76.5,77.03,2002134.9,26014.0
VCJR11,D1,04/03/2026,76.15,76.97,75.64,76.6,2115840.41,27649.0
VCJR11,D1,03/03/2026,76.72,76.72,75.51,75.57,1812419.98,23909.0
VCJR11,D1,02/03/2026,76.82,76.82,75.78,76.58,4863024.13,63661.0
VCJR11,D1,27/02/2026,77.87,78.52,77.58,77.95,1891376.61,24207.0
VCJR11,D1,26/02/2026,77.97,77.97,77.3,77.96,2707166.67,34880.0
VCJR11,D1,25/02/2026,78.45,78.57,76.84,77.97,3882546.85,49973.0
VCJR11,D1,24/02/2026,78.15,78.45,77.31,78.33,2255976.84,28893.0
VCJR11,D1,23/02/2026,78.06,78.08,77.24,77.96,1060079.94,13643.0
VCJR11,D1,20/02/2026,76.78,77.82,76.78,77.76,3624346.51,46754.0
VCJR11,D1,19/02/2026,77.83,77.83,76.66,77.39,4799383.91,62178.0
VCJR11,D1,18/02/2026,77.45,77.92,77.12,77.75,1589657.28,20503.0
VCJR11,D1,13/02/2026,77.91,77.97,76.82,77.47,2365806.84,30586.0
VCJR11,D1,12/02/2026,78.15,78.2,76.58,77.88,1437293.99,18665.0
VCJR11,D1,11/02/2026,79.01,79.51,77.11,77.38,2818824.2,36265.0
VCJR11,D1,10/02/2026,79.31,79.32,78.36,79.01,2201160.66,27929.0
VCJR11,D1,09/02/2026,79.3,79.54,78.32,79.1,2297434.53,29169.0
VCJR11,D1,06/02/2026,79.4,79.51,78.96,79.3,2518513.6,31785.0
VCJR11,D1,05/02/2026,77.9,79.37,77.78,79.36,2746130.1,34883.0
VCJR11,D1,04/02/2026,77.81,78.05,76.9,77.9,2639886.55,34043.0
VCJR11,D1,03/02/2026,76.3,77.88,76.3,77.81,2853827.94,37037.0
VCJR11,D1,02/02/2026,76.35,76.8,76.01,76.3,1642578.29,21504.0
VCJR11,D1,30/01/2026,76.5,76.61,75.76,76.35,2366139.6,31080.0
VCJR11,D1,29/01/2026,76.51,76.51,75.76,76.17,1900015.05,25020.0
VCJR11,D1,28/01/2026,76.3,76.93,76.07,76.51,1938082.94,25352.0
VCJR11,D1,27/01/2026,76.23,77.24,75.71,76.3,2888650.62,37823.0
VCJR11,D1,26/01/2026,75.83,76.91,75.68,76.23,1632329.51,21349.0
VCJR11,D1,23/01/2026,75.47,76.11,75.36,75.83,2029528.55,26799.0
VCJR11,D1,22/01/2026,74.99,75.47,74.99,75.3,1437101.63,19096.0
VCJR11,D1,21/01/2026,75.09,75.79,75.03,75.04,2307247.61,30612.0
VCJR11,D1,20/01/2026,75.44,75.65,74.93,75.47,2254414.53,29918.0
VCJR11,D1,19/01/2026,75.09,75.58,74.85,75.44,1346989.26,17939.0
VCJR11,D1,16/01/2026,74.36,75.2,74.36,75.09,2048782.36,27339.0
VCJR11,D1,15/01/2026,74.49,74.85,74.31,74.34,1658807.74,22254.0
VCJR11,D1,14/01/2026,74.66,74.91,74.32,74.45,1454550.57,19491.0
VCJR11,D1,13/01/2026,74.55,74.95,74.14,74.66,2030386.22,27253.0
VCJR11,D1,12/01/2026,75.22,75.22,74.31,74.54,2777945.65,37248.0
VCJR11,D1,09/01/2026,75.88,75.96,74.3,75.23,3681348.02,49141.0
VCJR11,D1,08/01/2026,75.8,76.11,75.34,75.82,1374201.42,18167.0
