symbol,timeframe,date,open,high,low,close,volume,quantity
XBIT11,D1,09/06/2026,32.02,32.02,30.72,31.28,538486.92,17374.0
XBIT11,D1,08/06/2026,30.17,32.26,30.17,32.02,234495.33,7328.0
XBIT11,D1,05/06/2026,31.52,31.52,29.7,30.17,338391.24,11228.0
XBIT11,D1,03/06/2026,32.72,32.83,32.21,32.21,26774.44,829.0
XBIT11,D1,02/06/2026,32.74,32.74,32.74,32.74,60732.7,1855.0
XBIT11,D1,01/06/2026,36.1,36.1,34.76,34.76,747271.81,21495.0
XBIT11,D1,29/05/2026,35.96,36.21,35.95,36.08,174970.5,4851.0
XBIT11,D1,28/05/2026,36.42,36.42,35.69,35.93,371231.24,10351.0
XBIT11,D1,27/05/2026,37.16,37.16,36.93,36.93,26331.35,713.0
XBIT11,D1,26/05/2026,38.05,38.05,37.16,37.16,13738.45,365.0
XBIT11,D1,25/05/2026,37.11,37.78,36.98,37.78,7853.93,210.0
XBIT11,D1,22/05/2026,37.11,37.11,37.11,37.11,7718.88,208.0
XBIT11,D1,21/05/2026,37.58,37.81,37.55,37.81,15994.75,425.0
XBIT11,D1,20/05/2026,37.88,37.89,37.67,37.81,126874.02,3352.0
XBIT11,D1,19/05/2026,37.56,37.69,37.41,37.69,17990.94,479.0
XBIT11,D1,18/05/2026,39.01,39.01,37.22,37.4,488.58,13.0
XBIT11,D1,15/05/2026,39.08,39.09,39.01,39.01,91136.58,2336.0
XBIT11,D1,14/05/2026,39.61,39.61,39.58,39.58,5541318.83,140003.0
XBIT11,D1,13/05/2026,38.08,38.76,37.77,38.76,334224.28,8623.0
XBIT11,D1,12/05/2026,38.22,38.57,38.15,38.57,8202902.05,212676.0
XBIT11,D1,11/05/2026,38.65,39.09,38.42,39.09,13470.53,347.0
XBIT11,D1,08/05/2026,38.08,38.25,38.08,38.25,12848.06,336.0
XBIT11,D1,07/05/2026,39.07,39.07,37.78,38.39,27273.59,712.0
XBIT11,D1,06/05/2026,39.08,39.17,38.92,39.07,5980.51,153.0
XBIT11,D1,05/05/2026,39.67,39.67,38.35,39.08,43507.84,1112.0
XBIT11,D1,04/05/2026,40.27,40.27,38.56,38.73,52929.64,1363.0
XBIT11,D1,30/04/2026,37.01,37.63,36.37,36.37,226031.85,6132.0
XBIT11,D1,29/04/2026,38.18,38.18,36.74,36.74,39626.52,1078.0
XBIT11,D1,28/04/2026,37.06,37.07,36.94,37.07,41660.59,1124.0
XBIT11,D1,27/04/2026,37.3,37.3,37.3,37.3,39090.4,1048.0
XBIT11,D1,24/04/2026,37.88,37.88,37.84,37.84,15439.64,408.0
XBIT11,D1,23/04/2026,38.15,38.15,37.41,37.88,42008.55,1109.0
XBIT11,D1,22/04/2026,37.0,38.27,37.0,38.27,34166.57,893.0
XBIT11,D1,20/04/2026,37.66,37.66,36.56,37.0,41604.44,1125.0
XBIT11,D1,17/04/2026,37.27,37.68,37.24,37.66,23475.04,624.0
XBIT11,D1,16/04/2026,36.54,36.65,35.83,36.65,40400.1,1103.0
