time,open,high,low,close,volume
2015-06-19 00:00:00+00:00,1.22206,1.22317,1.22144,1.22169,9146
2015-06-19 04:00:00+00:00,1.2217,1.22345,1.22152,1.22318,10979
2015-06-19 08:00:00+00:00,1.22318,1.22412,1.22148,1.22188,29967
2015-06-19 12:00:00+00:00,1.22188,1.22907,1.22161,1.22863,33125
2015-06-19 16:00:00+00:00,1.22863,1.22955,1.22452,1.22798,32037
2015-06-19 20:00:00+00:00,1.228,1.22809,1.22506,1.22692,17263
2015-06-22 00:00:00+00:00,1.22589,1.2277,1.22518,1.22707,9080
2015-06-22 04:00:00+00:00,1.22708,1.2271,1.22466,1.22544,9666
2015-06-22 08:00:00+00:00,1.22543,1.22727,1.2242,1.226,27061
2015-06-22 12:00:00+00:00,1.22599,1.22641,1.22178,1.22424,32611
2015-06-22 16:00:00+00:00,1.22424,1.23282,1.22345,1.23117,41812
2015-06-22 20:00:00+00:00,1.23115,1.23286,1.23058,1.23072,19815
2015-06-23 00:00:00+00:00,1.23075,1.23234,1.2307,1.23226,8200
2015-06-23 04:00:00+00:00,1.23227,1.23441,1.23185,1.23396,17609
2015-06-23 08:00:00+00:00,1.23396,1.2348,1.23229,1.23349,34118
2015-06-23 12:00:00+00:00,1.23349,1.23494,1.2314,1.23455,36718
2015-06-23 16:00:00+00:00,1.23455,1.23826,1.23147,1.23331,40868
2015-06-23 20:00:00+00:00,1.2333,1.23458,1.23247,1.23247,20190
2015-06-24 00:00:00+00:00,1.23249,1.23349,1.23169,1.23257,10023
2015-06-24 04:00:00+00:00,1.23257,1.2341,1.23172,1.23376,12420
2015-06-24 08:00:00+00:00,1.23375,1.23383,1.22763,1.22881,33159
2015-06-24 12:00:00+00:00,1.22881,1.2337,1.22855,1.23354,35876
2015-06-24 16:00:00+00:00,1.23352,1.24225,1.23346,1.23906,41647
2015-06-24 20:00:00+00:00,1.23907,1.23997,1.238,1.23813,19817
2015-06-25 00:00:00+00:00,1.23824,1.2391,1.23812,1.23867,9417
2015-06-25 04:00:00+00:00,1.23866,1.2395,1.23701,1.23755,11966
2015-06-25 08:00:00+00:00,1.23755,1.23994,1.23751,1.2383,27428
2015-06-25 12:00:00+00:00,1.23831,1.23954,1.23717,1.2378,37632
2015-06-25 16:00:00+00:00,1.23781,1.23784,1.23305,1.23462,34018
2015-06-25 20:00:00+00:00,1.23461,1.23496,1.23117,1.23254,16958
2015-06-26 00:00:00+00:00,1.2325,1.23407,1.23214,1.23375,10246
2015-06-26 04:00:00+00:00,1.23376,1.23472,1.23341,1.23403,13101
2015-06-26 08:00:00+00:00,1.23403,1.23621,1.23354,1.235,21851
2015-06-26 12:00:00+00:00,1.235,1.23699,1.23322,1.23681,29112
2015-06-26 16:00:00+00:00,1.2368,1.23971,1.23361,1.23392,37540
2015-06-26 20:00:00+00:00,1.23394,1.23437,1.23111,1.23133,16537
2015-06-29 00:00:00+00:00,1.23346,1.23575,1.23212,1.23415,25647
2015-06-29 04:00:00+00:00,1.23414,1.23478,1.23278,1.23338,14404
2015-06-29 08:00:00+00:00,1.23337,1.23396,1.23037,1.23282,44289
2015-06-29 12:00:00+00:00,1.23281,1.23799,1.23215,1.23574,36737
2015-06-29 16:00:00+00:00,1.23575,1.24122,1.23551,1.23903,41385
2015-06-29 20:00:00+00:00,1.23903,1.24034,1.23641,1.24022,25221
2015-06-30 00:00:00+00:00,1.24019,1.24192,1.23931,1.24168,9654
2015-06-30 04:00:00+00:00,1.24169,1.24236,1.23953,1.23962,13753
2015-06-30 08:00:00+00:00,1.23962,1.24136,1.23848,1.23973,31193
2015-06-30 12:00:00+00:00,1.23972,1.24287,1.23626,1.24211,39839
2015-06-30 16:00:00+00:00,1.2421,1.24997,1.24146,1.24813,48802
2015-06-30 20:00:00+00:00,1.24825,1.25,1.24766,1.24914,22060
2015-07-01 00:00:00+00:00,1.24915,1.24915,1.24735,1.24883,11409
2015-07-01 04:00:00+00:00,1.24882,1.25032,1.24839,1.24999,12209
2015-07-01 08:00:00+00:00,1.25,1.25106,1.24939,1.24976,26711
2015-07-01 12:00:00+00:00,1.24974,1.25453,1.24869,1.25394,33911
2015-07-01 16:00:00+00:00,1.25395,1.25703,1.25294,1.25632,37436
2015-07-01 20:00:00+00:00,1.25632,1.25974,1.25628,1.25882,21064
2015-07-02 00:00:00+00:00,1.25883,1.25969,1.25762,1.25909,10565
2015-07-02 04:00:00+00:00,1.25911,1.25931,1.25796,1.25844,12830
2015-07-02 08:00:00+00:00,1.25844,1.26219,1.25834,1.26203,28845
2015-07-02 12:00:00+00:00,1.26204,1.26329,1.25578,1.25739,26034
2015-07-02 16:00:00+00:00,1.25741,1.25892,1.2545,1.25467,27223
2015-07-02 20:00:00+00:00,1.25467,1.25659,1.25377,1.25379,11024
2015-07-03 00:00:00+00:00,1.25367,1.25489,1.25364,1.25429,4806
2015-07-03 04:00:00+00:00,1.2543,1.25638,1.2541,1.25544,7406
2015-07-03 08:00:00+00:00,1.25542,1.25674,1.2547,1.25594,16920
2015-07-03 12:00:00+00:00,1.25594,1.25998,1.25495,1.25836,18464
2015-07-03 16:00:00+00:00,1.25837,1.26021,1.25602,1.25784,18022
2015-07-03 20:00:00+00:00,1.25785,1.25801,1.25474,1.25699,7058
2015-07-06 00:00:00+00:00,1.25972,1.26141,1.2585,1.26015,9829
2015-07-06 04:00:00+00:00,1.26015,1.26145,1.25946,1.26107,8987
2015-07-06 08:00:00+00:00,1.26107,1.26155,1.25625,1.25917,20723
2015-07-06 12:00:00+00:00,1.25917,1.26459,1.25908,1.26396,23946
2015-07-06 16:00:00+00:00,1.26397,1.26609,1.26118,1.26245,31251
2015-07-06 20:00:00+00:00,1.26242,1.26636,1.26234,1.26501,13841
2015-07-07 00:00:00+00:00,1.26501,1.26641,1.26429,1.26598,6398
2015-07-07 04:00:00+00:00,1.26595,1.26674,1.26515,1.26563,7368
2015-07-07 08:00:00+00:00,1.26563,1.27073,1.26531,1.26939,21310
2015-07-07 12:00:00+00:00,1.26938,1.27575,1.26868,1.27296,28797
2015-07-07 16:00:00+00:00,1.27297,1.27794,1.27288,1.27518,40828
2015-07-07 20:00:00+00:00,1.27518,1.27537,1.26751,1.27038,21150
2015-07-08 00:00:00+00:00,1.27033,1.27262,1.27021,1.27256,8786
2015-07-08 04:00:00+00:00,1.27258,1.27515,1.27155,1.27231,12762
2015-07-08 08:00:00+00:00,1.27228,1.27591,1.27163,1.27258,22589
2015-07-08 12:00:00+00:00,1.27258,1.27677,1.26883,1.27571,27509
2015-07-08 16:00:00+00:00,1.2757,1.27598,1.27027,1.275,38408
2015-07-08 20:00:00+00:00,1.27501,1.27581,1.27274,1.27454,16157
2015-07-09 00:00:00+00:00,1.2745,1.2745,1.27295,1.27342,8452
2015-07-09 04:00:00+00:00,1.27342,1.27344,1.27088,1.27136,9551
2015-07-09 08:00:00+00:00,1.27136,1.27426,1.26895,1.27242,21939
2015-07-09 12:00:00+00:00,1.27234,1.27317,1.26651,1.26862,24614
2015-07-09 16:00:00+00:00,1.26859,1.27431,1.26848,1.27209,33282
2015-07-09 20:00:00+00:00,1.2721,1.27349,1.26893,1.27066,14216
2015-07-10 00:00:00+00:00,1.27049,1.27131,1.26992,1.27076,7441
2015-07-10 04:00:00+00:00,1.27077,1.27094,1.26811,1.26829,9785
2015-07-10 08:00:00+00:00,1.26829,1.27244,1.26739,1.27168,21510
2015-07-10 12:00:00+00:00,1.27167,1.272,1.26625,1.26917,29242
2015-07-10 16:00:00+00:00,1.26915,1.27529,1.2675,1.27173,32887
2015-07-10 20:00:00+00:00,1.27173,1.27302,1.26687,1.26713,13034
2015-07-13 00:00:00+00:00,1.26997,1.2701,1.26864,1.26957,5860
2015-07-13 04:00:00+00:00,1.26957,1.27146,1.2679,1.27025,11242
2015-07-13 08:00:00+00:00,1.27025,1.27449,1.26826,1.27344,25821
2015-07-13 12:00:00+00:00,1.27344,1.27348,1.26957,1.27319,27641
2015-07-13 16:00:00+00:00,1.27318,1.27899,1.27318,1.27429,30225
2015-07-13 20:00:00+00:00,1.27429,1.27633,1.27258,1.27406,12209
2015-07-14 00:00:00+00:00,1.27407,1.27632,1.27327,1.27538,9977
2015-07-14 04:00:00+00:00,1.27537,1.27597,1.2733,1.27469,9959
