"name","path","modified","hit"
"mind_p2234_p2235_test_log.txt","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_p2234_p2235_test_log.txt","18/06/2026 12:58:23","COMMON"
"mt5_order.txt","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mt5_order.txt","20/06/2026 21:02:32","PAPER_ONLY"
"20260609.log","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\logs\20260609.log","09/06/2026 19:55:40","Mind"
"20260610.log","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\logs\20260610.log","10/06/2026 22:27:14","Mind"
"20260611.log","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\logs\20260611.log","11/06/2026 20:59:30","Mind"
"20260612.log","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\logs\20260612.log","12/06/2026 19:04:22","order"
"20260613.log","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\logs\20260613.log","13/06/2026 23:24:19","order"
"20260614.log","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\logs\20260614.log","14/06/2026 16:53:49","order"
"20260615.log","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\logs\20260615.log","15/06/2026 23:44:06","Mind"
"20260617.log","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\logs\20260617.log","17/06/2026 22:36:46","Mind"
"20260618.log","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\logs\20260618.log","18/06/2026 14:48:07","MIND"
"20260619.log","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\logs\20260619.log","19/06/2026 20:32:44","Mind"
"metaeditor.log","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\logs\metaeditor.log","19/06/2026 20:25:40","Mind"
"MIND_FileBridge.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\MIND_FileBridge.mq5","18/06/2026 14:44:32","MIND"
"ExpertMACD.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Advisors\ExpertMACD.mq5","09/06/2026 17:01:34","Symbol"
"ExpertMAMA.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Advisors\ExpertMAMA.mq5","09/06/2026 17:01:34","Symbol"
"ExpertMAPSAR.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Advisors\ExpertMAPSAR.mq5","09/06/2026 17:01:34","Symbol"
"ExpertMAPSARSizeOptimized.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Advisors\ExpertMAPSARSizeOptimized.mq5","09/06/2026 17:01:34","Symbol"
"ChartInChart.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Examples\ChartInChart\ChartInChart.mq5","09/06/2026 17:01:34","symbol"
"ControlsDialog.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Examples\Controls\ControlsDialog.mqh","09/06/2026 17:01:34","order"
"Correlation Matrix 3D.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Examples\Correlation Matrix 3D\Correlation Matrix 3D.mq5","09/06/2026 17:01:34","Symbol"
"MACD Sample.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Examples\MACD\MACD Sample.mq5","09/06/2026 17:01:34","Symbol"
"Moving Average.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Examples\Moving Average\Moving Average.mq5","09/06/2026 17:01:34","Symbol"
"BlackCrows WhiteSoldiers CCI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BlackCrows WhiteSoldiers CCI.mq5","09/06/2026 17:01:34","Symbol"
"BlackCrows WhiteSoldiers MFI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BlackCrows WhiteSoldiers MFI.mq5","09/06/2026 17:01:34","Symbol"
"BlackCrows WhiteSoldiers RSI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BlackCrows WhiteSoldiers RSI.mq5","09/06/2026 17:01:34","Symbol"
"BlackCrows WhiteSoldiers Stoch.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BlackCrows WhiteSoldiers Stoch.mq5","09/06/2026 17:01:34","Symbol"
"BullishBearish Engulfing CCI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish Engulfing CCI.mq5","09/06/2026 17:01:34","Symbol"
"BullishBearish Engulfing MFI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish Engulfing MFI.mq5","09/06/2026 17:01:34","Symbol"
"BullishBearish Engulfing RSI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish Engulfing RSI.mq5","09/06/2026 17:01:34","Symbol"
"BullishBearish Engulfing Stoch.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish Engulfing Stoch.mq5","09/06/2026 17:01:34","Symbol"
"BullishBearish Harami CCI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish Harami CCI.mq5","09/06/2026 17:01:34","Symbol"
"BullishBearish Harami MFI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish Harami MFI.mq5","09/06/2026 17:01:34","Symbol"
"BullishBearish Harami RSI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish Harami RSI.mq5","09/06/2026 17:01:34","Symbol"
"BullishBearish Harami Stoch.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish Harami Stoch.mq5","09/06/2026 17:01:34","Symbol"
"BullishBearish MeetingLines CCI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish MeetingLines CCI.mq5","09/06/2026 17:01:34","Symbol"
"BullishBearish MeetingLines MFI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish MeetingLines MFI.mq5","09/06/2026 17:01:34","Symbol"
"BullishBearish MeetingLines RSI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish MeetingLines RSI.mq5","09/06/2026 17:01:34","Symbol"
