target_symbol,broker_symbol,timeframe,status,rows,file,error
EURUSD,EURUSD,M15,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M15_raw.csv,
EURUSD,EURUSD,M30,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M30_raw.csv,
EURUSD,EURUSD,H1,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_H1_raw.csv,
EURUSD,EURUSD,H4,RAW_SAVED,3000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_H4_raw.csv,
EURUSD,EURUSD,D1,RAW_SAVED,1500,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_D1_raw.csv,
GBPUSD,GBPUSD,M15,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M15_raw.csv,
GBPUSD,GBPUSD,M30,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M30_raw.csv,
GBPUSD,GBPUSD,H1,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_H1_raw.csv,
GBPUSD,GBPUSD,H4,RAW_SAVED,3000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_H4_raw.csv,
GBPUSD,GBPUSD,D1,RAW_SAVED,1500,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_D1_raw.csv,
USDJPY,USDJPY,M15,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_M15_raw.csv,
USDJPY,USDJPY,M30,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_M30_raw.csv,
USDJPY,USDJPY,H1,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_H1_raw.csv,
USDJPY,USDJPY,H4,RAW_SAVED,3000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_H4_raw.csv,
USDJPY,USDJPY,D1,RAW_SAVED,1500,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_D1_raw.csv,
USDCHF,USDCHF,M15,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M15_raw.csv,
USDCHF,USDCHF,M30,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M30_raw.csv,
USDCHF,USDCHF,H1,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_H1_raw.csv,
USDCHF,USDCHF,H4,RAW_SAVED,3000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_H4_raw.csv,
USDCHF,USDCHF,D1,RAW_SAVED,1500,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_D1_raw.csv,
AUDUSD,AUDUSD,M15,RAW_SAVED,5000,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_AUDUSD_M15_raw.csv,
